raw_trial_index,held_out,success,normalized_error,nfev,reason,temporal_design_rank,temporal_condition,shape_rank,shape_condition,frequency_at_bound,phase_gap_mode_1,phase_gap_mode_2,phase_gap_mode_3,recording,monkey,fold,phase_gap_mode_4
2,False,True,0.4300001604360753,13,,7,1.6144187162674426,6,29.587860906958685,True,0.004,0.0047941257733317,0.0040000000000031,monkeyM_session-o080416002-18_lfp-1,M,0,
6,True,True,0.4958707140272584,108,,7,1.4794260025405814,6,4.511802949405728,True,0.0057279713058273,0.003238558062149,0.0060000000037128,monkeyM_session-o080416002-18_lfp-1,M,0,
11,False,True,0.6318100000040876,18,,7,1.4719139053018309,6,9.193894929973832,False,0.0065617525214276,0.004093490235161,0.0029627084733796,monkeyM_session-o080416002-18_lfp-1,M,0,
22,False,True,0.6663532072575006,27,,7,1.4956802108510605,6,9.589512579632828,True,0.0049761564317825,0.0199999999999991,0.0040000000000031,monkeyM_session-o080416002-18_lfp-1,M,0,
5,True,True,0.5075126754861982,10,,7,1.5145904250457232,6,8.656890373906426,False,0.0050479752627941,0.0037427488382402,0.0044446557466919,monkeyM_session-o080416002-18_lfp-1,M,0,
1,False,True,0.6028540529315002,10,,7,1.4702914803977156,6,7.643420144778793,False,0.0050772799876057,0.0028506789758555,0.0030460221242218,monkeyM_session-o080416002-18_lfp-1,M,0,
19,False,True,0.6754611921148098,29,,7,1.49623291054163,6,8.735159593588605,False,0.0054717962598023,0.0032314050960122,0.0034972927300724,monkeyM_session-o080416002-18_lfp-1,M,0,
21,False,True,0.3883372378902384,13,,7,1.6156668424378915,6,8.869946516417373,True,0.0040000000000004,0.0057207959714631,0.0060957547704605,monkeyM_session-o080416002-18_lfp-1,M,0,
20,False,True,0.3953142395410473,10,,7,1.504967781825065,6,34.19268438343057,False,0.0039133166126004,0.0036241047847846,0.0041127138159078,monkeyM_session-o080416002-18_lfp-1,M,0,
3,True,True,0.6825097161781263,14,,7,1.5098061354910897,6,6.048058687307052,False,0.0046138960654402,0.0030744623041787,0.0059013525467612,monkeyM_session-o080416002-18_lfp-1,M,0,
23,False,True,0.7078757927755259,13,,7,1.4989383510100405,6,83.92301342659935,True,0.0058101436969411,0.0199999999999991,0.0049764834011174,monkeyM_session-o080416002-18_lfp-1,M,0,
7,False,True,0.3067642055343005,10,,7,1.4623925437452103,6,9.859222053607574,False,0.0036544107367377,0.0032598355379338,0.0048059462366261,monkeyM_session-o080416002-18_lfp-1,M,0,
16,False,False,0.728295396989487,120,The maximum number of function evaluations is exceeded.,7,1.52690322939256,6,2.950680546253721,True,0.0046249648423559,0.0053554570114853,0.0060000000000046,monkeyM_session-o080416002-18_lfp-1,M,0,
4,False,True,0.6433918504723914,13,,7,1.4528172826245696,6,3.1988317580516097,True,0.008,0.0039040619227437,0.0112542703097977,monkeyM_session-o080416002-18_lfp-1,M,0,
0,False,True,0.5718531276908858,20,,7,1.4855461711733395,6,3.2720999153918893,False,0.0042686816027033,0.0055294615985141,0.0031189813386394,monkeyM_session-o080416002-18_lfp-1,M,0,
15,False,True,0.4420869562476557,10,,7,1.4826579366055002,6,9.340401208100884,False,0.0059409513390651,0.0043065837887228,0.0047056411608839,monkeyM_session-o080416002-18_lfp-1,M,0,
13,False,True,0.5419394495932971,40,,7,1.5585300762495415,6,30.881295245368158,False,0.0044844655024771,0.0066979885045537,0.004656432446719,monkeyM_session-o080416002-18_lfp-1,M,0,
17,False,True,0.7427912755506269,21,,7,1.49111250809006,6,32.9553338082626,True,0.0049868567427309,0.0047337594860819,0.0040000000580482,monkeyM_session-o080416002-18_lfp-1,M,0,
10,False,True,0.5437276867651465,21,,7,1.590459800212271,6,26.35178126855515,False,0.0044016339649799,0.0046273337001334,0.0057826141524106,monkeyM_session-o080416002-18_lfp-1,M,0,
18,True,True,0.5230107746114101,17,,7,1.497916702045635,6,35.26659183604161,False,0.0047923027183809,0.0044857893877772,0.006432999841726,monkeyM_session-o080416002-18_lfp-1,M,0,
