recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080718005-9_lfp-8,M,4,ok,3,7,19.0,3.100123408094323,92,72,"[6.0, 20.0, 36.0]",0.782608695652174,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080722004-9_lfp-5,M,0,ok,2,5,11.0,1.790605231329711,36,76,"[22.0, 34.0]",2.111111111111111,[],True
monkeyM_session-o080722004-9_lfp-5,M,1,ok,2,5,11.0,1.790605231329711,36,77,"[22.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080722004-9_lfp-5,M,2,ok,2,5,11.0,1.790605231329711,36,77,"[22.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080722004-9_lfp-5,M,3,ok,2,5,11.0,1.790605231329711,36,77,"[22.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080722004-9_lfp-5,M,4,ok,2,5,11.0,1.790605231329711,36,77,"[22.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080723006-11_lfp-5,M,0,ok,2,5,10.0,2.0819154177706967,36,115,"[20.0, 34.0]",3.1944444444444446,[],True
monkeyM_session-o080723006-11_lfp-5,M,1,ok,2,5,9.0,2.5607524948871454,36,115,"[20.0, 34.0]",3.1944444444444446,[],True
monkeyM_session-o080723006-11_lfp-5,M,2,ok,2,5,10.0,2.0819154177706967,36,115,"[20.0, 34.0]",3.1944444444444446,[],True
monkeyM_session-o080723006-11_lfp-5,M,3,ok,2,5,10.0,2.0819154177706967,36,115,"[20.0, 34.0]",3.1944444444444446,[],True
monkeyM_session-o080723006-11_lfp-5,M,4,ok,2,5,10.0,2.0819154177706967,36,116,"[20.0, 34.0]",3.2222222222222223,[],True
monkeyM_session-o080723006-11_lfp-7,M,0,ok,3,7,12.0,1.4582219738507136,92,115,"[6.0, 20.0, 34.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080723006-11_lfp-7,M,1,ok,3,7,12.0,1.4582219738507136,92,115,"[6.0, 20.0, 34.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080723006-11_lfp-7,M,2,ok,3,7,12.0,1.4582219738507136,92,115,"[6.0, 20.0, 34.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080723006-11_lfp-7,M,3,ok,3,7,12.0,1.4582219738507136,92,115,"[6.0, 20.0, 34.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080723006-11_lfp-7,M,4,ok,3,7,12.0,1.4582219738507136,92,116,"[6.0, 20.0, 34.0]",1.2608695652173914,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080724004-9_lfp-5,M,0,ok,2,5,11.0,1.485980009533342,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-5,M,1,ok,2,5,11.0,1.485980009533342,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-5,M,2,ok,2,5,11.0,1.485980009533342,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-5,M,3,ok,2,5,11.0,1.485980009533342,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-5,M,4,ok,2,5,11.0,1.485980009533342,36,92,"[20.0, 34.0]",2.5555555555555554,[],True
monkeyM_session-o080724004-9_lfp-7,M,0,ok,2,5,19.0,22.962779195574246,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-7,M,1,ok,2,5,18.0,23.6285835175847,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-7,M,2,ok,2,5,17.0,8.757066863048989,36,91,"[20.0, 34.0]",2.5277777777777777,[],True
monkeyM_session-o080724004-9_lfp-7,M,3,ok,3,7,19.0,7.707200567190153,92,91,"[6.0, 20.0, 34.0]",0.9891304347826086,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080724004-9_lfp-7,M,4,ok,2,5,19.0,22.962779195574246,36,92,"[20.0, 34.0]",2.5555555555555554,[],True
monkeyM_session-o080731003-10_lfp-6,M,0,ok,2,5,12.0,1.2906413856112602,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080731003-10_lfp-6,M,1,ok,2,5,12.0,1.2906413856112602,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080731003-10_lfp-6,M,2,ok,2,5,12.0,1.2906413856112602,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080731003-10_lfp-6,M,3,ok,2,5,12.0,1.2906413856112602,36,87,"[18.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080731003-10_lfp-6,M,4,ok,2,5,12.0,1.2906413856112602,36,87,"[18.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080731011-18_lfp-6,M,0,ok,3,7,13.0,1.4375670324013603,92,72,"[6.0, 18.0, 30.0]",0.782608695652174,"[{""lower_hz"": 6.0, ""upper_hz"": 18.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 30.0, ""multiple"": 5}]",True
monkeyM_session-o080731011-18_lfp-6,M,1,ok,2,5,13.0,1.512383512752711,36,72,"[18.0, 30.0]",2.0,[],True
monkeyM_session-o080731011-18_lfp-6,M,2,ok,2,5,13.0,1.1639255184994404,36,72,"[16.0, 30.0]",2.0,"[{""lower_hz"": 16.0, ""upper_hz"": 30.0, ""multiple"": 2}]",True
monkeyM_session-o080731011-18_lfp-6,M,3,ok,2,5,13.0,1.512383512752711,36,72,"[18.0, 30.0]",2.0,[],True
monkeyM_session-o080731011-18_lfp-6,M,4,ok,2,5,13.0,1.1639255184994404,36,72,"[16.0, 30.0]",2.0,"[{""lower_hz"": 16.0, ""upper_hz"": 30.0, ""multiple"": 2}]",True
monkeyM_session-o080801001-7_lfp-5,M,0,ok,2,5,17.0,4.428324444154773,36,100,"[18.0, 34.0]",2.7777777777777777,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
monkeyM_session-o080801001-7_lfp-5,M,1,ok,2,5,14.0,5.543455480865398,36,101,"[18.0, 34.0]",2.8055555555555554,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
monkeyM_session-o080801001-7_lfp-5,M,2,ok,2,5,15.0,15.171956421658063,36,101,"[18.0, 34.0]",2.8055555555555554,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
monkeyM_session-o080801001-7_lfp-5,M,3,ok,3,7,18.0,2.8791916812377525,92,101,"[18.0, 34.0, 46.0]",1.0978260869565217,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
