recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,minimum_short,minimum_long,status,geometry_evaluable,n_trials,selection_hash,predecessor_features_sha256,fit_seconds,decode_seconds
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,2008-04-16,1,289,289,5000,4500,4500,5000,104,17d599f109dc71c1668cbd0a602a89c724eb10b6b577719d6b3842591eab2de7,24,24,eligible,True,144.0,9f457e6ba1f408dcb6d134419c6ef2495d83cec433e9eb55211065eb818bda85,eadc43dae8ac38b17082e13c74ed62718dce2356ea54359e77927b6eda64b33c,6.556316049012821,31.22005567001179
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2008-04-16,2,289,289,5000,4500,4500,5000,103,0fdf575154924fd5ff3cd73c1e22f09dffcf4c441582862e1ee796aef64e1f40,24,24,eligible,True,144.0,e2fd6f2a481ae94b0368ec01db6023bfb95a80fae8b929fc4834bb19bb91058e,4412e5b1d951551546bbc60c94fea527e7d60a0a050e931a456504917284c3bd,7.547220101056155,31.99689417902846
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,2008-04-17,1,259,259,5000,4500,4500,5000,111,3cf959128d0bfdf3d734aa5e438d310b3d352fe2821124db2eb7a90ed9a6e287,21,20,eligible,True,126.0,8cc180283a735fc876579e4703baf22d73c67bb9f5aa010e48cd609f052c590d,833af592e08675a0c9ee0401b1d8a6161c53196f3f8f8ce34694bf1249f2057a,5.788261431036517,29.587945888983086
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,2008-04-17,4,259,259,5000,4500,4500,5000,109,aba633e83766ddb3ec6b8d9a9e1784882b571c799a2f767bd4e199c3b8b2484f,21,20,eligible,True,126.0,1f7095592a88fe234c484f9ad018bd0b06c8a08cbf71546cd4714c77aefa65ca,63d077bc9b09bff38ee5f0ab8c65c4d36e1f774d80c3a7e6815cf59dc87553a9,3.0913094930001535,28.218821032962296
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2008-04-22,2,263,263,5000,4500,4500,5000,113,50d248f499fc090f58db31dd5f26b8a54f0d5d22264f71d759eb18d1edac850d,20,20,eligible,True,120.0,d1c378418d3b68ce0ee75b3386ee47d6c40fbaf32f94812580a1dacac6127309,b52bd699103887c613a522ac24dbb851fd5080d624e3c9b4cec1ae05bf12b0cf,4.992076925991569,29.496222949004732
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,2008-04-23,6,214,214,5000,4500,4500,5000,116,cedec9b2dfcde7cfe55628895cf0d0241457a44e7ff935443e3fd1e432dd0d7b,16,15,eligible,True,96.0,1573e716ae51e260be616d95c43b0227e93af5900e422d50789af4f1b174d519,95dcbee8242dd326d79cdbd02551d67a0abeaac6e12daa728659f0f6f522a754,4.014360664994456,28.85191287501948
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,2008-04-23,8,214,214,5000,4500,4500,5000,114,2bf26754ea66760c1b4b7ba555e5517b1a9c517d22e31667fd9ca1d2f84f7f94,16,15,eligible,True,96.0,597db0eac25b54643b8ac52eb01c9aef60a0abf80de8e8eee49e562dc9179f53,7d6b714b0efd49bb24e77fd4f36755c7a1f8dd57e523b3e4b31e0723cd0a63fe,2.9488870430504903,28.55731935700169
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,2008-04-24,1,241,241,5000,4500,4500,5000,117,fdd2fd436253df56c32e4f26db54d9d777536d9baddbe732d6952a269545428c,20,20,eligible,False,120.0,c13478f82867c497aebcd95bcaefdf3c1a39a08874d507c706c3dddd8b02c692,a68deb51067f50512a45add15c316d6fe14db1ac67cc920b050d8a7b0eed0d33,5.320098063966725,0.0958127100020647
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,2008-04-24,1,284,284,5000,4500,4500,5000,120,e8b6c98ac6a37c3a57de4151b73bc3aff308c2520406f69ece6653b5d2e52712,22,23,eligible,True,132.0,8a6cd96d4a086883b32ead226071c0d1c6be9eac11ab4383974b6a84acf517be,65c41ab6b6d5eb318004d9f194261c3ebccce761b4eed9f977e505b50eeed0ae,4.890013326017652,29.030819150037132
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,2008-04-25,1,241,241,5000,4500,4500,5000,121,d4fc6c434f918422bc59c110d18f56a9179720c2689df4eaac7f8b571430a59f,20,20,eligible,True,120.0,e8ab69e51c28c4eeb86af061bcb49c0c05110561555feb6b0259cff1aace124c,1bdf3233bb01f62effae2ef5ccd812cc056dc754e88781407d497b5f4f0dfaaf,4.121844093024265,29.118747353961226
monkeyM_session-o080425013-21_lfp-1,M,o080425013-21,2008-04-25,1,168,168,5000,4500,4500,5000,130,e9e02a349ab7609cc6cff2985c56e31998cb1645b9d5d64e3b165d78f8aff8b2,13,12,insufficient_short_trials,False,,,,,
