distance,mean_direction_1,mean_direction_2,mean_direction_3,mean_direction_4,mean_direction_5,mean_direction_6,absolute_gap_1_4,absolute_gap_2_5,absolute_gap_3_6,sum_absolute_mean_difference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010796948336064816,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304
0.011760544963181019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016996189951896667,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304
0.017615731805562973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022179201245307922,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304
0.022806696593761444,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
0.02513793110847473,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304
0.02723970077931881,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
0.028657443821430206,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304
0.030330689623951912,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061
0.030414536595344543,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091
0.030573520809412003,0.030303030303030304,0.09090909090909091,0.0,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.12121212121212122
0.034689728170633316,0.030303030303030304,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091
0.034979406744241714,0.030303030303030304,0.09090909090909091,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.12121212121212122
0.03511454164981842,0.030303030303030304,0.12121212121212122,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.15151515151515152
0.035237375646829605,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.12121212121212122
0.035491835325956345,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091,0.06060606060606061,0.15151515151515152
0.03605371713638306,0.030303030303030304,0.12121212121212122,0.0,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.18181818181818182
0.03615065664052963,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091,0.06060606060606061,0.15151515151515152
0.036630090326070786,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.0,0.06060606060606061,0.06060606060606061,0.12121212121212122
0.03776675462722778,0.030303030303030304,0.12121212121212122,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.06060606060606061,0.09090909090909091,0.15151515151515152
0.037922754883766174,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.030303030303030304,0.09090909090909091,0.12121212121212122
0.03804881125688553,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091
0.03854928910732269,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.0,0.0,0.06060606060606061,0.06060606060606061
0.038674868643283844,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304
0.03940815478563309,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061
0.03941913694143295,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304
0.040401164442300797,0.030303030303030304,0.09090909090909091,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061
0.04084814339876175,0.030303030303030304,0.09090909090909091,0.0,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091
0.041558995842933655,0.030303030303030304,0.09090909090909091,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061
0.042221564799547195,0.06060606060606061,0.09090909090909091,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091
0.04225648194551468,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.0,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.12121212121212122
0.042401451617479324,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.0,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091
0.04260263219475746,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.0,0.0,0.06060606060606061
0.042868778109550476,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091
