direction,n,mean,sd,median,q25,q75
1,33,28.12121212121212,7.975578253948016,27.0,22.0,35.0
2,33,24.09090909090909,7.950485977141729,23.0,19.0,29.0
3,33,28.303030303030305,8.345975259387188,27.0,24.0,34.0
4,33,23.96969696969697,5.902779263220253,24.0,19.0,29.0
5,33,27.424242424242426,8.318016226204053,27.0,22.0,32.0
6,33,24.666666666666668,7.844849690508204,23.0,20.0,30.0
