row_index,original_trial_number,direction,tau_ms,n_points,status,reason,model,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
1,16,1,1,498,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,38,2.528514822968071,0.13709841679444582,,1074.4689187172667,0.0006813105539018131,0.038340238966641335,0.01609217705561113,0,0,0.0014699739240191627,0.00921108752111184,0.857429718875502,0.9993580735738024,0.13301802994562803,0.060240963855421686,3.864805351243639,0.41246653851293097,0.9270794023597976,0.5140887939458829,0.05486548637149679,-0.2666258204978566,-0.2541679084896258,-0.23601413144097716,-0.411198554224946,0.8126862757728167,-0.4128641013376024,-0.5744949270671701,-0.5827008991766247,-0.5748175718180857,-0.7077226347769667,0.0008241773119079165,0.7064899100157813
1,16,1,2,496,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,32,2.958897281198042,0.04830003146303992,,1072.4756924224382,0.001328595197650642,0.053598079650645065,0.03877150519904676,0,0,0.0028727541422368923,0.010240608521034334,0.8689516129032258,0.9993043909994829,0.13308006223993968,0.06451612903225806,3.8305870793147148,0.8731204785320459,1.019434465822469,0.5097747669308441,0.11619492762604092,-0.29036227698665507,-0.25945228983643376,-0.20628114840355213,-0.4215270868858346,0.8012206288641924,-0.4246886140497387,-0.5663697490030161,-0.5983667921334931,-0.5667296440844911,-0.708195045474102,0.0016388878210082504,0.7060149372432886
1,16,1,3,494,returned,,one_torus,True,3,`xtol` termination condition is satisfied.,34,4.195162690205515,7028415.27713845,,1068.4215197887695,0.0036680610251036277,0.08906890539996615,0.07513392414567133,0,0,0.007933269909148118,0.009127739395632665,0.8785425101214575,0.999547426423638,0.12559007164476071,0.06072874493927125,3.479786623314635,1.2863872376060526,1.0418974360640252,0.4370266513306905,0.16155746533389637,-0.4920212990289336,-0.4730255655981499,-0.3590871635230676,-0.4385292084216866,0.7820819565878981,-0.4427639851434614,-0.5532121519776559,-0.6231705217353424,-0.5528243986496546,-0.7082714509731237,0.0025127711033899607,0.7059357178354188
1,16,1,4,492,returned,,one_torus,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,41,8.095097722436314,1657714.900440388,,1062.6756207404765,0.010544395434978013,0.15091369393353019,0.12708980692863658,0,0,0.022774943016663225,0.007995082780758427,0.9024390243902439,0.9995727745700296,0.09941276356298057,0.056910569105691054,3.4114343876518545,1.6852395545661256,1.1474998751606278,0.3391401201903546,0.16753432138511404,-0.43749252969986707,-0.4248672747768883,-0.27486544568311805,-0.4608758396755452,0.7556770613475732,-0.4653446457797393,-0.5353242993189062,-0.6549361373063961,-0.5333728063998947,-0.7078286197663836,0.0032916564341910416,0.7063765355924103
1,16,1,5,490,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,31,15.576265882841366,0.3339341899039817,,1056.4250446142037,0.024660290486973126,0.23057934345549463,0.19339690289280415,0,0,0.05316683362836695,0.008486944293225588,0.9,0.9995260057652352,0.093139569234565,0.05102040816326531,3.2268587246856404,1.9861774908591898,1.1818740670061618,0.30054823159811145,0.18499171592207142,-0.4722816852659543,-0.48046759356124946,-0.26635748971789847,-0.48616995461235657,0.7232820183709411,-0.49040992764508456,-0.513360197734373,-0.6905409372577931,-0.5095238182374346,-0.7071775467396225,0.004041765840373221,0.7070244560934372
1,16,1,6,488,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,31,27.994667362768055,0.09396041661783655,,1050.906203349938,0.04841404752845088,0.3228923552957836,0.26909854225822827,0,0,0.10425947310845855,0.009415484843222743,0.889344262295082,0.9994843114226181,0.10815638372028451,0.05942622950819672,3.1152996191250355,2.261508558362446,1.1988180122631489,0.3369395410098517,0.24459658742503468,-0.5257361078819508,-0.5208341743532711,-0.2017874697738305,0.5129651391351605,-0.685447000567162,0.5167486579033219,-0.4873595023104951,-0.7281080874758177,-0.48201590062774247,0.7066452303228754,-0.004585015204511101,-0.7075531754543294
1,16,1,7,486,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,35,45.83970718411993,0.00435669550640608,,1046.7352328628497,0.08273617245809428,0.42213173188229147,0.3505706166360256,0,0,0.1781951990619428,0.009192155576065494,0.897119341563786,0.9994176595357749,0.12281500565686347,0.04938271604938271,3.0424069802163713,2.4410534715937993,1.2025023063504239,0.3736532304858774,0.2997979959225972,-0.5402581785872694,-0.5529416613560216,-0.1577476606799676,-0.5393550026020804,0.6443812782383468,-0.5420968081656327,0.4589308802987223,0.7646892989138225,0.4523634857423026,0.7060301893508099,-0.004800456348957201,-0.708165466075621
1,16,1,8,484,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,32,67.99294326443737,0.0793122496532013,,1043.70036091451,0.126029324605365,0.5213159833505578,0.43062356467144147,0,0,0.27177035449675907,0.009274574589677148,0.890495867768595,0.999430323843922,0.12235747736360054,0.049586776859504134,2.8293031852340658,2.5528189374107213,1.180894809213728,0.3461864004421625,0.31235648534771354,-0.44230543415596607,-0.49192818438971514,-0.11046007179558834,-0.5698324159247364,0.5949396320599899,-0.5668666968212148,0.43081906743825216,0.8037038861468464,0.4104326918291129,0.6997756418248876,-0.010339129326845602,-0.7142878645975511
1,16,1,9,482,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,77,90.95006228698593,0.0036737268607664264,near_optimizer_bound;nearly_circular_orientation,1041.085418923043,0.17463142442536428,0.6141590574370511,0.5014570210023904,0,1,0.37719134783196706,0.01006070058345559,0.8838174273858921,0.999380252020222,0.13381821811527692,0.058091286307053944,2.6690988991986457,2.584120317008626,1.1375606953313049,0.3571740586643437,0.3458023762177084,-0.331941759695507,-0.44426793629647565,-0.07894946408742462,0.6123918979087499,-0.5205285522939315,0.5950009996813062,0.7038834874860156,0.016380540333841873,-0.7101265478355919,0.35989470601652696,0.8536871230980903,0.3764227629086527
1,16,1,10,480,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,61,110.63938811138314,0.004844266227979369,,1038.2903808964313,0.2222502816576962,0.6933618728051099,0.5543725655072728,0,0,0.4807506866598094,0.010307010277016488,0.89375,0.9992836053870283,0.13451820435109876,0.06041666666666667,2.7017174406651994,2.3987136299243375,1.1035825603892566,0.36343017878246336,0.3226706502500474,-0.21390806177171243,-0.4159485132936421,-0.03841389048773964,0.6765632890841522,-0.36200931889458604,0.6412576462673732,0.6938849910059212,0.0218479115297077,-0.7197543247640142,0.24654763255594667,0.9319184094079443,0.26597432786948666
