recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,1,1,0.001785870679703,2.399617962306924e-05,0.0650940602058331,5,8.019694514289652
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,1,10,0.8402378473324182,0.0113463925933194,2.811747474079344,5,8.019694514289652
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,2,1,0.0040481934935908,5.332237203025476e-05,0.0650940602058331,5,3.954880900353248
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,2,10,0.843672910805816,0.0112817152230747,2.811747474079344,5,3.954880900353248
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,5,1,0.0181668781384922,0.0001791420032118,0.0650940602058331,5,1.4525702551006174
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,5,10,0.7981171895467966,0.0088735945963712,2.811747474079344,5,1.4525702551006174
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,10,1,0.0641930109671325,0.0005781304158244,0.0650940602058331,5,1.6757759943011463
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,10,10,0.5721563528471874,0.0032333193556512,2.811747474079344,5,1.6757759943011463
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,15,1,0.0311436576368778,0.0002399029414014,0.0650940602058331,5,1.0969284290060084
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,15,10,0.8392211003252941,0.0099478394992468,2.811747474079344,5,1.0969284290060084
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,20,1,0.0640790508710126,0.0005812904269273,0.0650940602058331,5,2.1860193661624594
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,20,10,0.7016175542236444,0.0132703669757665,2.811747474079344,5,2.1860193661624594
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,25,1,0.0301025975812135,0.0002410148952232,0.0650940602058331,5,1.032469915174083
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,25,10,0.8340990915256281,0.0106642238490362,2.811747474079344,5,1.032469915174083
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,30,1,0.0634184808478604,0.0005647399942989,0.0650940602058331,5,2.002203539718534
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,30,10,0.4521182068288272,0.0072607572389005,2.811747474079344,5,2.002203539718534
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,40,1,0.0641968618623761,0.0005913546959537,0.0650940602058331,5,2.723697915589236
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,40,10,0.7358491076910137,0.0078409597870021,2.811747474079344,5,2.723697915589236
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,50,1,0.0641801436289696,0.0005903729604642,0.0650940602058331,5,1.869032162575092
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,50,10,0.619622997402829,0.0063886645821912,2.811747474079344,5,1.869032162575092
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,75,1,0.0257387605531442,0.0001848572497357,0.0650940602058331,5,1.0554920483630663
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,75,10,0.8439114427088059,0.0112507149270781,2.811747474079344,5,1.0554920483630663
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,100,1,0.063807651018688,0.000557218461638,0.0650940602058331,5,2.0342663508478265
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,2,100,10,0.5272124775119019,0.0086747160439986,2.811747474079344,5,2.0342663508478265
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,1,1,2.150567910078369e-05,1.6019097099113472e-07,0.0650940602058331,5,97.53736211365374
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,1,10,0.2679106048970426,0.001566293326206,2.811747474079344,5,97.53736211365374
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,2,1,0.0001347487720405,1.0185568384806637e-06,0.0650940602058331,5,21.938279855280587
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,2,10,0.3465047640593256,0.0019961748056322,2.811747474079344,5,21.938279855280587
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,5,1,0.0029627057693812,2.345077959328319e-05,0.0650940602058331,5,2.2926952426760936
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,5,10,0.5674289870637248,0.0033367801812331,2.811747474079344,5,2.2926952426760936
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,10,1,0.0639504739425212,0.0005676225852149,0.0650940602058331,5,2.442910834600624
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,10,10,0.5133727531707791,0.0031243858283379,2.811747474079344,5,2.442910834600624
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,15,1,0.0310275294250655,0.0002302725858054,0.0650940602058331,5,2.0135406678053887
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,15,10,0.451977647890517,0.0071701181901541,2.811747474079344,5,2.0135406678053887
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,20,1,0.0640716344195309,0.0005822404900863,0.0650940602058331,5,3.157116051263035
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,20,10,0.6514523586591603,0.0106296961340767,2.811747474079344,5,3.157116051263035
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,25,1,0.0300107357011456,0.0002238445780884,0.0650940602058331,5,1.8709075513250608
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,25,10,0.6109054746595975,0.0062410779086831,2.811747474079344,5,1.8709075513250608
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,30,1,0.0632029403387985,0.0005541483376867,0.0650940602058331,5,2.4462542237511986
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,30,10,0.3467357892545415,0.008150204015446,2.811747474079344,5,2.4462542237511986
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,40,1,0.0641684033018755,0.0006007562899781,0.0650940602058331,5,3.6892918475643968
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,40,10,0.6157601990967206,0.0053640448336718,2.811747474079344,5,3.6892918475643968
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,50,1,0.0638120925643466,0.0005569907752222,0.0650940602058331,5,2.3507505075368536
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,50,10,0.4398994366189162,0.0061948382228776,2.811747474079344,5,2.3507505075368536
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,75,1,0.0254196209080508,0.0002451686209689,0.0650940602058331,5,2.4202563005622864
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,75,10,0.7369900852766142,0.0139497931984971,2.811747474079344,5,2.4202563005622864
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,100,1,0.0638117972216288,0.0005617794916039,0.0650940602058331,5,2.475992439353116
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,3,100,10,0.4351655546239164,0.0064859646610655,2.811747474079344,5,2.475992439353116
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,1,1,4.259679369697508e-07,4.329640864611998e-09,0.0650940602058331,5,1826.598671443096
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,1,10,0.0672305255057767,0.0006465100737678,2.811747474079344,5,1826.598671443096
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,2,1,7.872866192789226e-06,8.439324472812893e-08,0.0650940602058331,5,192.7063041351895
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,2,10,0.121804053764517,0.0011893229517045,2.811747474079344,5,192.7063041351895
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,5,1,0.0007305901342293,8.939255033422813e-06,0.0650940602058331,5,6.260055504717927
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,5,10,0.3813531959093719,0.0033190437839177,2.811747474079344,5,6.260055504717927
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,10,1,0.0625694283123346,0.0005407136509449,0.0650940602058331,5,3.059756865253907
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,10,10,0.3505813453051957,0.0062011552094583,2.811747474079344,5,3.059756865253907
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,15,1,0.0185789789151962,0.0001619903145557,0.0650940602058331,5,2.415285751304164
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,15,10,0.4517660087778406,0.0074992625493077,2.811747474079344,5,2.415285751304164
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,20,1,0.0636531869850704,0.0005523813716075,0.0650940602058331,5,3.669922546688096
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,20,10,0.5284909782851379,0.0115870739919279,2.811747474079344,5,3.669922546688096
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,25,1,0.0171249557120274,0.0003102131858399,0.0650940602058331,5,1.9610394584898647
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,25,10,0.6083878665514999,0.0061946129986402,2.811747474079344,5,1.9610394584898647
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,30,1,0.0631969806643571,0.0005512019646196,0.0650940602058331,5,2.97996738522585
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,30,10,0.3392133886422309,0.0078830319220241,2.811747474079344,5,2.97996738522585
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,40,1,0.0640557132737079,0.0005993409243613,0.0650940602058331,5,4.470004709013241
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,40,10,0.516407997896885,0.0060912183384058,2.811747474079344,5,4.470004709013241
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,50,1,0.0637505531837203,0.0005454195472017,0.0650940602058331,5,3.234227773705132
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,4,50,10,0.4256037066477131,0.0068920676091993,2.811747474079344,5,3.234227773705132
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,1,1,1.575353048710393e-08,1.4681095100331642e-10,0.0650940602058331,5,26300.779130229497
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,1,10,0.0183574055398167,0.0001676915950929,2.811747474079344,5,26300.779130229497
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,2,1,7.832701308248473e-07,6.739998430827527e-09,0.0650940602058331,5,1330.1150326717602
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,2,10,0.0420581493063507,0.000323772093035,2.811747474079344,5,1330.1150326717602
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,5,1,0.0001974167272235,2.1926634153936824e-06,0.0650940602058331,5,19.668789351857104
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,5,10,0.1801655765370536,0.0024932141070168,2.811747474079344,5,19.668789351857104
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,10,1,0.0623715734949215,0.0005510840329186,0.0650940602058331,5,4.347720909915205
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,10,10,0.3340812063113273,0.0053611368062803,2.811747474079344,5,4.347720909915205
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,15,1,0.0175525302243894,0.0002072512860642,0.0650940602058331,5,2.8856685501375665
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,15,10,0.33906586095992,0.0080203284483952,2.811747474079344,5,2.8856685501375665
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,20,1,0.0636591534454374,0.0005549385845086,0.0650940602058331,5,4.621224977435828
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,20,10,0.478657779927676,0.0081037387324215,2.811747474079344,5,4.621224977435828
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,25,1,0.0162463686882147,0.000317730610257,0.0650940602058331,5,2.352800903489315
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,25,10,0.4310764851597429,0.0062166806137195,2.811747474079344,5,2.352800903489315
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,30,1,0.063189443497682,0.0005505037986934,0.0650940602058331,5,3.321191803923345
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,30,10,0.3038317757495111,0.0061641278291047,2.811747474079344,5,3.321191803923345
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,40,1,0.0640351153903917,0.0005949440846402,0.0650940602058331,5,5.02625168390558
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,40,10,0.4677815353017142,0.0059271135291794,2.811747474079344,5,5.02625168390558
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,50,1,0.0637565773633532,0.0005496262585271,0.0650940602058331,5,3.727528212487544
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,5,50,10,0.3788138294441524,0.0055489303016886,2.811747474079344,5,3.727528212487544
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,1,1,1.964062638714763e-09,2.2320157886587083e-11,0.0650940602058331,5,281355.6184632449
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,1,10,0.0104575127586726,0.0001041878717604,2.811747474079344,5,281355.6184632449
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,2,1,2.753288262202476e-07,3.7176781101527955e-09,0.0650940602058331,5,7402.276364749544
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,2,10,0.0327571639422192,0.0003110910126649,2.811747474079344,5,7402.276364749544
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,5,1,0.0001475944938446,1.662883413865934e-06,0.0650940602058331,5,58.89735536963539
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,5,10,0.1628123590847203,0.0013552132219061,2.811747474079344,5,58.89735536963539
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,10,1,0.0622285499536199,0.0005551601251482,0.0650940602058331,5,5.45031259577508
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,10,10,0.3312569745539386,0.0049609123223829,2.811747474079344,5,5.45031259577508
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,15,1,0.0127240650069012,0.0001484749247207,0.0650940602058331,5,2.9395669274921947
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,15,10,0.3290665928670891,0.0074123315433313,2.811747474079344,5,2.9395669274921947
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,20,1,0.0636056452596655,0.0005452153603361,0.0650940602058331,5,5.085574386290324
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,20,10,0.4270439219700795,0.0086974394656633,2.811747474079344,5,5.085574386290324
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,25,1,0.0118788908926572,0.0002248730441335,0.0650940602058331,5,2.604543843507413
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,25,10,0.4176590694609105,0.0058728578189424,2.811747474079344,5,2.604543843507413
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,30,1,0.063191316861861,0.000548187784283,0.0650940602058331,5,3.7773986559499457
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,30,10,0.3019061216766353,0.0062084290277634,2.811747474079344,5,3.7773986559499457
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,40,1,0.0640369833422463,0.0005950738845286,0.0650940602058331,5,5.434559003183542
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,6,40,10,0.440083449379081,0.0045155919787304,2.811747474079344,5,5.434559003183542
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,1,1,2.3253139954656167e-10,8.81607453850356e-13,0.0650940602058331,5,1564662.1671443633
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,1,10,0.0047309874188108,4.737111619720241e-05,2.811747474079344,5,1564662.1671443633
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,2,1,8.695900214154934e-08,2.860383272409391e-10,0.0650940602058331,5,20995.067434667755
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,2,10,0.0212986767616514,0.0001432247446806,2.811747474079344,5,20995.067434667755
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,5,1,0.0001294873967866,1.4294884898399218e-06,0.0650940602058331,5,112.66539646557916
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,5,10,0.1559636280387349,0.0012512639246159,2.811747474079344,5,112.66539646557916
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,10,1,0.0618535140694459,0.0005501957686781,0.0650940602058331,5,6.216071352251207
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,10,10,0.2941560898240621,0.0057050384418473,2.811747474079344,5,6.216071352251207
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,15,1,0.0121932472289578,0.000197955051521,0.0650940602058331,5,3.5642129442950568
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,15,10,0.3228977128504687,0.0069957405622589,2.811747474079344,5,3.5642129442950568
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,20,1,0.0635965162967655,0.0005498020222249,0.0650940602058331,5,5.7711786461448495
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,20,10,0.3911990751826816,0.006713507395611,2.811747474079344,5,5.7711786461448495
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,25,1,0.0118254427965151,0.0002409687188026,0.0650940602058331,5,3.2710053237120364
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,25,10,0.3982863264244748,0.0063539894925623,2.811747474079344,5,3.2710053237120364
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,30,1,0.0631947606376408,0.000548097333697,0.0650940602058331,5,4.224412430497533
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,7,30,10,0.2803815501659948,0.0061599634934372,2.811747474079344,5,4.224412430497533
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,1,1,5.979088556750862e-11,3.4518595001911285e-13,0.0650940602058331,5,8727600.360669814
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,1,10,0.0029171647213488,2.569294485889435e-05,2.811747474079344,5,8727600.360669814
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,2,1,4.2203153724831454e-08,2.3347545815351377e-10,0.0650940602058331,5,62402.98664326592
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,2,10,0.0162356802782481,9.321351399933514e-05,2.811747474079344,5,62402.98664326592
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,5,1,0.0001212702503114,1.050349925348326e-06,0.0650940602058331,5,163.11300190659375
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,5,10,0.1555053503581301,0.0012180740884632,2.811747474079344,5,163.11300190659375
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,10,1,0.0617950041605288,0.0005482268543801,0.0650940602058331,5,7.160967645838357
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,10,10,0.2926748737182457,0.0055367976397764,2.811747474079344,5,7.160967645838357
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,15,1,0.0106317734035713,0.0001806335136189,0.0650940602058331,5,3.977271907636368
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,15,10,0.3228753617089889,0.0071477148660654,2.811747474079344,5,3.977271907636368
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,20,1,0.0635940094414567,0.0005478275797782,0.0650940602058331,5,6.168686416498364
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,20,10,0.3659549576550449,0.0066405395422637,2.811747474079344,5,6.168686416498364
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,25,1,0.0105553031651412,0.0001753205009808,0.0650940602058331,5,3.3698401315539184
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,8,25,10,0.3962236539631972,0.0067689454633973,2.811747474079344,5,3.3698401315539184
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,9,1,1,3.4420602542107213e-11,1.0948564063813105e-13,0.0650940602058331,5,32686493.99297817
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,9,1,10,0.0022681591235024,2.0331495329879238e-05,2.811747474079344,5,32686493.99297817
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,9,2,1,2.854476131983125e-08,1.44913155112628e-10,0.0650940602058331,5,152423.79416158082
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,9,2,10,0.0142207142291998,9.419126147561668e-05,2.811747474079344,5,152423.79416158082
monkeyT_session-y070413009-13_lfp-8,T,embedding,0,9,5,1,0.0001057015688504,6.843307222128996e-07,0.0650940602058331,5,230.74006704173567
