recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,1,1,0.0006246625777396,6.688981135324587e-06,0.0341007764514202,5,11.106750658788863
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,1,10,0.6026366151089514,0.0029675819044329,2.186411713701001,5,11.106750658788863
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,2,1,0.0013984737866794,1.4784405259840742e-05,0.0341007764514202,5,5.514901171405982
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,2,10,0.6503449370803689,0.0030348552244235,2.186411713701001,5,5.514901171405982
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,5,1,0.0056517115136732,5.696202977176072e-05,0.0341007764514202,5,2.1109368774145456
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,5,10,0.7785414732441299,0.0033218111104384,2.186411713701001,5,2.1109368774145456
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,10,1,0.0204033611208694,0.0002124157021287,0.0341007764514202,5,1.171001467664491
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,10,10,0.9549007404192564,0.0032006438079328,2.186411713701001,5,1.171001467664491
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,15,1,0.0338677151834806,0.0002695101624238,0.0341007764514202,5,1.7666633667192329
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,15,10,0.9744811599292736,0.0045021615318442,2.186411713701001,5,1.7666633667192329
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,20,1,0.0267132425355601,0.0003809053491054,0.0341007764514202,5,1.3134449092074707
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,20,10,0.8973836013450034,0.0079137422123501,2.186411713701001,5,1.3134449092074707
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,25,1,0.0298872407239484,0.0004362934184558,0.0341007764514202,5,1.2545270406900222
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,25,10,0.9643486250699308,0.0034141769100856,2.186411713701001,5,1.2545270406900222
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,30,1,0.0338466449968549,0.0002870058226782,0.0341007764514202,5,1.5440625789707336
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,30,10,0.9987941396126512,0.0021055185146448,2.186411713701001,5,1.5440625789707336
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,40,1,0.0323984852711258,0.0003696271776073,0.0341007764514202,5,1.12738450578502
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,40,10,1.0011229982774914,0.0017208945217098,2.186411713701001,5,1.12738450578502
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,50,1,0.0318044869562032,0.0003789406588956,0.0341007764514202,5,1.0926319347136242
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,50,10,0.947079138792267,0.0025141486205614,2.186411713701001,5,1.0926319347136242
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,75,1,0.0338797387626215,0.0002925013330577,0.0341007764514202,5,1.2925352737952702
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,75,10,1.0014771525613366,0.0026374451201172,2.186411713701001,5,1.2925352737952702
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,100,1,0.0337154492539738,0.0003037004058863,0.0341007764514202,5,1.054440115080987
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,2,100,10,0.9956118065746002,0.0015880315299965,2.186411713701001,5,1.054440115080987
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,1,1,2.233640929859144e-05,6.843308268766851e-07,0.0341007764514202,5,174.4538685493439
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,1,10,0.308071552688195,0.006706606033115,2.186411713701001,5,174.4538685493439
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,2,1,0.0001335363223933,4.049242890635556e-06,0.0341007764514202,5,41.63072714594886
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,2,10,0.3970142578770174,0.0079030003171514,2.186411713701001,5,41.63072714594886
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,5,1,0.002102561029233,6.168025660363399e-05,0.0341007764514202,5,5.159540484745957
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,5,10,0.629006655708397,0.0091851516060218,2.186411713701001,5,5.159540484745957
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,10,1,0.0160352095904792,0.0003691195990703,0.0341007764514202,5,1.4389085861006574
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,10,10,0.8712003051406615,0.0063669959095076,2.186411713701001,5,1.4389085861006574
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,15,1,0.0338544491897359,0.0002780432929514,0.0341007764514202,5,2.1353191732822445
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,15,10,0.974898948682002,0.0046598436165409,2.186411713701001,5,2.1353191732822445
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,20,1,0.0264381714807375,0.000413362303388,0.0341007764514202,5,1.5323900667181352
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,20,10,0.8962601318685376,0.0080032252562783,2.186411713701001,5,1.5323900667181352
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,25,1,0.0287256621249103,0.000464705633576,0.0341007764514202,5,1.405616336752277
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,25,10,0.92479461913991,0.002436335969489,2.186411713701001,5,1.405616336752277
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,30,1,0.033624609150122,0.0003296052191147,0.0341007764514202,5,1.800020506824649
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,30,10,0.9845992998148342,0.0038112284176201,2.186411713701001,5,1.800020506824649
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,40,1,0.031947761411848,0.0004140726327876,0.0341007764514202,5,1.2416026628439911
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,40,10,0.99994147326238,0.0013648703704494,2.186411713701001,5,1.2416026628439911
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,50,1,0.0316475719889485,0.0003833809188422,0.0341007764514202,5,1.1092996039602872
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,50,10,0.94176119809063,0.0021123824114739,2.186411713701001,5,1.1092996039602872
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,75,1,0.0339048164482592,0.0002651412784979,0.0341007764514202,5,1.4383604451291667
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,75,10,1.0027508300640906,0.0031507924889424,2.186411713701001,5,1.4383604451291667
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,100,1,0.0336939856581152,0.0003113269127025,0.0341007764514202,5,1.0769814917363538
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,3,100,10,0.989916176074384,0.0019132062865896,2.186411713701001,5,1.0769814917363538
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,1,1,1.190843277370315e-06,2.131550895141443e-08,0.0341007764514202,5,1963.3464607013696
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,1,10,0.1543808644135578,0.0022552880014563,2.186411713701001,5,1963.3464607013696
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,2,1,2.075479014355509e-05,3.799236994189785e-07,0.0341007764514202,5,230.7582199885404
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,2,10,0.2610013232582361,0.0036626375844748,2.186411713701001,5,230.7582199885404
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,5,1,0.0012725935753805,2.880602393390725e-05,0.0341007764514202,5,11.030251206664037
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,5,10,0.5948153310723845,0.0078325000856746,2.186411713701001,5,11.030251206664037
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,10,1,0.0154737375326871,0.0003947219789453,0.0341007764514202,5,1.687482976180866
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,10,10,0.8674413476067162,0.007062808549468,2.186411713701001,5,1.687482976180866
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,15,1,0.0338259168342027,0.0003055160335143,0.0341007764514202,5,2.3651414209363453
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,15,10,0.9556576708503975,0.0052667467357017,2.186411713701001,5,2.3651414209363453
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,20,1,0.0260752109313123,0.0004441985689456,0.0341007764514202,5,1.6160644604781538
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,20,10,0.883566844810268,0.0084189088553291,2.186411713701001,5,1.6160644604781538
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,25,1,0.0287447084730094,0.0004436936922721,0.0341007764514202,5,1.4626942176274984
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,25,10,0.9209251003094632,0.0014294246025369,2.186411713701001,5,1.4626942176274984
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,30,1,0.0335843729033801,0.0003042286308003,0.0341007764514202,5,1.978967247951312
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,30,10,0.9834119063902186,0.0032104629121242,2.186411713701001,5,1.978967247951312
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,40,1,0.0319370651034002,0.0003923269141247,0.0341007764514202,5,1.3107392786147642
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,40,10,0.9943940179091828,0.0008970270502227,2.186411713701001,5,1.3107392786147642
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,50,1,0.0316921631791323,0.0003442162189963,0.0341007764514202,5,1.1225274849996456
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,4,50,10,0.9433640240197716,0.0016410002750586,2.186411713701001,5,1.1225274849996456
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,1,1,6.368073575664772e-08,1.7778076654995531e-09,0.0341007764514202,5,17124.242843279015
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,1,10,0.0569702078929526,0.0012217352893711,2.186411713701001,5,17124.242843279015
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,2,1,3.298439928504476e-06,8.815586361450707e-08,0.0341007764514202,5,976.4630078486556
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,2,10,0.1363269460533346,0.0026226679464658,2.186411713701001,5,976.4630078486556
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,5,1,0.0007598595308792,1.701165356213899e-05,0.0341007764514202,5,20.360047028518064
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,5,10,0.5197268152127966,0.0070013292817367,2.186411713701001,5,20.360047028518064
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,10,1,0.015324793857014,0.0004102925161459,0.0341007764514202,5,1.8015112380320315
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,10,10,0.8596564522771517,0.0079125638198512,2.186411713701001,5,1.8015112380320315
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,15,1,0.0336364037904173,0.0003311444797501,0.0341007764514202,5,2.7464018363781224
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,15,10,0.9496826087099453,0.0063739252816016,2.186411713701001,5,2.7464018363781224
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,20,1,0.0260902863292125,0.000439662501415,0.0341007764514202,5,1.7512541258554202
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,20,10,0.8801855037948039,0.0084920631081771,2.186411713701001,5,1.7512541258554202
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,25,1,0.0287493025174404,0.0004470241890734,0.0341007764514202,5,1.6242876525581031
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,25,10,0.9201685014872608,0.002109175076874,2.186411713701001,5,1.6242876525581031
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,30,1,0.0335945176612891,0.0002887575509576,0.0341007764514202,5,2.0995856274017126
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,30,10,0.9807359625347918,0.0034309300800708,2.186411713701001,5,2.0995856274017126
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,40,1,0.0319521568153318,0.0004076577315925,0.0341007764514202,5,1.3606760733902703
monkeyM_session-o080723006-11_lfp-5,M,embedding,0,5,40,10,0.9816133739092372,0.0026837284551022,2.186411713701001,5,1.3606760733902703
