time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2
-474.0,-0.5010926723480225,-0.44685171773473903,0.07051681727170944,0.6875351353811054,-0.1499137133359909,-0.22040271314201607
-473.0,-0.6077590584754944,-0.5288025881464189,0.16325905919075012,0.654358997677834,-0.19054825603961945,-0.1031252325063316
-472.0,-0.6916368007659912,-0.5985401411296289,0.24300868809223175,0.6054365325167576,-0.2302815467119217,0.014782995020959007
-471.0,-0.7480998039245605,-0.6544261125382284,0.3015401065349579,0.5419170191195533,-0.26740798354148865,0.13055208702457438
-470.0,-0.774006724357605,-0.6951476375050919,0.33228129148483276,0.46529264837803497,-0.29944583773612976,0.24146241334045576
-469.0,-0.7679234743118286,-0.7197480920668657,0.33107373118400574,0.3773634685292934,-0.323110431432724,0.34490848520010786
-468.0,-0.7303302884101868,-0.7276495660307878,0.2965918481349945,0.28019509869220305,-0.3346039056777954,0.4384601629823794
-467.0,-0.6637330651283264,-0.7186664391543481,0.23037414252758026,0.17607020365257114,-0.3301738500595093,0.5199197446893379
-466.0,-0.5725883841514587,-0.6930097417082169,0.13650859892368317,0.06743486984398858,-0.3068259358406067,0.587373594032337
-465.0,-0.4629906117916107,-0.6512821969847423,0.021081242710351944,-0.04315885774817766,-0.2630423903465271,0.6392370952889924
-464.0,-0.3421274423599243,-0.5944640622126731,-0.10848362743854523,-0.15311292784521277,-0.19936087727546692,0.6742918788583144
-463.0,-0.2175765484571457,-0.5238901005012044,-0.2440854161977768,-0.2598443159064462,-0.11869454383850098,0.6917144430168329
-462.0,-0.09656645357608795,-0.4412182247850061,-0.37754374742507935,-0.3608457041547429,-0.026316097006201744,0.691095499497699
-461.0,0.014660272747278214,-0.34839055038195677,-0.5010926723480225,-0.4537443831100689,0.07051681727170944,0.6724495884293303
-460.0,0.11126741021871567,-0.24758777111107563,-0.6077590584754944,-0.5363579909251014,0.16325905919075012,0.6362147367608908
-459.0,0.18997161090373993,-0.14117793076005752,-0.6916368007659912,-0.6067457811027647,0.24300868809223175,0.5832421681988311
-458.0,0.24892860651016235,-0.03166079335540261,-0.7480998039245605,-0.6632542142221692,0.3015401065349579,0.5147763063871107
-457.0,0.28743624687194824,0.07839088091955874,-0.774006724357605,-0.7045558026389406,0.33228129148483276,0.4324255410934039
-456.0,0.3055690824985504,0.18639177462143067,-0.7679234743118286,-0.7296802956260695,0.33107373118400574,0.33812444415765275
-455.0,0.30386286973953247,0.28980474693677616,-0.7303302884101868,-0.7380374723586195,0.2965918481349945,0.23408832282025804
-454.0,0.2831408977508545,0.3862004358139749,-0.6637330651283264,-0.7294310072929169,0.23037414252758026,0.12276117805630202
-453.0,0.24451972544193268,0.4733143281725652,-0.5725883841514587,-0.7040630822168077,0.13650859892368317,0.006758290470808549
-452.0,0.18956732749938965,0.5490999575052372,-0.4629906117916107,-0.6625296366253899,0.021081242710351944,-0.11119521748138228
-451.0,0.12052810937166214,0.6117769791624117,-0.3421274423599243,-0.6058063679996816,-0.10848362743854523,-0.22832839966403154
-450.0,0.0405031219124794,0.6598729939420037,-0.2175765484571457,-0.5352258108675831,-0.2440854161977768,-0.3418895809109716
-449.0,-0.04650859162211418,0.6922581374708738,-0.09656645357608795,-0.4524460331023965,-0.37754374742507935,-0.4492109989668359
-448.0,-0.13574063777923584,0.7081716228093979,0.014660272747278214,-0.35941168484076813,-0.5010926723480225,-0.5477714751582601
-447.0,-0.22192098200321198,0.7072396127442672,0.11126741021871567,-0.25830831505304,-0.6077590584754944,-0.6352556415455364
-446.0,-0.2995832562446594,0.6894840019162912,0.18997161090373993,-0.15151102895428892,-0.6916368007659912,-0.7096083331993521
-445.0,-0.36336302757263184,0.6553219024747786,0.24892860651016235,-0.041528692388474,-0.7480998039245605,-0.7690828678273857
-444.0,-0.4082722067832947,0.605555845341417,0.28743624687194824,0.06905500607208337,-0.774006724357605,-0.8122820785730245
-443.0,-0.42999640107154846,0.5413549272741044,0.3055690824985504,0.17764225075152684,-0.7679234743118286,-0.8381911360498222
-442.0,-0.42526933550834656,0.46422734662107307,0.30386286973953247,0.28168212636710416,-0.7303302884101868,-0.8462013885614003
-441.0,-0.3923400044441223,0.37598497295125966,0.2831408977508545,0.3787305437487971,-0.6637330651283264,-0.8361246604559058
-440.0,-0.3314836919307709,0.2787007828858589,0.24451972544193268,0.466507656015911,-0.5725883841514587,-0.8081976727202309
-439.0,-0.2454439103603363,0.17466016204212928,0.18956732749938965,0.5429514163984116,-0.4629906117916107,-0.7630764819660569
-438.0,-0.13965949416160583,0.06630721709687729,0.12052810937166214,0.6062660195307037,-0.3421274423599243,-0.7018210684462255
-437.0,-0.022143535315990448,-0.04381264080139983,0.0405031219124794,0.6549640882422167,-0.2175765484571457,-0.6258704351574519
-436.0,0.09705566614866257,-0.1531124924498354,-0.04650859162211418,0.6879016147990437,-0.09656645357608795,-0.5370088029975338
-435.0,0.20678548514842987,-0.2590246821095341,-0.13574063777923584,0.7043048357622309,0.014660272747278214,-0.4373236961153324
-434.0,0.29599180817604065,-0.35906113648947174,-0.22192098200321198,0.7037884091225498,0.11126741021871567,-0.3291569021062454
-433.0,0.35501599311828613,-0.45087181419147887,-0.2995832562446594,0.6863644666972458,0.18997161090373993,-0.2150494590888691
-432.0,0.37679916620254517,-0.532299912530663,-0.36336302757263184,0.6524423291312033,0.24892860651016235,-0.09768196201823547
-431.0,0.3578357696533203,-0.601432534820934,-0.4082722067832947,0.6028188901976858,0.28743624687194824,0.02018840944924337
-430.0,0.29877084493637085,-0.656645627857357,-0.42999640107154846,0.538659896289206,0.3055690824985504,0.1357926622071752
-429.0,0.20458193123340607,-0.6966421339307076,-0.42526933550834656,0.4614725608779424,0.30386286973953247,0.24641503847035592
-428.0,0.08431728184223175,-0.720482461112855,-0.3923400044441223,0.37307015728265397,0.2831408977508545,0.34945681394979516
-427.0,-0.04961998388171196,-0.7276065560095496,-0.3314836919307709,0.27552942152357257,0.24451972544193268,0.4424973466943245
-426.0,-0.18262264132499695,-0.7178470604508574,-0.2454439103603363,0.17114176595094965,0.18956732749938965,0.5233509424486599
-425.0,-0.2993919253349304,-0.6914332430442116,-0.13965949416160583,0.06235944972945383,0.12052810937166214,0.5901182006553567
-424.0,-0.3856629431247711,-0.6489856132306356,-0.022143535315990448,-0.04826202926672866,0.0405031219124794,0.6412306348881374
-423.0,-0.42992082238197327,-0.5915013443699267,0.09705566614866257,-0.1581239678270577,-0.04650859162211418,0.6754875195000068
-422.0,-0.42484840750694275,-0.5203308482934874,0.20678548514842987,-0.26464550575111684,-0.13574063777923584,0.6920840968902567
-421.0,-0.3682675361633301,-0.4371460516319102,0.29599180817604065,-0.36532425502975585,-0.22192098200321198,0.6906304827494439
-420.0,-0.2634231746196747,-0.343901119165074,0.35501599311828613,-0.4577950855692752,-0.2995832562446594,0.6711608251631741
-419.0,-0.1185828149318695,-0.2427865468759189,0.37679916620254517,-0.5398856864732301,-0.36336302757263184,0.6341325024103915
-418.0,0.053952764719724655,-0.13617770314700628,0.3578357696533203,-0.6096675976445433,-0.4082722067832947,0.580415378301376
-417.0,0.23924334347248077,-0.026579026962376757,0.29877084493637085,-0.6655015128811634,-0.42999640107154846,0.5112713674674433
-416.0,0.4212867319583893,0.08343480599784057,0.20458193123340607,-0.7060757902117593,-0.42526933550834656,0.4283247906514898
-415.0,0.584577202796936,0.1912793672527424,0.08431728184223175,-0.730437264792386,-0.3923400044441223,0.33352421640847274
-414.0,0.7154941558837891,0.2944211885273097,-0.04961998388171196,-0.7380136405121925,-0.3314836919307709,0.22909668562486413
-413.0,0.8034259080886841,0.3904372776095566,-0.18262264132499695,-0.7286269342879126,-0.2454439103603363,0.11749539420780297
-412.0,0.8415707945823669,0.47707203892052324,-0.2993919253349304,-0.7024976572157883,-0.13965949416160583,0.0013420629744207444
-411.0,0.8273801803588867,0.5522902616276866,-0.3856629431247711,-0.6602396343579365,-0.022143535315990448,-0.11663465142080995
-410.0,0.7626276016235352,0.6143249305129007,-0.42992082238197327,-0.6028455848559572,0.09705566614866257,-0.23366325767936738
-409.0,0.6531124711036682,0.6617187364291557,-0.42484840750694275,-0.5316638011215982,0.20678548514842987,-0.34699453731701907
-408.0,0.5080335736274719,0.693358311188723,-0.3682675361633301,-0.4483664749534182,0.29599180817604065,-0.45396612889256505
-407.0,0.33909091353416443,0.7085003826417997,-0.2634231746196747,-0.3549104146576069,0.35501599311828613,-0.5520650718038994
-406.0,0.15939640998840332,0.7067892355144957,-0.1185828149318695,-0.253491076000427,0.37679916620254517,-0.6389868403819831
-405.0,-0.017709914594888687,0.6882650678187501,0.053952764719724655,-0.14649098689029982,0.3578357696533203,-0.7126894814625714
-404.0,-0.17982997000217438,0.6533630465266578,0.23924334347248077,-0.03642377738913772,0.29877084493637085,-0.7714415836440176
-403.0,-0.3165595531463623,0.6029030846931615,0.4212867319583893,0.0741248701084532,0.20458193123340607,-0.8138629513445022
-402.0,-0.420327365398407,0.5380705801814094,0.584577202796936,0.18255796333858712,0.08431728184223175,-0.8389570281498548
-401.0,-0.48693665862083435,0.46038856847375614,0.7154941558837891,0.28632820832126676,-0.04961998388171196,-0.8461343077675253
-400.0,-0.5157362222671509,0.3716819437504073,0.8034259080886841,0.3829978500089002,-0.18262264132499695,-0.8352261826200823
-399.0,-0.5093741416931152,0.27403458874874925,0.8415707945823669,0.4702959396626482,-0.2993919253349304,-0.806488904749162
-398.0,-0.47314417362213135,0.1697404205023113,0.8273801803588867,0.5461716836399396,-0.3856629431247711,-0.7605975659809001
-397.0,-0.41401877999305725,0.061249501985496196,0.7626276016235352,0.6088426203314662,-0.42992082238197327,-0.6986302387698965
-396.0,-0.3395436406135559,-0.04888951439872652,0.6531124711036682,0.6568364934822449,-0.42484840750694275,-0.6220426502826368
-395.0,-0.25681325793266296,-0.15808925937921128,0.5080335736274719,0.6890258382149758,-0.3682675361633301,-0.532633984673007
-394.0,-0.17172901332378387,-0.2637844289079051,0.33909091353416443,0.7046544672660183,-0.2634231746196747,-0.43250461691771075
-393.0,-0.08866254985332489,-0.3634920478981909,0.15939640998840332,0.7033552352232898,-0.1185828149318695,-0.3240067711220093
-392.0,-0.010535613633692265,-0.4548697999035985,-0.017709914594888687,0.6851586634512785,0.053952764719724655,-0.20968926242347613
-391.0,0.06077200174331665,-0.5357710524648378,-0.17982997000217438,0.6504922230877221,0.23924334347248077,-0.09223762060865033
-390.0,0.12383204698562622,-0.6042952854779003,-0.3165595531463623,0.600170292955686,0.4212867319583893,0.025588997950335323
-389.0,0.17705148458480835,-0.6588327379275977,-0.420327365398407,0.5353750282982663,0.584577202796936,0.14102262798385815
-388.0,0.21817201375961304,-0.6981022241521406,-0.48693665862083435,0.45762858976474363,0.7154941558837891,0.25135151995019456
-387.0,0.2440040558576584,-0.7211812312647574,-0.5157362222671509,0.3687573850406608,0.8034259080886841,0.35398384404947764
-386.0,0.25048160552978516,-0.7275275906882077,-0.5093741416931152,0.2708491631521226,0.8415707945823669,0.44650857710102193
-385.0,0.23307186365127563,-0.7169922146977691,-0.47314417362213135,0.16620396937848234,0.8273801803588867,0.5267521419386431
-384.0,0.18750688433647156,-0.6898225987677297,-0.41401877999305725,0.05728011293323392,0.7626276016235352,0.5928294687597991
-383.0,0.11073848605155945,-0.6466570074447866,-0.3395436406135559,-0.05336358326770269,0.6531124711036682,0.6431882789029492
-382.0,0.0019743461161851883,-0.5885094803329443,-0.25681325793266296,-0.16312789409054493,0.5080335736274719,0.6766455507453
-381.0,-0.1363673359155655,-0.5167460104270655,-0.17172901332378387,-0.26943425279105915,0.33909091353416443,0.6924153110695207
-380.0,-0.29794955253601074,-0.43305245441010537,-0.08866254985332489,-0.369785326318169,0.15939640998840332,0.6901270990288039
-379.0,-0.4722137749195099,-0.3393949287604912,-0.010535613633692265,-0.4618236822878391,-0.017709914594888687,0.6698346689575753
-378.0,-0.6446223855018616,-0.23797362203839448,0.06077200174331665,-0.5433871694314245,-0.17982997000217438,0.6320147275827224
-377.0,-0.79753577709198,-0.13117110838571786,0.12383204698562622,-0.6125597105293301,-0.3165595531463623,0.5775557353005882
-376.0,-0.9117317795753479,-0.021496376451339224,0.17705148458480835,-0.6677163146099667,-0.420327365398407,0.5077370345984631
-375.0,-0.9684697389602661,0.08847411139434207,0.21817201375961304,-0.7075612509942041,-0.48693665862083435,0.42419879593253584
-374.0,-0.9518897533416748,0.19615694492735516,0.2440040558576584,-0.7311584884063324,-0.5157362222671509,0.3289034870892984
-373.0,-0.851439893245697,0.2990224551560914,0.25048160552978516,-0.73795368408056,-0.5093741416931152,0.22408977118632864
-372.0,-0.6639655232429504,0.3946541409262571,0.23307186365127563,-0.7277872062982094,-0.47314417362213135,0.11221991633372588
-371.0,-0.3950909674167633,0.4808054370039038,0.18750688433647156,-0.7008978844321351,-0.41401877999305725,-0.004078047599385801
-370.0,-0.059588588774204254,0.5554524900493356,0.11073848605155945,-0.6579173984028777,-0.3395436406135559,-0.1220720662688243
-369.0,0.3194398880004883,0.6168417026765193,0.0019743461161851883,-0.5998554393486198,-0.25681325793266296,-0.2389902418666426
-368.0,0.7125638127326965,0.6635309287001601,-0.1363673359155655,-0.5280759901122322,-0.17172901332378387,-0.35208595012916094
-367.0,1.0870012044906616,0.6944233518177958,-0.29794955253601074,-0.4442652827607072,-0.08866254985332489,-0.45870236362261707
-366.0,1.4101887941360474,0.7087932518540535,-0.4722137749195099,-0.3503921858740776,-0.010535613633692265,-0.5563348655351937
-365.0,1.653443694114685,0.7063030532702761,-0.6446223855018616,-0.2486619521797079,0.06077200174331665,-0.6426898877599162
-364.0,1.7951796054840088,0.6870112554384953,-0.79753577709198,-0.1414644130856571,0.12383204698562622,-0.7157387910529548
-363.0,1.8232139348983765,0.6513710583829498,-0.9117317795753479,-0.03131783711927435,0.17705148458480835,-0.7737655215228223
-362.0,1.7358591556549072,0.6002197162730218,-0.9684697389602661,0.0791902288597183,0.21817201375961304,-0.8154069239112651
-361.0,1.5417087078094482,0.5347588687737209,-0.9518897533416748,0.18746374592240106,0.2440040558576584,-0.839684764632368
