row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
0,5,159,1,1,short,4.422428022741848,20.8,5.184478567100796,4.978103278898973,4.390813905497084,5.525323365626207,5.132294030266491
1,6,16,1,4,short,4.530679326485426,29.700000000000003,4.747987904963367,4.717247150573058,4.85223160337848,5.567836692899544,5.33905066104703
2,12,566,1,4,short,4.766531944449061,20.0,5.022014447957,5.110295707885198,5.0746386443339215,5.820396681137887,4.794737811722901
3,20,673,1,2,short,4.720713174894938,20.700000000000003,4.424984459455361,5.405549805683926,4.616037089221611,5.6140531184785525,4.971406592755552
4,28,263,1,3,short,4.499347363089844,20.8,3.826276579837501,4.5564145794656685,4.2987438195468455,5.39770727367384,5.076877043576828
5,9,389,1,4,short,4.172724637842637,27.8,4.716618011478019,5.006572405720895,3.995232718384936,4.949821021478919,5.3567857370379
6,2,684,1,0,short,5.1468658834133265,21.6,4.76925782392595,4.593820505816861,4.067595712433003,6.0165816514520145,5.053844253802549
7,31,437,1,3,short,4.73448881577863,22.400000000000002,4.72414488564274,5.154091066456417,4.734502493862455,5.682250154855042,5.057804084571899
8,15,56,1,3,short,4.803822510483949,23.3,4.495841974301557,5.087560540502931,4.122125026064097,5.669008829110541,5.182018489282759
9,13,82,1,4,short,4.527399290257753,25.0,4.173314823668753,4.411778459594807,4.946326716324213,5.535845326316473,5.241381332972614
10,30,517,1,0,short,4.544055543870458,21.700000000000003,5.399865352872899,5.0967015972123715,4.80215500146274,5.53703564931178,5.064227944163055
11,26,124,1,2,short,4.2130283108815805,32.4,4.633017285202603,5.5227841300762845,4.7740737893856515,4.483434916149597,5.348283354179234
12,29,526,1,3,short,4.614483810029234,22.700000000000003,5.096128266224344,4.962791286648317,4.646694360818529,5.51009581466025,5.284524580865413
13,7,382,1,2,short,4.963852361255718,21.200000000000003,5.024451700464492,4.7228489014381605,4.722948550025994,5.730351740520084,5.094082888484708
14,32,80,1,2,short,4.375482870818961,13.4,4.71363263981017,4.971719089268173,4.828206319255584,5.223816793033382,5.210044694178258
15,27,366,1,1,short,4.531691886140786,22.6,4.970579989051312,5.087548418245641,5.05206033571158,5.413864056498689,5.5416145009741085
16,21,156,1,1,short,4.57144423805782,21.700000000000003,4.3259722971212,4.913070649737011,4.53078492384976,5.584889551148244,5.148327098103092
17,33,690,1,1,short,4.313162568807353,17.1,4.956627682683425,5.544620856638624,4.79434652981823,5.071977250061673,5.223297545112228
18,18,265,1,0,short,5.029625772782036,21.900000000000002,3.761270869231631,4.389964822225814,4.2384324731863945,5.754210198253181,5.203108570706103
19,11,445,1,1,short,4.445818234334755,16.7,3.5710631133353017,4.420775497415826,4.139189438417888,5.448892916707473,5.310265249595559
20,4,462,1,2,short,4.859276116267095,21.6,4.999705438017425,5.110004418635013,4.673185224256786,5.688046340493817,5.040841581159435
21,14,152,1,3,short,4.7144370694474,21.0,4.396073087281758,5.296810032541403,5.111558899366305,5.490350233416881,5.169444885513734
22,25,188,1,0,short,4.717790910499984,25.5,4.363286974351309,3.973866310129764,3.710736914793856,5.536490814196002,5.375596829324239
23,17,195,1,1,short,4.53429733762553,23.200000000000003,4.06705962988018,5.393644805748195,4.529044889030813,5.489638788940077,4.9919425658902075
24,16,205,1,4,short,4.4258386149805515,30.700000000000003,4.249781179234045,4.929574856769405,4.4214205661251205,5.419945413914438,5.542050671428867
25,24,262,1,0,short,4.821425905049504,22.400000000000002,5.153648616041808,5.411906721932169,5.003365560937029,5.598637594189619,5.038935948025476
26,1,571,1,0,short,5.010381054527154,21.6,4.369335971060169,5.205102047493936,4.305778830403147,5.828458952972746,5.172575788673293
27,0,601,1,3,short,4.541600250252945,30.200000000000003,4.401028153813108,4.836807148864912,4.688844415011371,5.024798729704342,5.369547599764603
28,8,349,1,1,short,4.212079811167415,26.0,5.1805273242785885,5.248621425781514,4.064431962981639,5.164934372934306,5.239210255981477
29,3,236,1,0,short,4.394241283047966,26.6,4.370370907852533,4.868833001774862,4.443980638265546,5.319474849397511,5.0338067798612975
30,23,569,1,4,short,4.2410992250243496,29.6,4.949240464768314,4.961952340252621,4.17457677715758,5.065515460575523,5.333914892519401
31,22,276,1,2,short,4.7139610958868134,18.7,2.4154006868873714,4.348435089546416,4.242556000783697,5.692746732603797,5.42465860785248
32,10,40,1,2,short,5.212538854394215,21.1,3.9314861591651753,3.8725245783751827,4.602386376047752,6.003683291654596,5.379996795705902
33,59,98,2,3,short,4.806106081239051,20.8,5.07945882433493,5.216511648644888,5.401134275278241,5.824565019387248,5.133803202861521
