raw_trial_index,held_out,success,normalized_error,nfev,reason,temporal_design_rank,temporal_condition,shape_rank,shape_condition,frequency_at_bound,phase_gap_mode_1,phase_gap_mode_2,phase_gap_mode_3,recording,monkey,fold,phase_gap_mode_4
5,False,True,0.8102728186932867,14,,3,1.4174850940578816,2,1.458380409707248,True,0.0199999999999989,,,monkeyT_session-y070316009-12_lfp-8,T,0,
17,False,True,0.8122902055742552,15,,3,1.4146543720683524,2,1.209371512842451,False,0.0083180790301956,,,monkeyT_session-y070316009-12_lfp-8,T,0,
3,False,True,0.7037755756798386,6,,3,1.4236778919018434,2,1.2915455437760626,False,0.0051943736566437,,,monkeyT_session-y070316009-12_lfp-8,T,0,
13,False,True,0.9482941966060344,10,,3,1.4176744825878498,2,1.136373187252996,False,0.0034556276345565,,,monkeyT_session-y070316009-12_lfp-8,T,0,
11,False,True,0.9463269231509404,10,,3,1.4252038117334416,2,1.3178139473092627,False,0.0038790084716797,,,monkeyT_session-y070316009-12_lfp-8,T,0,
0,True,True,0.8791159348981793,7,,3,1.4252552685404312,2,1.2164905903621377,False,0.0033039456316679,,,monkeyT_session-y070316009-12_lfp-8,T,0,
12,False,True,0.8833586227161004,17,,3,1.4174850940747603,2,1.4049535489759886,True,0.0199999998107673,,,monkeyT_session-y070316009-12_lfp-8,T,0,
16,True,True,0.8592698776962014,5,,3,1.4185248511495712,2,1.2753483556517105,False,0.006937779382961,,,monkeyT_session-y070316009-12_lfp-8,T,0,
24,False,True,0.6496391605636335,12,,3,1.4241574251724245,2,1.3112444830568064,False,0.005420498389407,,,monkeyT_session-y070316009-12_lfp-8,T,0,
25,False,True,0.8077772454701772,19,,3,1.4222037640602965,2,1.1208367723256374,True,0.0079999999999995,,,monkeyT_session-y070316009-12_lfp-8,T,0,
10,False,True,0.480237832449527,6,,3,1.4192763099096248,2,1.3033534811366547,False,0.0104642003718636,,,monkeyT_session-y070316009-12_lfp-8,T,0,
1,False,True,0.7612275803698042,31,,3,1.419163706363579,2,1.2358620499806858,False,0.0038497144542004,,,monkeyT_session-y070316009-12_lfp-8,T,0,
9,True,True,0.8431172136243164,9,,3,1.4278921989186395,2,1.3192789310123163,False,0.0050266170376054,,,monkeyT_session-y070316009-12_lfp-8,T,0,
23,False,True,0.88605636456736,5,,3,1.4219706049867888,2,1.277268929709775,False,0.0038040929494256,,,monkeyT_session-y070316009-12_lfp-8,T,0,
18,False,True,0.6865219925433218,7,,3,1.4191289898895196,2,1.2337251637904678,False,0.0029352097226107,,,monkeyT_session-y070316009-12_lfp-8,T,0,
30,False,True,0.823249023345654,8,,3,1.4257923137790265,2,1.250813014048242,False,0.0031765772323697,,,monkeyT_session-y070316009-12_lfp-8,T,0,
15,True,True,0.676352513453208,21,,3,1.4154130404117922,2,1.266301283044948,False,0.019004778749512,,,monkeyT_session-y070316009-12_lfp-8,T,0,
6,False,True,0.8688342467427133,26,,3,1.4222037640602967,2,1.2177760201500143,True,0.0079999999999991,,,monkeyT_session-y070316009-12_lfp-8,T,0,
26,False,True,0.8377373718609592,6,,3,1.4245576384240972,2,1.3182410292863715,False,0.0034964375216439,,,monkeyT_session-y070316009-12_lfp-8,T,0,
31,False,True,0.6220464640208423,7,,3,1.4215186943351723,2,1.2830422706938245,False,0.0031889817924346,,,monkeyT_session-y070316009-12_lfp-8,T,0,
22,False,True,0.8597832630789303,18,,3,1.4174850940578816,2,1.2855481344430235,True,0.0199999999999989,,,monkeyT_session-y070316009-12_lfp-8,T,0,
28,False,True,0.8974173412192434,14,,3,1.4230290390160147,2,1.2886538632842528,False,0.0048185793473898,,,monkeyT_session-y070316009-12_lfp-8,T,0,
7,True,True,0.6607332805384996,8,,3,1.423822483334918,2,1.2726470944792097,False,0.0058949486552435,,,monkeyT_session-y070316009-12_lfp-8,T,0,
29,False,True,0.7552919680096088,9,,3,1.4194014585545818,2,1.2859375043634824,False,0.0103997918697587,,,monkeyT_session-y070316009-12_lfp-8,T,0,
33,False,True,0.9347505013977732,19,,3,1.4227731193531352,2,1.144969082721763,False,0.017755677596561,,,monkeyT_session-y070316009-12_lfp-8,T,0,
21,True,True,0.8625657239246365,5,,3,1.4209426770457647,2,1.2786766910873997,False,0.0131293497685556,,,monkeyT_session-y070316009-12_lfp-8,T,0,
19,False,True,0.7423390559200583,8,,3,1.418329446185841,2,1.237714453366043,False,0.007176713352321,,,monkeyT_session-y070316009-12_lfp-8,T,0,
2,True,True,0.6390444915635438,20,,3,1.426592230462128,2,1.3351935717221768,False,0.0029758277042706,,,monkeyT_session-y070316009-12_lfp-8,T,0,
32,False,True,0.943963439841728,4,,3,1.41711575451086,2,1.163691293538848,False,0.0038387581299845,,,monkeyT_session-y070316009-12_lfp-8,T,0,
8,False,True,0.8598811367327444,16,,3,1.4222037640607006,2,1.14313253679632,True,0.0079999999942694,,,monkeyT_session-y070316009-12_lfp-8,T,0,
20,False,True,0.755983682529912,15,,3,1.425152170332922,2,1.2991972741354163,False,0.0037775269957363,,,monkeyT_session-y070316009-12_lfp-8,T,0,
27,False,True,0.7133338474421383,11,,3,1.4244165139468996,2,1.2617528305137962,False,0.0059120654486952,,,monkeyT_session-y070316009-12_lfp-8,T,0,
14,False,True,0.8161084159484681,111,,3,1.418754344065785,2,1.3682992217914296,False,0.0022492499115251,,,monkeyT_session-y070316009-12_lfp-8,T,0,
37,True,True,0.8481404001558785,26,,3,1.423751150688357,2,1.268136795046578,False,0.0053486217191975,,,monkeyT_session-y070316009-12_lfp-8,T,0,
67,False,True,0.7677860141108204,22,,3,1.4169572956130625,2,1.2256425099624266,False,0.0054183275190897,,,monkeyT_session-y070316009-12_lfp-8,T,0,
34,True,True,0.7499975257116658,16,,3,1.4218174557796417,2,1.236276478031126,False,0.0028792642327406,,,monkeyT_session-y070316009-12_lfp-8,T,0,
58,False,True,0.5245055293830164,10,,3,1.4156142575913928,2,1.2209114613229384,False,0.0218455487806672,,,monkeyT_session-y070316009-12_lfp-8,T,0,
52,False,True,0.7448889079819768,5,,3,1.418677590846742,2,1.2788333093962636,False,0.0023595613281663,,,monkeyT_session-y070316009-12_lfp-8,T,0,
56,False,True,0.6705867466158294,14,,3,1.4183830023077306,2,1.332740646169467,False,0.0027811789524765,,,monkeyT_session-y070316009-12_lfp-8,T,0,
41,False,True,0.8269593756639226,10,,3,1.4171809215289386,2,1.450595721123915,False,0.0042060184249903,,,monkeyT_session-y070316009-12_lfp-8,T,0,
53,False,True,0.8663343412168368,14,,3,1.414817191466206,2,1.2145550455158312,False,0.0106100975856799,,,monkeyT_session-y070316009-12_lfp-8,T,0,
63,False,True,0.7534383932767046,8,,3,1.4249010311303631,2,1.274370093097528,False,0.0044172808015465,,,monkeyT_session-y070316009-12_lfp-8,T,0,
66,False,True,0.7624229681069138,27,,3,1.4222037640829364,2,1.209248767911815,True,0.0079999996791459,,,monkeyT_session-y070316009-12_lfp-8,T,0,
48,False,True,0.629065890644684,13,,3,1.4223676648190644,2,1.1461328040086995,False,0.0024938465701289,,,monkeyT_session-y070316009-12_lfp-8,T,0,
36,True,True,0.5897226720697092,8,,3,1.4163686659803578,2,1.3585659672659012,False,0.0048913864197905,,,monkeyT_session-y070316009-12_lfp-8,T,0,
42,True,True,0.7473529934566258,30,,3,1.4174850940579329,2,1.4360823700084129,True,0.01999999999943,,,monkeyT_session-y070316009-12_lfp-8,T,0,
