recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,1,0.3544303797468354
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,2,0.2162162162162162
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,3,0.3428571428571428
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,4,0.0434782608695652
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,5,0.1428571428571428
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,6,0.3661971830985915
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,1,0.2307692307692307
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,2,0.3055555555555556
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,3,0.1095890410958904
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,4,0.1785714285714285
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,5,0.1311475409836065
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,6,0.0714285714285714
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,1,0.3846153846153846
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,2,0.1904761904761904
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,3,0.2631578947368421
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,4,0.1111111111111111
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,5,0.1403508771929824
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,6,0.2352941176470588
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,1,0.2666666666666666
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,2,0.2816901408450704
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,3,0.2142857142857142
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,4,0.196078431372549
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,5,0.2153846153846154
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,6,0.08
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,1,0.1971830985915492
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,2,0.2461538461538461
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,3,0.1403508771929824
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,4,0.2083333333333333
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,5,0.3716814159292035
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,6,0.0952380952380952
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,1,0.4269662921348314
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,2,0.1967213114754098
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,3,0.2558139534883721
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,4,0.175438596491228
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,5,0.0769230769230769
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,6,0.196078431372549
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,1,0.3414634146341463
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,2,0.2372881355932203
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,3,0.3469387755102041
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,4,0.1904761904761904
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,5,0.3428571428571428
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,6,0.1777777777777777
