recording,monkey,day,method,permutation,macro_f1
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,11,0.1248806015934367
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,12,0.0988742690058479
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,12,0.146006444117198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,12,0.137997485213084
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,12,0.121485666737387
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,12,0.1742380136986301
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,13,0.1577935392297443
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,13,0.128551934491535
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,13,0.1397978714932874
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,13,0.1964989733246319
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,13,0.1775135844429322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,14,0.160358941456911
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,14,0.1666581354081354
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,14,0.1602529716935132
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,14,0.1649404814433804
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,14,0.1928924876293297
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,15,0.1699227647162876
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,15,0.1451582708293423
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,15,0.1693930274438748
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,15,0.1560900210035544
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,15,0.1444280147517609
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,16,0.1337937531616197
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,16,0.1791551522427253
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,16,0.1330964661531053
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,16,0.1277721127437329
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,16,0.1554189427564321
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,17,0.1606061762311762
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,17,0.1488011016365024
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,17,0.138581105019362
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,17,0.1569087383040871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,17,0.1339864764408101
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,18,0.1587436950937477
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,18,0.1133160421953525
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,18,0.167388574932385
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,18,0.1382403308035104
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,18,0.1806150775410955
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,19,0.1743521478715211
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,19,0.1433784589005838
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,19,0.1380378579350888
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,19,0.1507360270430348
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,19,0.1474678543838057
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,20,0.1348731354292621
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,20,0.1540636879082517
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,20,0.1628115615180735
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,20,0.1316269758177093
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,20,0.1983899334020204
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,21,0.1107438893630081
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,21,0.165871395507553
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,21,0.114289617848322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,21,0.1754371178622011
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,21,0.193533327386075
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,22,0.1082669692686815
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,22,0.1482050203661139
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,22,0.100693435291285
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,22,0.144210500358936
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,22,0.0906023775481597
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,23,0.122061337355455
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,23,0.1695290556413953
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,23,0.1664564769352003
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,23,0.1581687986651835
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,23,0.1206914253193914
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,24,0.1814670723687022
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,24,0.1532305542754459
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,24,0.1415175506553546
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,24,0.1636978242865217
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,24,0.167326108997815
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,25,0.1337709614047523
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,25,0.1547796114913907
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,25,0.1451021374606044
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,25,0.118909846254257
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,25,0.0854250959505159
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,26,0.0950286438596834
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,26,0.1487198708749567
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,26,0.1523380664135873
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,26,0.1471816704135895
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,26,0.1844249382764272
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,27,0.148404743971112
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,27,0.1384934338841445
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,27,0.2040898775911363
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,27,0.1458504481838516
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,27,0.1809616502370038
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,28,0.1361826336254212
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,28,0.1619666761729451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,28,0.1082000542152344
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,28,0.1294851443810193
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,28,0.1551742247709321
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,29,0.1439999952440407
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,29,0.1442718762950519
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,29,0.1326021142166423
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,29,0.1411827411827411
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,29,0.1325044676840299
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,30,0.189436697232622
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,30,0.1387270927214433
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,30,0.1685122629439944
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,30,0.1239410840902105
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,30,0.2074676442555767
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,31,0.1480224125369
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,31,0.1506843517299773
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,31,0.1721446402369639
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,31,0.1187357926142421
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,31,0.1537918757162099
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,32,0.1104494397110265
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,32,0.1513726221113956
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,32,0.1116263410479373
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,32,0.1900383141762452
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,32,0.1995230438145101
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,33,0.1331841478961757
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,33,0.1367398368556737
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,33,0.1167628937327426
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,33,0.1797783325468878
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,33,0.142509423777335
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,34,0.1702632021171722
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,34,0.1123072777655541
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,34,0.1452789942615524
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,34,0.1496894526623725
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,34,0.1888565828864336
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,35,0.1431260301373767
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,35,0.1568137799554349
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,35,0.1730219408718394
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,35,0.167890944018754
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,35,0.1438770294391637
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,36,0.1131546738663423
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,36,0.1701924001924002
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,36,0.1375372662237096
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,36,0.2005296290461108
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,36,0.1496288348946326
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,37,0.1895915664929749
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,37,0.1135808186322942
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,37,0.1252333611650977
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,37,0.1726676984978777
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,37,0.1231931319922575
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,38,0.1371382557019413
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,38,0.1117154771513125
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,38,0.1470931868733334
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,38,0.0998326020524888
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,38,0.1928685149273384
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,39,0.17915274924415
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,39,0.1670298318582644
