recording,monkey,analysis,fold,dimension,tau_samples,n_training_trials,tau_method,robust_peaks_hz,adjustment
monkeyT_session-y070316009-12_lfp-8,T,short,0,3,13,158,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,short,1,5,13,158,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,short,2,5,13,158,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,short,3,5,13,159,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,short,4,5,13,159,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,matched_short,0,5,13,148,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,matched_short,1,5,13,149,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,matched_short,2,5,13,149,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,matched_short,3,3,13,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,matched_short,4,5,13,149,ami_first_local_minimum,"[22.0, 46.0]",
monkeyT_session-y070316009-12_lfp-8,T,matched_long,0,3,13,148,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,matched_long,1,3,13,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,matched_long,2,3,13,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,matched_long,3,3,13,149,ami_first_local_minimum,[22.0],
monkeyT_session-y070316009-12_lfp-8,T,matched_long,4,3,13,149,ami_first_local_minimum,[22.0],
