recording,monkey,day,analysis,method,direction,f1
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,1,0.0923076923076923
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,2,0.1860465116279069
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,3,0.0444444444444444
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,4,0.12
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,5,0.125
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,all_bands,6,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,1,0.1454545454545454
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,2,0.5
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,3,0.1463414634146341
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,4,0.4583333333333333
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,5,0.1666666666666666
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_frequency,6,0.25
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,1,0.4
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,2,0.0784313725490196
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,3,0.1428571428571428
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,4,0.1176470588235294
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,5,0.3076923076923077
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,peak_power,6,0.054054054054054
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,1,0.4523809523809524
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,0.4788732394366197
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,0.3265306122448979
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,0.4193548387096774
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,0.3157894736842105
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,0.2040816326530612
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,0.1034482758620689
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,0.3243243243243243
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,0.0689655172413793
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,0.3376623376623376
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,0.1851851851851851
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,0.0784313725490196
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,0.1515151515151515
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,0.2058823529411764
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,0.04
