row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
0,31,244,1,1,short,4.222121627522059,4.930918209114632,24.200000000000003,31.0,4.768193370187864,4.536877288990272,4.107526334981026,5.331286077044934,5.663417269630687
1,7,609,1,2,short,4.025557840023978,4.292174414930822,24.5,33.6,6.649535952646289,6.45148416654747,4.732401528901982,5.074273214382869,5.1621857210382425
2,9,158,1,1,short,4.071564843197661,4.639469992463498,25.0,30.1,4.4404362437915905,4.79114167518681,4.348828809626897,5.168735158153811,5.34330039441785
3,18,265,1,3,short,4.379042743017436,4.657157228636438,25.0,33.4,3.886383565788088,4.59633286871033,4.461077115364873,5.337256850263194,5.519521144395919
4,3,752,1,4,short,4.213984289478128,4.597191175611193,25.0,30.200000000000003,4.580429729425488,4.492162202594706,4.585406592419713,5.303392160531376,5.454397051405909
5,33,349,1,3,short,3.907458966204375,3.9904804530620037,15.700000000000001,28.200000000000003,3.62461151417313,4.043785209818078,4.115689088113613,5.183235583916236,4.803377708738063
6,28,448,1,2,short,4.356515212169156,5.06981229313192,25.0,29.200000000000003,4.303362211232461,4.39699144560786,3.576025681440786,5.674750798786984,5.630530169276713
7,17,74,1,0,short,4.116341912345485,4.542084400893409,17.5,32.4,4.373846469231812,4.490679889594157,4.478208429123753,5.0954697090493095,5.428174565783625
8,13,485,1,4,short,4.399125938900319,4.5691506644399,21.6,32.0,4.077926449002795,3.5601128695335174,4.555698550161494,5.408448881392548,5.387413830240184
9,10,22,1,2,short,4.117412173822586,5.2354060249017556,25.0,30.200000000000003,3.932359747258817,4.383850387282593,4.535523381351087,5.690174275029779,5.743363478727025
10,20,451,1,2,short,3.991574255498428,4.156218524837608,25.0,28.3,4.301517858709259,4.3867759827424395,4.299137884436076,5.0959179450594,5.075994502982559
11,5,99,1,0,short,4.783606870503688,4.738084073515211,23.5,25.0,5.205008744996215,4.727889052410458,4.348731764207519,5.7526719304662635,5.58012369924659
12,1,224,1,0,short,4.031880703243088,4.551391625466322,15.4,32.300000000000004,4.712582887959212,4.255578080120829,4.064856681347839,5.088204680871522,5.271531031113141
13,16,545,1,3,short,4.312159751774472,4.765499598183199,25.0,29.200000000000003,5.31131412648234,4.9528980156034,4.123343139579846,5.428593848802833,5.3935634288752405
14,23,386,1,0,short,4.515800825573267,4.803558344532025,25.0,28.200000000000003,4.176882198795912,4.4217212095948595,3.882935282122985,5.385072537842887,5.387678320076817
15,11,55,1,1,short,4.131183776852775,4.469991965543208,23.400000000000002,31.3,3.791114690315803,3.4841193202232836,3.722741437224154,4.879747771315221,5.334774187643945
16,22,87,1,4,short,4.277777535171178,5.095584841456109,25.0,30.3,4.614814033509278,4.28753214681996,4.511715415688442,5.739775523207364,5.687683347160948
17,24,513,1,1,short,4.0265641986435945,4.948190513198782,22.3,30.200000000000003,4.2628969840786946,4.436964704504873,4.2704612964848945,5.429766608598967,5.364221623677726
18,19,336,1,2,short,4.1332926892871,4.730460534165876,25.0,29.700000000000003,3.780283615065745,4.28618748323664,3.755959982972611,5.270449268425464,5.1720403560559465
19,12,659,1,0,short,3.6354090866952946,4.148769706642218,20.400000000000002,35.0,3.7661783235929853,4.625240595186671,3.9616118887304967,4.68936657162794,5.234785128459553
20,6,321,1,4,short,3.8713478123309324,3.7036595700251813,18.900000000000002,35.800000000000004,4.912007762072522,4.060657058172325,3.7963805285027314,4.912427448813922,4.7434140077454865
21,14,20,1,0,short,4.2337074255698095,4.237126842465038,25.0,25.3,4.324486593313528,4.061497017441229,4.1467893862202025,5.133115180109531,5.015916112118203
22,30,649,1,4,short,4.254569380572621,5.163835275107511,25.0,29.5,4.765545882200785,4.28961714460974,4.069111643967048,5.77776861867343,5.623650612410598
23,2,658,1,2,short,4.127894944133243,4.129544464106112,25.0,25.200000000000003,5.8591560972008265,5.141330076123339,4.421277590325249,5.102628815282655,4.590702502897005
24,25,216,1,2,short,4.1047884988597145,5.395412114513328,25.0,29.700000000000003,4.123793705796554,3.891810906973187,4.424245475954486,5.919371444282699,5.681506138045805
25,29,620,1,1,short,3.906723510685497,4.128330593484763,23.200000000000003,30.900000000000002,6.553517885803997,6.176775162575398,3.747268755215594,4.679917200207896,5.144324257703243
26,32,306,1,1,short,3.9167876706288878,4.447663315901717,25.0,33.5,5.604593584946963,5.023922686443704,4.114058919423874,5.062154449011986,5.320256497379417
27,21,548,1,1,short,4.093459086138454,4.327297525532119,25.0,28.900000000000002,4.230309664339359,4.327740074928002,4.737764113834269,5.0510736834136996,5.081840209841422
28,27,264,1,4,short,4.4842644894603545,4.664977641806439,25.0,28.1,4.581365768867494,4.3600630879657,4.487087972134913,5.596420653000805,5.305304153693183
29,4,661,1,3,short,4.105163372831505,4.725264719571044,25.0,31.400000000000002,5.925147019799113,5.004206723367939,4.5308469327342396,5.305291216051643,5.49967788362087
30,15,745,1,3,short,3.7504374019229907,4.2354118166159065,25.0,35.300000000000004,5.365571786219567,4.65046041619078,3.6388822692054794,4.7870078917688135,5.181580636748703
31,0,81,1,0,short,4.326978733448437,4.011562235308404,18.2,31.700000000000003,3.988875282197286,4.353653798858741,3.7547508136049195,5.162500606379679,4.989353265662882
32,26,217,1,3,short,3.688374606908649,4.328545253879338,15.8,30.400000000000002,4.308408147679955,4.824523124719336,4.209226722167536,4.886747594197437,5.057319075606993
33,45,168,2,1,short,4.571756848259053,4.747300504951983,25.0,27.0,3.8270988470228877,4.438645981654239,3.8480410961497378,5.559853884107461,5.203935427051122
34,57,424,2,2,short,4.319942662595028,4.684585453499829,25.0,29.8,4.337116348631253,3.9506762254485963,4.7928524535764,5.396408723827681,5.431407147443608
35,37,301,2,3,short,4.224240280321074,5.050959801914005,25.0,30.6,4.403970750300046,4.419167553237355,4.297952895810983,5.383366306237763,5.692297269209747
36,39,671,2,1,short,3.900785302541239,4.46242130621003,12.0,32.6,4.534139035316537,4.192239915401707,4.583901932007171,4.637133098364392,5.289469587506466
37,49,112,2,4,short,3.7334544384010395,4.350225536942187,25.0,36.4,4.231070983920824,4.881375740484397,4.22620405545256,4.713954344671234,5.311350790970607
38,61,256,2,0,short,4.254954455470428,4.753952718392035,25.0,29.5,4.698399615660135,4.493109483474761,4.498515599156793,5.167088645900905,5.334990062770926
39,65,401,2,0,short,4.613354081795,5.264182100606732,25.0,28.8,4.1937736366773235,4.1904509064243385,3.745004335206791,6.021108941898456,5.501343702097252
40,56,157,2,4,short,4.282757033234461,5.145148907557632,25.0,30.5,4.187719529112497,4.382188777341034,3.3886388268137315,5.537662890619041,5.749298462629292
41,62,585,2,3,short,4.461637092580157,5.164456592053949,25.0,28.6,3.0158469751250223,3.8550016674319667,4.1079020672995235,5.828826565132088,5.301202275470098
42,66,248,2,2,short,4.570650941544357,4.856901945425393,25.0,28.1,4.059409942387484,4.441791170635171,4.655849803309143,5.757942385921996,5.569729415603686
43,60,13,2,0,short,3.6549240570987833,4.820742662265979,12.0,31.200000000000003,4.372790043901158,4.690055957988732,4.471078667295374,5.055820583391023,5.531919165308422
44,38,408,2,3,short,4.44393952193868,5.143362239509549,25.0,29.3,4.969659885396687,4.61610100129609,4.29011010096217,5.8413416467335715,5.678498541115317
45,59,313,2,1,short,4.038429523907595,4.760870400109496,25.0,34.0,4.833920490170029,4.751537236305746,3.9912803528679945,5.259181534203512,5.6213965489735855
46,54,103,2,2,short,4.329797474416965,4.520505077901854,25.0,30.5,4.506503853803196,4.363288919666122,3.8946698805020636,5.402587668321893,5.332781392029825
47,48,477,2,3,short,3.9045614923694365,4.806895372978941,15.5,31.1,4.277513516008951,3.539925763305012,3.774663120073311,5.149337487756522,5.561411878688973
48,55,479,2,0,short,4.834851496626071,5.077188357401408,25.0,29.200000000000003,4.3792884876464955,4.390471464384396,4.2214049308113495,5.925093811021422,5.609867829415082
49,67,719,2,4,short,4.032900399990852,5.1430073054264795,12.200000000000001,30.3,3.0592786386351194,4.334637701917335,4.821124435138206,5.686525786516428,5.7976272294680875
50,53,748,2,2,short,4.7386669226286475,5.385122303254015,25.0,28.900000000000002,4.230434884778152,3.9460417807759747,3.7693417470839523,6.091385994064721,5.585470988853958
51,40,262,2,4,short,4.496977982560358,4.850179967355392,25.0,28.3,3.091166697987633,4.77865075339816,4.933714801595598,5.77775494304989,5.48553674154771
52,51,155,2,1,short,3.4566582770234593,4.879678387338854,20.8,31.5,4.521662236596665,4.509794158369517,4.234874984560165,4.84869028652435,5.599362254408341
53,63,395,2,1,short,3.7140625379956376,5.066647712968033,25.0,30.900000000000002,3.038301543885989,3.7105935529179717,4.073540552726146,5.371353539085764,5.674913746248814
54,36,70,2,0,short,3.9266784146281952,4.2324322584434375,18.6,32.800000000000004,4.351929887131799,4.544702149839786,4.585076351346206,4.862380568887448,5.086134588279174
55,34,676,2,4,short,4.23133783809114,4.842188277666867,25.0,28.8,4.111895829369463,4.362125557327842,3.571076585777663,5.541678079687422,5.284224306639355
