direction,n,mean,sd,median,q25,q75
1,33,26.757575757575758,7.245819066150764,26.0,22.0,32.0
2,33,24.0,8.714212528966689,22.0,19.0,29.0
3,33,25.939393939393938,8.989366614017483,24.0,20.0,30.0
4,33,26.181818181818183,8.483272310312165,26.0,20.0,32.0
5,33,25.818181818181817,7.592984201939914,25.0,21.0,30.0
6,33,25.12121212121212,8.207304580972275,25.0,19.0,32.0
