row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,power_frequency_1,power_frequency_2
0,5,159,1,1,short,4.422428022741848,20.8
1,6,16,1,4,short,4.530679326485426,29.700000000000003
2,12,566,1,4,short,4.766531944449061,20.0
3,20,673,1,2,short,4.720713174894938,20.700000000000003
4,28,263,1,3,short,4.499347363089844,20.8
5,9,389,1,4,short,4.172724637842637,27.8
6,2,684,1,0,short,5.1468658834133265,21.6
7,31,437,1,3,short,4.73448881577863,22.400000000000002
8,15,56,1,3,short,4.803822510483949,23.3
9,13,82,1,4,short,4.527399290257753,25.0
10,30,517,1,0,short,4.544055543870458,21.700000000000003
11,26,124,1,2,short,4.2130283108815805,32.4
12,29,526,1,3,short,4.614483810029234,22.700000000000003
13,7,382,1,2,short,4.963852361255718,21.200000000000003
14,32,80,1,2,short,4.375482870818961,13.4
15,27,366,1,1,short,4.531691886140786,22.6
16,21,156,1,1,short,4.57144423805782,21.700000000000003
17,33,690,1,1,short,4.313162568807353,17.1
18,18,265,1,0,short,5.029625772782036,21.900000000000002
19,11,445,1,1,short,4.445818234334755,16.7
20,4,462,1,2,short,4.859276116267095,21.6
21,14,152,1,3,short,4.7144370694474,21.0
22,25,188,1,0,short,4.717790910499984,25.5
23,17,195,1,1,short,4.53429733762553,23.200000000000003
24,16,205,1,4,short,4.4258386149805515,30.700000000000003
25,24,262,1,0,short,4.821425905049504,22.400000000000002
26,1,571,1,0,short,5.010381054527154,21.6
27,0,601,1,3,short,4.541600250252945,30.200000000000003
28,8,349,1,1,short,4.212079811167415,26.0
29,3,236,1,0,short,4.394241283047966,26.6
30,23,569,1,4,short,4.2410992250243496,29.6
31,22,276,1,2,short,4.7139610958868134,18.7
32,10,40,1,2,short,5.212538854394215,21.1
33,59,98,2,3,short,4.806106081239051,20.8
34,43,260,2,3,short,4.939358886239757,21.700000000000003
35,35,622,2,4,short,4.741508814379755,23.8
36,39,198,2,3,short,4.440939979953431,24.5
37,54,628,2,1,short,4.788757488252593,24.200000000000003
38,60,647,2,3,short,4.598423457706693,24.700000000000003
39,50,10,2,0,short,4.364906962447432,32.300000000000004
40,52,412,2,0,short,4.678539262329484,24.0
41,49,670,2,4,short,4.8211085378254985,27.200000000000003
42,55,150,2,3,short,4.860464570749721,22.900000000000002
43,38,521,2,4,short,5.1428420212478825,19.900000000000002
44,65,131,2,0,short,4.622839223575522,23.900000000000002
45,41,579,2,2,short,4.961998204583119,20.700000000000003
46,66,419,2,1,short,4.896433840061225,24.8
47,58,580,2,3,short,5.1996218862791,23.400000000000002
48,44,428,2,2,short,5.369463945588342,22.700000000000003
49,36,543,2,4,short,5.077011995233153,21.400000000000002
50,61,387,2,4,short,4.90675876047284,21.6
51,45,158,2,1,short,5.1057555969440855,23.8
52,51,275,2,4,short,4.503898725513123,22.8
53,63,254,2,0,short,5.129531872301876,21.8
54,62,220,2,0,short,4.362382079497109,21.900000000000002
55,64,589,2,2,short,5.046063377072111,22.200000000000003
56,53,530,2,3,short,4.470833824141506,18.8
57,56,531,2,0,short,5.0447215809119665,21.200000000000003
58,67,91,2,1,short,4.658787006621762,24.0
59,37,96,2,2,short,4.982080153135562,25.900000000000002
60,47,197,2,1,short,4.30159498627408,23.700000000000003
61,57,281,2,2,short,4.631839792528282,24.900000000000002
62,48,401,2,4,short,4.665463530437473,23.3
63,42,34,2,2,short,5.111226853446691,21.0
64,34,479,2,0,short,5.269991909296128,22.400000000000002
65,40,117,2,1,short,4.75875585280431,23.1
66,87,663,3,4,short,4.355291518336661,29.0
67,77,14,3,4,short,4.754154723935282,23.8
68,76,540,3,0,short,4.937725809264004,19.0
69,85,128,3,1,short,4.758026018780835,29.400000000000002
70,68,420,3,2,short,4.942139992642585,19.700000000000003
71,83,503,3,3,short,5.06346217931789,20.700000000000003
72,84,636,3,2,short,4.952713563986274,21.1
73,72,307,3,3,short,4.4661563457003615,20.6
74,69,612,3,3,short,4.6920583275546335,19.3
75,99,609,3,2,short,5.030009345983763,24.6
76,93,46,3,4,short,4.6278735342706785,23.400000000000002
77,89,615,3,0,short,4.902376507137025,23.400000000000002
78,82,510,3,4,short,4.54791566047003,21.6
79,96,43,3,0,short,4.780185743956336,25.8
80,86,147,3,3,short,4.480832212424479,23.5
81,94,406,3,4,short,5.120549497407495,20.6
82,74,200,3,1,short,4.994508954872186,22.1
83,79,48,3,0,short,5.0844576788070555,21.400000000000002
84,80,177,3,2,short,4.971833027640531,20.900000000000002
85,97,319,3,3,short,4.683012236574325,25.8
86,88,137,3,3,short,4.750801011636147,21.1
87,71,309,3,2,short,4.676052738774846,23.5
88,91,416,3,0,short,5.03309582584463,23.1
89,98,669,3,1,short,4.909762673080695,17.2
90,78,572,3,1,short,5.084751187044649,21.1
91,100,477,3,0,short,5.148078953284526,20.900000000000002
92,95,323,3,1,short,4.856154582930934,25.0
93,92,196,3,2,short,4.252716892488062,14.0
94,90,494,3,3,short,5.3407140788198335,21.400000000000002
95,75,51,3,4,short,5.062586625831769,18.900000000000002
96,81,432,3,1,short,4.502892736520926,19.1
97,70,144,3,2,short,5.019351884246579,21.900000000000002
98,73,216,3,1,short,4.860080503848158,21.5
99,114,312,4,2,short,5.192784603358887,20.3
100,101,400,4,2,short,4.356686575862728,21.1
101,106,333,4,2,short,5.02403068754332,25.0
102,109,459,4,4,short,4.932309050011355,22.0
103,121,606,4,1,short,4.701627748734017,21.700000000000003
104,125,86,4,0,short,4.470799748607731,23.6
105,110,242,4,0,short,4.781452922767916,20.1
106,115,248,4,1,short,4.732767895665822,20.200000000000003
107,103,89,4,4,short,4.804760877568959,16.3
108,133,691,4,4,short,4.330332697208023,25.900000000000002
109,102,94,4,3,short,5.024304150042313,19.200000000000003
110,119,17,4,0,short,4.948620504141387,23.5
111,105,109,4,4,short,4.806152749798423,22.5
112,127,695,4,3,short,5.090899048642448,19.8
113,134,116,4,2,short,4.703729543092618,24.0
114,116,361,4,1,short,5.034878811616237,21.8
115,111,283,4,3,short,5.06518506142072,22.1
116,123,511,4,2,short,4.672040258043465,29.6
