method,dimensions,n_trials,macro_f1,macro_f1_ci_low,macro_f1_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,null_f1_low,null_f1_median,null_f1_high,permutation_p
peak_power,1,198,0.161540528610915,0.11613240745115948,0.20835560093172326,0.18686868686868688,0.1414141414141414,0.23737373737373738,0.09705627736433418,0.13588140943870058,0.18379448388319583,
peak_frequency,1,198,0.17143919031945695,0.12301025880635316,0.21898498026455382,0.18686868686868688,0.13636363636363635,0.23737373737373738,0.1008517691595854,0.14013528295226493,0.18864057885431632,
power_frequency,2,198,0.18602086954699307,0.13590701739755773,0.23771792890772594,0.1919191919191919,0.1414141414141414,0.2474747474747475,0.0981523814940858,0.14556702559652318,0.19824205022952196,
all_bands,5,198,0.22596628573771294,0.16940621370673886,0.2817671544657079,0.23737373737373738,0.18181818181818182,0.29292929292929293,0.10204442305969766,0.15587445504933095,0.21765865187542155,
geometry,14,198,0.22792144399501457,0.1760383475794237,0.28051448658685396,0.2474747474747475,0.1919191919191919,0.30303030303030304,0.10290284319440052,0.15847507049123402,0.2247045294111257,0.016983016983016984
