true_direction,1,2,3,4,5,6
1,6,8,6,4,7,2
2,11,9,3,3,4,3
3,7,5,1,4,10,6
4,8,4,3,3,11,4
5,9,1,0,3,14,6
6,5,4,4,3,13,4
