true_direction,1,2,3,4,5,6
1,5,8,3,4,7,6
2,5,12,3,1,4,8
3,3,10,8,1,7,4
4,5,9,7,0,6,6
5,5,3,4,3,17,1
6,5,7,5,6,3,7
