row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,model,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z,fit_status,unusable_reason,usable,warnings
0,5,159,1,1,short,one_torus,494,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,40,4.856065342613126,1.2052075689355055,,1165.8114512950883,0.004449768888776029,0.10247535031098819,0.08191743355915042,0,0,0.010501197421359746,0.01112818507138456,0.9089068825910931,0.9990697302554172,0.12673059490551036,0.03441295546558704,3.5492607518664143,1.2963854781958573,1.0578886501561657,0.4497999265589364,0.1642917028786718,0.2372922121547104,0.20829308061462878,0.13497973923727194,-0.4368272843139202,0.7865929709145151,-0.4364096948811274,0.5561308462304487,0.6174717886285842,0.5562796707743526,0.7070363537670501,0.000297244985988821,-0.7071771391208947,returned,,True,
1,6,16,1,4,short,one_torus,494,True,3,`xtol` termination condition is satisfied.,34,4.195162690205515,7028415.27713845,,1068.4215197887695,0.0036680610251036277,0.08906890539996615,0.07513392414567133,0,0,0.007933269909148118,0.009127739395632665,0.8785425101214575,0.999547426423638,0.12559007164476071,0.06072874493927125,3.479786623314635,1.2863872376060526,1.0418974360640252,0.4370266513306905,0.16155746533389637,-0.4920212990289336,-0.4730255655981499,-0.3590871635230676,-0.4385292084216866,0.7820819565878981,-0.4427639851434614,-0.5532121519776559,-0.6231705217353424,-0.5528243986496546,-0.7082714509731237,0.0025127711033899607,0.7059357178354188,returned,,True,
2,12,566,1,4,short,one_torus,494,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,33,4.8306200173431675,0.6734355085398297,,2269.81682924327,0.001692849222208406,0.08819441229580517,0.06836469688075833,0,0,0.0077782543602024695,0.007705230329004426,0.9311740890688259,0.9997033826949417,0.09143057988689292,0.03441295546558704,6.155125084455721,1.3687853090469226,1.708998725801891,0.5627666557482387,0.1251488345468404,-0.19614803079623694,-0.23741369226332126,-0.24971598448904603,0.42818468753716166,-0.8043544888727637,0.4119122838525374,-0.5683671591666576,-0.5940717470625755,-0.5692429461318277,0.7025785690852189,0.009623698423074957,-0.7115411011943218,returned,,True,
3,20,673,1,2,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,20,4.814151903218233,0.00011884969308214953,,1759.2731945485352,0.002484339482704075,0.09406079369797397,0.07388098111984442,0,0,0.008847432911092822,0.008839218141202374,0.9412955465587044,0.9994122765634971,0.11426868212037615,0.02631578947368421,4.391951370795728,1.4987483772986123,1.3043943127781539,0.5018624950777216,0.1712600019040037,0.7319135080489882,0.8080680473116474,0.779812145109859,-0.4253354342550839,0.7960090063374288,-0.4306500089356589,-0.5638527329643116,-0.6052726381992457,-0.5618853343645852,-0.7079264537323037,0.003833441795953476,0.7062757540989225,returned,,True,
4,28,263,1,3,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,32,4.910058814732207,0.11334754331054976,,2181.0720854681545,0.002069344336114456,0.0955845976988381,0.07523559483458538,0,0,0.009136415317248726,0.006384337776374867,0.9251012145748988,0.9998102678571041,0.09693863791317761,0.024291497975708502,5.853977273337933,1.5595738670152555,1.6737228976768856,0.5674765832521736,0.1511829663934719,0.17666864429080684,0.13714773100798675,0.07291629953301476,0.4250703458724353,-0.7978836350105869,0.4274305862263945,-0.5649133561578057,-0.6028083523402901,-0.5634669381439419,0.7072397762376719,-0.0019481607051237135,-0.706971076901421,returned,,True,
5,9,389,1,4,short,one_torus,494,True,3,`xtol` termination condition is satisfied.,39,4.304207701004575,5.31890282661301,,778.2491835397228,0.00743258241168732,0.10820958440386418,0.08689571997837421,0,0,0.011709314156857005,0.011584023665483617,0.8603238866396761,0.9987389675489016,0.22772031244379423,0.06882591093117409,2.447008931423807,1.0053994502768155,0.6665562165839654,0.5572336384168121,0.228949876947949,-0.03802723341868679,-0.06004343513996794,-0.0663820057413528,-0.4409482834983748,0.7788900063776814,-0.44597642229606155,0.5511567821820887,0.6271527969606236,0.5503685771527589,0.7083719451903445,-0.003118850454827014,-0.7058324589001898,returned,,True,
6,2,684,1,0,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,37,3.4754487754645162,0.25398637723147255,,1991.4450908104045,0.0018726646035695728,0.08688617817885891,0.06848164854897726,0,0,0.007549207958528418,0.0083254152038175,0.9008097165991903,0.9995944992570784,0.22776370472440888,0.04048582995951417,4.2677719119437345,1.6522896043802369,1.1429215932923267,0.9720435415833064,0.3763316015713588,-0.2665710643124212,-0.35361457852955014,-0.4022359054531634,-0.4292507467687051,0.7965109649543656,-0.4258099095905424,0.5629240226424004,0.6046201127651704,0.5635166936035977,0.7063004609434214,0.002191334358271471,-0.7079087913868853,returned,,True,
7,31,437,1,3,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,17,3.79928904819464,0.0004436754721448416,,1113.4227027819754,0.0032463747273315693,0.0855393382423579,0.06889308203288731,0,0,0.007316978386940514,0.008275864964664467,0.9008097165991903,0.9994507006632204,0.1555099309519297,0.044534412955465584,3.5506192985807914,1.1677125116071485,0.9961460890442783,0.5521565619590434,0.1815908920517832,0.39522093528004154,0.404282349356941,0.3609333554401227,-0.4316101068181998,0.790551552238934,-0.4344432747142378,0.5602457246405277,0.6123897304947873,0.5577665694576288,0.7069918271894378,-0.002657298634254734,-0.7072167242432186,returned,,True,
8,15,56,1,3,short,one_torus,494,True,3,`xtol` termination condition is satisfied.,30,3.7982700834662877,0.8301063980533366,,1622.272898886458,0.0019235434709370476,0.07947846756919828,0.06278834510760932,0,0,0.006316826807148104,0.006735785152436332,0.902834008097166,0.9997570814611472,0.1302014635893179,0.0465587044534413,4.130035437988722,1.3859547323200063,1.1994500442475167,0.5377366587020114,0.1804533346166498,-0.09226196456900586,-0.1044258985125606,-0.12183626138878857,-0.4250100731526053,0.7971983150167562,-0.4287671678810978,-0.563937980747982,-0.6037130820963906,-0.5634753485056516,-0.7080539468055944,0.002315391777821091,0.7061545492113859,returned,,True,
9,13,82,1,4,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,43,4.883604555991624,0.5405229537935051,,1903.7139719222396,0.002769760572930851,0.1033138363850593,0.0793632563090389,0,0,0.010673748788598803,0.010071547922195943,0.9230769230769231,0.9993804912141588,0.14985051544713043,0.03643724696356275,4.395932091106213,1.38729612727963,1.2291521222280344,0.6587326897229979,0.20788703975070774,0.16297185672048067,0.1027371529959427,0.04803613475390044,0.4277846790565721,-0.7994643627354954,0.4217309581711296,-0.5654771258375506,-0.600704556949886,-0.5651456939693908,0.705149550462348,0.0032814592115736584,-0.7090510161520054,returned,,True,
