permutation_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
0,0.15927929635758,0.1601474177862346,0.18299919672700937,0.12339693228582117,0.23427899763458412
1,0.2097418017288374,0.10467374208145332,0.16709780138470484,0.1653853733530721,0.1346862261737065
2,0.1805616577143941,0.14912833315770843,0.16796157059314953,0.14726018813300565,0.20298241518829754
3,0.14817970343832412,0.16491001755544796,0.16989596425080297,0.2005581313824348,0.13706896551724138
4,0.12759201985361443,0.12408572212835635,0.13310531496911424,0.17627284069766533,0.1878728354050022
5,0.11261185356710231,0.12742106281588159,0.10111456080321145,0.22051805962296714,0.15881625265186908
6,0.14999843829410675,0.18896537749294232,0.19543877786874544,0.12797299080920377,0.1582352941010013
7,0.12193766664426071,0.16175257731958761,0.13364898888749532,0.13280004322239275,0.1577392284957907
8,0.17151194358483857,0.14843064159350158,0.11248841033244705,0.0869179762370169,0.19422530717136208
9,0.1775405297584661,0.11889089976011497,0.10920856037200925,0.1409276214445547,0.1725318374555541
10,0.11799074380135544,0.15024446616098155,0.14724047025009454,0.18081418126405538,0.19876612150727305
11,0.13595672664300115,0.13883422789710456,0.13745181567230294,0.14302844095341605,0.14198513461797366
12,0.12836349296315705,0.14685420660829732,0.13089476075746806,0.14917569091262567,0.1303141303141303
13,0.18699399157026275,0.1310998332842993,0.14792703272063815,0.12225660210832634,0.1692176721509859
14,0.12431812809154896,0.17027865789835797,0.1298195648963512,0.1626974075566787,0.15157004714485592
15,0.156416129557196,0.10856009070294785,0.13057923578568056,0.21363985462645096,0.12753042014131982
16,0.1467404956766659,0.12206710732842863,0.11194059495143087,0.1021866394629564,0.14025757908919625
17,0.09980589895724268,0.12635885566196045,0.13185498170878288,0.14110466902864563,0.1345458308442468
18,0.13571432034034134,0.12264605067238883,0.12577677961136607,0.13355098780902874,0.14009965418019585
19,0.1336378690648022,0.191778379704488,0.1645926384021622,0.17455025269670577,0.15035152690295558
20,0.08051532596344117,0.10011498489747966,0.1018128424668545,0.1256706846936159,0.174557282610483
21,0.14841430749513837,0.12227634007130056,0.1705196605161556,0.16492977020096747,0.24385750975424889
22,0.09906760454548848,0.16108666069917962,0.1327878337186848,0.17575832485668552,0.14629259716455317
23,0.18671381546485377,0.16551614787142113,0.16636869789043704,0.19257377017222746,0.17295762890512686
24,0.10556315494986325,0.12148802941759897,0.1259771829928037,0.19900268161137727,0.15527676152507014
25,0.12632424485534996,0.13219270759151117,0.15463427378871727,0.14001062738463918,0.19120206303532064
26,0.13482286634460547,0.12624368686868687,0.13191424886295325,0.1883575482323342,0.2014904688903818
27,0.11535756535756536,0.12418591071986858,0.15234184984407997,0.2045426908877839,0.14073080188555442
28,0.15298215880305435,0.17599048760720973,0.11509127122671244,0.18071912122312475,0.20583590724394854
29,0.11530322127050063,0.10868004753491696,0.11446426861071234,0.1458498454768564,0.16148549594908326
30,0.12164854188717537,0.13727004104818563,0.11278855540812306,0.11681619507706464,0.1645050530826393
31,0.13221504869380948,0.16313894421569056,0.15813217772900523,0.13120077907380698,0.11619953279296132
32,0.145294231052745,0.11568128847172894,0.12051431811409942,0.16829255900867157,0.16897129713133463
33,0.12555880156782248,0.12956324435725183,0.10581734572873679,0.1068246279424074,0.13705322615687787
34,0.16289738124600509,0.12344257764380374,0.17750467617488894,0.18534402307203046,0.2636331516148587
35,0.14740610565590517,0.11931223401062331,0.1855487722154389,0.1958582353319195,0.17290114848862248
36,0.1336566383405404,0.18783404406377113,0.19738557432670714,0.18528253447560958,0.1934608162557495
37,0.14963018006592413,0.09655864362280503,0.14580849362785397,0.1609633176229264,0.14716787792768202
38,0.13500676278454055,0.14196432172384987,0.16765984899837705,0.242704066731983,0.1815321973108858
39,0.13284377250386828,0.12839604862409496,0.16806595789212153,0.2035018607102257,0.17510498303181232
40,0.10697085902860541,0.14296006946320086,0.12609509491203644,0.17098025053403498,0.16268508810653717
41,0.1332981512595565,0.17725217979013044,0.16296590743271458,0.12446083933012037,0.21344628880895344
42,0.14769202806005696,0.1313834889894842,0.12462943166648055,0.13192478798205487,0.14038958169392954
43,0.13698325352554208,0.10672777530800855,0.13920664376873895,0.1677179296604855,0.1546657470126592
44,0.11430080544991804,0.12250481000481,0.11155461883948421,0.1295139131276821,0.13275010686450747
45,0.19148541311727327,0.12479360615612717,0.14330983296609098,0.14364892807768945,0.24132604405902694
46,0.15462935164443214,0.1278838904538913,0.1734078735266756,0.16686851704129613,0.15446991501300883
47,0.1040441260601801,0.10740259299437095,0.08320548342478166,0.13329507344179745,0.20664651527099845
48,0.11526943466793688,0.13768050069774207,0.15597218862084591,0.1455679086155735,0.1422730369913714
49,0.14837734436512484,0.09515896813498013,0.13641790954283115,0.1429855402952159,0.13520774031609942
