resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
0,0.17478638642359687,0.1760999900831598,0.16296294694545946,0.18891448266448266,0.2197283900780744
1,0.15923464765199383,0.15619311181418924,0.1646983790779489,0.23058742778779184,0.24752378155483512
2,0.14980443759245798,0.20171665738229203,0.16049126201300115,0.20367286201098198,0.22024118708718834
3,0.2134957779020076,0.1788445018347096,0.2553463105396202,0.24284767180926722,0.21701326337596827
4,0.1495301764297566,0.1590189003198807,0.18190051047137354,0.191459859662132,0.19582359695570606
5,0.20174382552275386,0.16873866873866872,0.1790406393017042,0.2255290352546179,0.1829338927543441
6,0.15594860292108734,0.17913694302503025,0.19186993348759418,0.2209141865110237,0.21335122992741273
7,0.14123610088042374,0.15687392969704086,0.18973412260074016,0.2267629453814587,0.24554898933568517
8,0.17568485610184179,0.1795412304637539,0.17289181249560437,0.2055051636097854,0.24074528422354513
9,0.20551295422697177,0.14166563595135026,0.19462269884967473,0.23009127841672158,0.20998530416649297
10,0.2160367308584024,0.1953269958477524,0.21844890214455434,0.24397446365566489,0.2697052097855444
11,0.2090619555499258,0.12283974066020646,0.1696721410403441,0.21617799794760692,0.2711045782792168
12,0.14852845486020497,0.17424294924294925,0.13595342235358807,0.25249428774653965,0.18568620480640544
13,0.1687390982706167,0.14721361694169685,0.18399349770360648,0.17844406703254653,0.2424087925056927
14,0.10508476288618131,0.17131116160583548,0.20162751333675186,0.20432880719765967,0.19624220699925252
15,0.1879210621446646,0.1883734153463066,0.21054547137763946,0.2627434991718952,0.2412791977783955
16,0.12253620476398425,0.18587593070521094,0.14221692270146194,0.2361861718492054,0.18705190415544917
17,0.17360557098312465,0.16454632494130347,0.19669322286034854,0.28722949465780334,0.26228985344785677
18,0.1369694260762946,0.1635860663029779,0.16883439962838034,0.22598817532477475,0.21706443520169008
19,0.15521548549618158,0.1757770190262362,0.16277574648824392,0.25823197845244533,0.1851026900029038
20,0.14553272763308375,0.1576896144301303,0.21120095178321371,0.24795984597726325,0.20777728816572769
21,0.12586228852213507,0.23323581752546715,0.1667103471742187,0.19229260059951245,0.2037372721700502
22,0.15664521221014252,0.12317365289273795,0.17537930209163086,0.2307728011791137,0.23688831948835606
23,0.18407896491930106,0.12853077407496416,0.14999610674493302,0.15750341554527228,0.19075942046926067
24,0.16503342698916626,0.18764905983937982,0.15416792025318748,0.19786639680927828,0.19903381642512075
25,0.15835156741664755,0.16250145717891684,0.13476056949468437,0.19354806509990227,0.2231073832604856
26,0.1369033744033744,0.19533429533429536,0.2001220565768178,0.28583591705692735,0.23379378654285485
27,0.18799413860586764,0.16283354700451855,0.17333792333767173,0.23230088580393382,0.26715839215839216
28,0.1799281791334034,0.1707321423235696,0.20197944066815854,0.22854720812724524,0.23507807108350587
29,0.13348094371363173,0.20112613957964398,0.1726055422090327,0.21993133066992018,0.25766451664451434
30,0.1432373870113405,0.1930976290798506,0.23447592733938294,0.2519873326506618,0.25851082980488643
31,0.1516816916883415,0.1418187964841109,0.158553551798816,0.2155357755279077,0.23661978288432664
32,0.09937979429268627,0.18704961199179718,0.11121356666616823,0.21883999576931693,0.23858970861895804
33,0.15948177078083667,0.18379836513982853,0.20351742334219747,0.21875339139051295,0.21801358634267398
34,0.15661562252682926,0.17679092638341873,0.13344768171592047,0.2683934293592241,0.21143573885235836
35,0.1762621450510876,0.19052472957138275,0.16952905503006796,0.21635221853328257,0.24440120673254107
36,0.18403391690092497,0.15920180963224037,0.16795684781638073,0.29148153731901655,0.22392055394777718
37,0.12953057243636332,0.12926189296263188,0.15183798256608338,0.20284953358710223,0.20110761736652846
38,0.1776511369731709,0.20360877908925146,0.1695998865856421,0.2145204591362895,0.2878866913349672
39,0.12294302285175247,0.1292597053390053,0.1575755130366867,0.21087664945397014,0.2159044054856937
40,0.18896088440392242,0.14643735614229747,0.17230794837028363,0.23090719302714346,0.22355980844740964
41,0.11896234709863301,0.2028478040690684,0.18870002359113067,0.22653022023888744,0.1912431129340598
42,0.16280524480674888,0.1659486366382918,0.15750111762258515,0.22726104050807616,0.24065190100430414
43,0.166836841529044,0.1709692774236664,0.18139937958925637,0.21370642227785086,0.21343684294933288
44,0.1696476461391093,0.11486407046636515,0.1788646016835317,0.2060679372286375,0.2883486046201564
45,0.13531870513369446,0.16717895773865687,0.13761569064815263,0.18753572390919182,0.16810970939913228
46,0.16338365969416427,0.13565802784294492,0.21347895839087458,0.22283454443384484,0.22706211686175257
47,0.12998368995888485,0.18636944275030018,0.11557685364071683,0.23056350481305676,0.18906936375835925
48,0.1262945541534938,0.17341714510389208,0.16472980740308665,0.24744551667598888,0.22164240625588846
49,0.1624428884931556,0.20002960467459574,0.2782173416870774,0.23162950643957006,0.27393292960826254
50,0.14778504220285044,0.14472256500306313,0.1497409768606919,0.20708152831440504,0.23811550798407954
51,0.13003687600786715,0.1331275720164609,0.18051758363859194,0.24136103561982133,0.2119283836994065
52,0.12728524838467958,0.22856956723841163,0.18804160211519524,0.22916796478995127,0.21213475969280007
53,0.18315418397520203,0.18020433613860273,0.2112486544260392,0.18941634189564974,0.22783785872560636
54,0.19169694205790389,0.17829339246088663,0.23590554006291412,0.20544881295035144,0.25575076011711007
55,0.12698542432499535,0.13632694426667688,0.1715090660974169,0.21453085027568278,0.23428803068359672
