true_direction,1,2,3,4,5,6
1,14,2,6,2,5,4
2,8,2,5,5,5,8
3,6,3,9,7,5,3
4,7,3,9,6,2,6
5,8,3,7,4,7,4
6,4,3,4,5,8,9
