true_direction,1,2,3,4,5,6
1,11,4,1,7,9,1
2,11,9,5,7,1,0
3,6,6,5,10,4,2
4,6,5,8,5,7,2
5,10,0,10,5,6,2
6,6,3,7,6,9,2
