example,row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,axis_ratio,selection_metric,selection_extremum,selection_reason,selection_value,png
1,176,180,90,6,2,short,success,,8.845743788057007,1.7744313280287685,True,3.5777475929682687,1.4507245811491514,0.3689170777797699,0.2079072162176054,494,1,175,0,11,0,0.4054854467655617,normalized_H1_lifetime,min,Shortest size-normalized H1 lifetime,0.2079072162176054,geometry_example_01_trial_90_direction_6.png
2,126,108,592,4,3,short,success,,14.562441478017718,1.5567015119997183,True,3.846071511088664,1.2614246195027268,1.7040981650352478,1.0946852379209073,494,1,125,0,5,0,0.3279774221217404,normalized_H1_lifetime,max,Longest size-normalized H1 lifetime,1.0946852379209073,geometry_example_02_trial_592_direction_4.png
3,184,196,527,6,4,short,success,,10.277923297020607,1.463758982157699,True,3.791340951783021,0.8294854404046844,0.7453275620937347,0.5091873533681492,494,1,125,0,12,0,0.21878418505584088,axis_ratio,min,Most elongated fitted outer ellipse,0.21878418505584088,geometry_example_03_trial_527_direction_6.png
4,24,16,205,1,4,short,success,,11.527042867033742,1.2148702928272452,True,2.942086898261827,1.5111213874656038,0.529134213924408,0.4355479074996617,494,1,195,0,10,0,0.5136222823188425,axis_ratio,max,Least elongated fitted outer ellipse,0.5136222823188425,geometry_example_04_trial_205_direction_1.png
5,5,9,389,1,4,short,success,,8.889202835969627,1.255150670455941,True,2.447008931423807,1.0053994502768155,0.30254413187503815,0.24104208283228434,494,1,202,0,15,0,0.41086872931510626,R1,min,Smallest fitted major radius,2.447008931423807,geometry_example_05_trial_389_direction_1.png
6,146,138,581,5,2,short,success,,11.597432721988298,2.9894024924239915,True,7.23595415651555,1.9594123851280925,0.8381224721670151,0.28036454585525344,494,1,129,0,14,0,0.27078839123984183,R1,max,Largest fitted major radius,7.23595415651555,geometry_example_06_trial_581_direction_5.png
