recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,1,0.1311475409836065
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,2,0.24
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,3,0.2318840579710145
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,4,0.1515151515151515
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,5,0.1971830985915492
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,all_bands,True,6,0.0
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,1,0.2352941176470588
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,2,0.2133333333333333
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,3,0.0377358490566037
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,4,0.2
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,5,0.1111111111111111
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,6,0.144927536231884
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,1,0.2121212121212121
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,2,0.2121212121212121
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,3,0.1818181818181818
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,4,0.2727272727272727
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,5,0.2857142857142857
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_all_bands,True,6,0.1290322580645161
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,1,0.28125
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,2,0.2972972972972973
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,3,0.1
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,4,0.3013698630136986
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,5,0.0677966101694915
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus_power_frequency,True,6,0.1818181818181818
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,1,0.1851851851851851
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,2,0.32
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,3,0.2580645161290322
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,4,0.1
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,5,0.0869565217391304
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_frequency,True,6,0.2222222222222222
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,1,0.2285714285714285
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,2,0.2941176470588235
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,3,0.0526315789473684
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,4,0.2790697674418604
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,5,0.2413793103448276
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,peak_power,True,6,0.0476190476190476
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,1,0.12
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,2,0.3655913978494624
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,3,0.2
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,4,0.2608695652173913
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,5,0.1886792452830188
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,power_frequency,True,6,0.1639344262295081
