raw_trial_index,held_out,success,normalized_error,nfev,reason,temporal_design_rank,temporal_condition,shape_rank,shape_condition,frequency_at_bound,phase_gap_mode_1,phase_gap_mode_2,phase_gap_mode_3,recording,monkey,fold,phase_gap_mode_4
8,False,True,0.9896971943388344,9,,3,1.4156651505916118,2,1.460983993004083,False,0.0276554762791145,,,monkeyM_session-o080506002-22_lfp-2,M,0,
28,False,True,0.7835111290091789,19,,3,1.4219096345891131,2,1.164601572058762,False,0.0031113330006959,,,monkeyM_session-o080506002-22_lfp-2,M,0,
3,False,True,0.8636792312913995,13,,3,1.4158189290186725,2,1.0717176759381768,False,0.0035909153665452,,,monkeyM_session-o080506002-22_lfp-2,M,0,
5,True,True,0.9047258197859024,6,,3,1.421376201008553,2,1.0403739705206805,False,0.0074970710300825,,,monkeyM_session-o080506002-22_lfp-2,M,0,
18,False,True,0.894822700518814,24,,3,1.4143312075306833,2,1.130569532924568,False,0.0031920127892544,,,monkeyM_session-o080506002-22_lfp-2,M,0,
22,False,True,0.6697434582004891,30,,3,1.4158753549277605,2,1.0984905182542843,False,0.0040642328743398,,,monkeyM_session-o080506002-22_lfp-2,M,0,
10,True,True,0.5084748128972277,7,,3,1.421905850126158,2,1.0439675424540171,False,0.0033934430338771,,,monkeyM_session-o080506002-22_lfp-2,M,0,
27,False,True,0.7886075894998417,31,,3,1.4237039894843355,2,1.1475430891786025,False,0.003792578274874,,,monkeyM_session-o080506002-22_lfp-2,M,0,
31,False,True,0.8601853093048036,18,,3,1.4205857056295124,2,1.124291077161368,False,0.0054611898400738,,,monkeyM_session-o080506002-22_lfp-2,M,0,
16,False,True,0.7094198272796571,5,,3,1.4224085455273512,2,1.0361039143102797,False,0.0033306996528423,,,monkeyM_session-o080506002-22_lfp-2,M,0,
9,False,True,0.8137136400196283,6,,3,1.4196211869310662,2,1.0063068307546936,False,0.005429237249068,,,monkeyM_session-o080506002-22_lfp-2,M,0,
23,False,True,0.7873798336271656,9,,3,1.4202504038363493,2,1.0055324158162895,False,0.0041444795065181,,,monkeyM_session-o080506002-22_lfp-2,M,0,
7,False,True,0.9726816965328108,6,,3,1.4150236048152485,2,1.1410200247146498,False,0.0027032992313964,,,monkeyM_session-o080506002-22_lfp-2,M,0,
25,False,True,0.3660582772071249,8,,3,1.4225316671985406,2,1.0389820472935718,False,0.010767928355615,,,monkeyM_session-o080506002-22_lfp-2,M,0,
13,False,True,0.782504818628838,31,,3,1.421915574117371,2,1.118660982532008,False,0.0038702708761233,,,monkeyM_session-o080506002-22_lfp-2,M,0,
12,True,True,0.9361831134890573,19,,3,1.421767831077966,2,1.2727320843034131,True,0.0079999996949622,,,monkeyM_session-o080506002-22_lfp-2,M,0,
1,False,True,0.9059200791188622,14,,3,1.4196291378972576,2,1.0593094622795869,False,0.0038273085426077,,,monkeyM_session-o080506002-22_lfp-2,M,0,
24,False,True,0.497833486062995,5,,3,1.4225636154473429,2,1.0148092239337172,False,0.0141756488324857,,,monkeyM_session-o080506002-22_lfp-2,M,0,
21,False,True,0.8991548564773432,19,,3,1.4205835128509092,2,1.203704429698217,True,0.0040000000000013,,,monkeyM_session-o080506002-22_lfp-2,M,0,
