row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite
0,5,159,1,1,short,success,,12.263662414974533,1.5362103401225267,True,3.5492607518664143,1.2963854781958573,0.6760278642177582,0.44006204525601544,494,1,174,0,8,0
1,6,16,1,4,short,success,,12.032941914978437,1.4706449601323535,True,3.479786623314635,1.2863872376060526,0.45545119047164917,0.3096948636948105,494,1,181,0,10,0
2,12,566,1,4,short,success,,12.896522228955291,2.143541674285651,True,6.155125084455721,1.3687853090469226,1.3702449798583984,0.6392434522249452,494,1,126,0,8,0
3,20,673,1,2,short,success,,12.499716165009886,1.8871358643036713,True,4.391951370795728,1.4987483772986123,1.0731670558452606,0.5686750361459775,494,1,138,0,3,0
4,28,263,1,3,short,success,,15.2431446230039,2.1012200453749084,True,5.853977273337933,1.5595738670152557,1.1266032457351685,0.5361662374271493,494,1,160,0,3,0
5,9,389,1,4,short,success,,8.889202835969627,1.255150670455941,True,2.447008931423807,1.0053994502768155,0.30254413187503815,0.24104208283228434,494,1,202,0,15,0
6,2,684,1,0,short,success,,11.692741667968221,2.0078011271072054,True,4.267771911943735,1.6522896043802369,0.6619451642036438,0.3296866184936152,494,1,162,0,5,0
7,31,437,1,3,short,success,,11.761671454063617,1.501296809726407,True,3.5506192985807914,1.1677125116071485,0.8845902383327484,0.58921742363121,494,1,164,0,4,0
8,15,56,1,3,short,success,,13.401100619928911,1.8121681038502644,True,4.130035437988722,1.3859547323200063,0.6353541910648346,0.3506044443199915,494,1,147,0,10,0
9,13,82,1,4,short,success,,12.897055858047679,1.9630771782942606,True,4.395932091106213,1.38729612727963,0.5720649361610413,0.29141235122406894,494,1,133,0,10,0
10,30,517,1,0,short,success,,11.613300350960344,1.893532487554771,True,4.5232890146754094,1.0202227204735832,0.9472744166851044,0.5002683729542846,494,1,142,0,10,0
11,26,124,1,2,short,success,,11.058015657006763,1.4960785802757166,True,3.1452967900301343,1.114667714662167,0.46281126141548157,0.3093495672735243,494,1,159,0,16,0
12,29,526,1,3,short,success,,12.357959176995791,1.7594777800406356,True,3.769658304797903,1.505613926804108,0.484205037355423,0.2751981541615377,494,1,192,0,8,0
13,7,382,1,2,short,success,,12.01933575491421,1.5250876588353532,True,3.2803681286776083,1.166549620180789,0.3912156820297241,0.2565201283764105,494,1,129,0,4,0
14,32,80,1,2,short,success,,13.182455381960608,1.9458677276657266,True,4.9862312897666206,1.4162620213752484,0.8389623761177063,0.43115077360583504,494,1,172,0,13,0
15,27,366,1,1,short,success,,12.895482540945522,1.689988050070543,True,3.943740954054361,1.1421706545218009,0.40204839408397675,0.23790014022122496,494,1,147,0,8,0
16,21,156,1,1,short,success,,14.940769774024375,1.9744571860399518,True,5.283209652136311,1.3687372641967577,1.1599102020263672,0.5874577631904636,494,1,126,0,6,0
17,33,690,1,1,short,success,,7.969776537036523,1.528834993341583,True,3.017107591907943,0.9352736246319509,0.35115939378738403,0.2296908399642613,494,1,174,0,9,0
18,18,265,1,0,short,success,,10.872725542983972,1.5705173407736668,True,3.505844377988731,1.3904775065237869,0.3534306585788727,0.2250409144828455,494,1,173,0,7,0
19,11,445,1,1,short,success,,10.297332506044768,1.4777334494478074,True,3.2962623356667726,1.6895489159299903,0.39796583354473114,0.26930826644916317,494,1,182,0,9,0
20,4,462,1,2,short,success,,10.349077614024282,1.6301680710892053,True,4.087924240634141,1.2743709830990804,0.5580704212188721,0.3423391925753977,494,1,147,0,7,0
21,14,152,1,3,short,success,,11.28725687903352,1.5430303819249556,True,3.402211744434303,1.232197232114436,0.5916735827922821,0.3834490815755421,494,1,161,0,11,0
22,25,188,1,0,short,success,,9.945584073895589,1.9801396293799838,True,4.356214697475985,1.785124927041471,0.5082214176654816,0.2566593840781898,494,1,152,0,4,0
23,17,195,1,1,short,success,,9.598929835949093,1.3837039009233911,True,2.771188343639438,1.1493596888247963,0.45120707154273987,0.32608643456279524,494,1,149,0,9,0
24,16,205,1,4,short,success,,11.527042867033742,1.2148702928272452,True,2.942086898261827,1.5111213874656038,0.529134213924408,0.4355479074996617,494,1,195,0,10,0
25,24,262,1,0,short,success,,10.074178584036417,1.5329420242105596,True,3.2018263477546944,1.112052750226711,0.5672243684530258,0.37002336650346396,494,1,162,0,6,0
26,1,571,1,0,short,success,,12.247018266003579,1.5940050704217006,True,3.7162633247791046,1.424022767395906,0.5750296115875244,0.36074515837982746,494,1,162,0,8,0
27,0,601,1,3,short,success,,12.053829777985811,1.5497905703397648,True,3.134294622545015,1.135818530755805,0.39416803419589996,0.25433632242934956,494,1,140,0,4,0
28,8,349,1,1,short,success,,12.33639387995936,1.4388737170473507,True,3.6570793009552007,1.1964506213756392,0.9486915767192841,0.6593292833689757,494,1,137,0,10,0
29,3,236,1,0,short,success,,10.379775387002155,1.5474517825262986,True,3.16183529049368,1.3289655639511309,0.5035874843597412,0.32543016205494135,494,1,174,0,10,0
30,23,569,1,4,short,success,,16.49908165598754,2.1528668093438705,True,6.498906152172921,1.7556358731368051,1.3431576490402222,0.6238925897369269,494,1,157,0,8,0
31,22,276,1,2,short,success,,11.884710359037854,1.6739998651734105,True,4.672473692090985,1.5602868339828555,0.7659508287906647,0.4575572822470445,494,1,152,0,7,0
32,10,40,1,2,short,success,,10.026389578008093,1.6528240345098046,True,3.7937699881678704,1.3599423545676863,1.0918375849723816,0.660589126353187,494,1,154,0,7,0
33,59,98,2,3,short,success,,10.159498800057918,1.716819194543437,True,4.0562398208049935,1.291771659687711,0.9164630174636841,0.533814521864898,494,1,132,0,5,0
34,43,260,2,3,short,success,,12.313829072983935,1.77865721788139,True,3.9953775291268623,1.1842436689326037,0.6036127805709839,0.3393643106174019,494,1,144,0,4,0
35,35,622,2,4,short,success,,8.978489813045599,1.2397549621495574,True,2.5600535608715576,0.9309231173840774,0.29516059160232544,0.23807978238744798,494,1,154,0,6,0
36,39,198,2,3,short,success,,10.25995051895734,1.5690959867290397,True,3.567621031587516,1.4176677561908069,0.5104913413524628,0.32534105349197945,494,1,129,0,2,0
37,54,628,2,1,short,success,,9.990636100061238,1.6621764616161454,True,4.0391592652064965,1.810205138199482,0.6759610772132874,0.4066722714603032,494,1,155,0,6,0
38,60,647,2,3,short,success,,10.682023719069548,1.8248458626564303,True,3.6946680022418303,1.2025548462289015,0.40918222069740295,0.22422837406210072,494,1,136,0,6,0
39,50,10,2,0,short,success,,9.790449611027725,1.7571462624713823,True,4.401213194497237,1.7049894578310676,1.2277025282382965,0.6986911416876382,494,1,158,0,8,0
40,52,412,2,0,short,success,,10.02508282091003,1.737014127484477,True,4.326778372066697,1.514949914462191,0.7875369489192963,0.45338545982915973,494,1,169,0,12,0
