latest_sample_index,x_t,x_t_minus3ms,x_t_minus6ms
6,0.8681433200836182,0.6293818354606628,0.41093191504478455
7,0.9330912232398987,0.709796130657196,0.48045167326927185
8,0.9770717024803162,0.7911818027496338,0.5527886748313904
9,0.9909773468971252,0.8681433200836182,0.6293818354606628
10,0.9669561386108398,0.9330912232398987,0.709796130657196
11,0.8997848629951477,0.9770717024803162,0.7911818027496338
12,0.7879762053489685,0.9909773468971252,0.8681433200836182
13,0.634448230266571,0.9669561386108398,0.9330912232398987
14,0.44666606187820435,0.8997848629951477,0.9770717024803162
15,0.2362365573644638,0.7879762053489685,0.9909773468971252
16,0.017980268225073814,0.634448230266571,0.9669561386108398
17,-0.19145718216896057,0.44666606187820435,0.8997848629951477
18,-0.3753475248813629,0.2362365573644638,0.7879762053489685
19,-0.5188046097755432,0.017980268225073814,0.634448230266571
20,-0.610650360584259,-0.19145718216896057,0.44666606187820435
21,-0.6449281573295593,-0.3753475248813629,0.2362365573644638
22,-0.6217798590660095,-0.5188046097755432,0.017980268225073814
23,-0.5474948883056641,-0.610650360584259,-0.19145718216896057
24,-0.4337095618247986,-0.6449281573295593,-0.3753475248813629
25,-0.2959010899066925,-0.6217798590660095,-0.5188046097755432
26,-0.15143729746341705,-0.5474948883056641,-0.610650360584259
27,-0.017485279589891434,-0.4337095618247986,-0.6449281573295593
28,0.09093888103961945,-0.2959010899066925,-0.6217798590660095
29,0.16256044805049896,-0.15143729746341705,-0.5474948883056641
30,0.1909351646900177,-0.017485279589891434,-0.4337095618247986
31,0.17496909201145172,0.09093888103961945,-0.2959010899066925
32,0.1188589483499527,0.16256044805049896,-0.15143729746341705
33,0.03148902580142021,0.1909351646900177,-0.017485279589891434
34,-0.0746416375041008,0.17496909201145172,0.09093888103961945
35,-0.18485704064369202,0.1188589483499527,0.16256044805049896
36,-0.28397685289382935,0.03148902580142021,0.1909351646900177
37,-0.358071893453598,-0.0746416375041008,0.17496909201145172
38,-0.3961324989795685,-0.18485704064369202,0.1188589483499527
39,-0.39146924018859863,-0.28397685289382935,0.03148902580142021
40,-0.3426627814769745,-0.358071893453598,-0.0746416375041008
41,-0.2538980543613434,-0.3961324989795685,-0.18485704064369202
42,-0.13457731902599335,-0.39146924018859863,-0.28397685289382935
43,0.0017769603291526437,-0.3426627814769745,-0.358071893453598
44,0.13916537165641785,-0.2538980543613434,-0.3961324989795685
45,0.26102039217948914,-0.13457731902599335,-0.39146924018859863
46,0.3520720601081848,0.0017769603291526437,-0.3426627814769745
47,0.3999241292476654,0.13916537165641785,-0.2538980543613434
48,0.3962005078792572,0.26102039217948914,-0.13457731902599335
49,0.3372178077697754,0.3520720601081848,0.0017769603291526437
50,0.2242031842470169,0.3999241292476654,0.13916537165641785
51,0.06310456246137619,0.3962005078792572,0.26102039217948914
52,-0.1359524428844452,0.3372178077697754,0.3520720601081848
53,-0.3595067858695984,0.2242031842470169,0.3999241292476654
54,-0.5918503403663635,0.06310456246137619,0.3962005078792572
55,-0.816301703453064,-0.1359524428844452,0.3372178077697754
56,-1.0165873765945435,-0.3595067858695984,0.2242031842470169
57,-1.1782288551330566,-0.5918503403663635,0.06310456246137619
58,-1.2898123264312744,-0.816301703453064,-0.1359524428844452
59,-1.3440160751342773,-1.0165873765945435,-0.3595067858695984
60,-1.3382817506790161,-1.1782288551330566,-0.5918503403663635
61,-1.2750517129898071,-1.2898123264312744,-0.816301703453064
62,-1.1615370512008667,-1.3440160751342773,-1.0165873765945435
63,-1.0090340375900269,-1.3382817506790161,-1.1782288551330566
64,-0.8318595290184021,-1.2750517129898071,-1.2898123264312744
65,-0.6460167169570923,-1.1615370512008667,-1.3440160751342773
66,-0.4677191972732544,-1.0090340375900269,-1.3382817506790161
67,-0.3119078278541565,-0.8318595290184021,-1.2750517129898071
68,-0.19088642299175262,-0.6460167169570923,-1.1615370512008667
69,-0.1131918653845787,-0.4677191972732544,-1.0090340375900269
70,-0.08280210942029953,-0.3119078278541565,-0.8318595290184021
71,-0.0987718254327774,-0.19088642299175262,-0.6460167169570923
72,-0.15536649525165558,-0.1131918653845787,-0.4677191972732544
73,-0.24272412061691284,-0.08280210942029953,-0.3119078278541565
74,-0.34800270199775696,-0.0987718254327774,-0.19088642299175262
75,-0.4568863809108734,-0.15536649525165558,-0.1131918653845787
76,-0.5552517175674438,-0.24272412061691284,-0.08280210942029953
77,-0.6307540535926819,-0.34800270199775696,-0.0987718254327774
78,-0.6740874648094177,-0.4568863809108734,-0.15536649525165558
79,-0.6797234416007996,-0.5552517175674438,-0.24272412061691284
80,-0.6460515260696411,-0.6307540535926819,-0.34800270199775696
81,-0.5749918222427368,-0.6740874648094177,-0.4568863809108734
82,-0.4712635576725006,-0.6797234416007996,-0.5552517175674438
83,-0.34152159094810486,-0.6460515260696411,-0.6307540535926819
84,-0.1935431808233261,-0.5749918222427368,-0.6740874648094177
85,-0.03557838872075081,-0.4712635576725006,-0.6797234416007996
86,0.12409275025129318,-0.34152159094810486,-0.6460515260696411
87,0.27741867303848267,-0.1935431808233261,-0.5749918222427368
88,0.41672301292419434,-0.03557838872075081,-0.4712635576725006
89,0.5348391532897949,0.12409275025129318,-0.34152159094810486
90,0.6253259181976318,0.27741867303848267,-0.1935431808233261
91,0.6828172206878662,0.41672301292419434,-0.03557838872075081
92,0.7034960389137268,0.5348391532897949,0.12409275025129318
93,0.6856286525726318,0.6253259181976318,0.27741867303848267
94,0.6300603151321411,0.6828172206878662,0.41672301292419434
95,0.5405635833740234,0.7034960389137268,0.5348391532897949
96,0.42394644021987915,0.6856286525726318,0.6253259181976318
97,0.28986507654190063,0.6300603151321411,0.6828172206878662
98,0.15032687783241272,0.5405635833740234,0.7034960389137268
99,0.018903138116002083,0.42394644021987915,0.6856286525726318
100,-0.09030760824680328,0.28986507654190063,0.6300603151321411
101,-0.16390679776668549,0.15032687783241272,0.5405635833740234
102,-0.19053100049495697,0.018903138116002083,0.42394644021987915
103,-0.16218240559101105,-0.09030760824680328,0.28986507654190063
104,-0.07540979981422424,-0.16390679776668549,0.15032687783241272
105,0.06783273071050644,-0.19053100049495697,0.018903138116002083
106,0.25983214378356934,-0.16218240559101105,-0.09030760824680328
107,0.487423837184906,-0.07540979981422424,-0.16390679776668549
108,0.7330232262611389,0.06783273071050644,-0.19053100049495697
109,0.9762884378433228,0.25983214378356934,-0.16218240559101105
110,1.1961573362350464,0.487423837184906,-0.07540979981422424
111,1.3729181289672852,0.7330232262611389,0.06783273071050644
112,1.4900052547454834,0.9762884378433228,0.25983214378356934
113,1.5353188514709473,1.1961573362350464,0.487423837184906
114,1.5019886493682861,1.3729181289672852,0.7330232262611389
115,1.3885931968688965,1.4900052547454834,0.9762884378433228
116,1.1989061832427979,1.5353188514709473,1.1961573362350464
117,0.9412660598754883,1.5019886493682861,1.3729181289672852
118,0.6276701092720032,1.3885931968688965,1.4900052547454834
119,0.27268725633621216,1.1989061832427979,1.5353188514709473
120,-0.10771234333515167,0.9412660598754883,1.5019886493682861
121,-0.4973181188106537,0.6276701092720032,1.3885931968688965
122,-0.8807371258735657,0.27268725633621216,1.1989061832427979
123,-1.244263768196106,-0.10771234333515167,0.9412660598754883
124,-1.5764940977096558,-0.4973181188106537,0.6276701092720032
125,-1.8686515092849731,-0.8807371258735657,0.27268725633621216
126,-2.114633798599243,-1.244263768196106,-0.10771234333515167
127,-2.3108270168304443,-1.5764940977096558,-0.4973181188106537
128,-2.455754518508911,-1.8686515092849731,-0.8807371258735657
129,-2.549635171890259,-2.114633798599243,-1.244263768196106
130,-2.593923568725586,-2.3108270168304443,-1.5764940977096558
131,-2.59089732170105,-2.455754518508911,-1.8686515092849731
132,-2.5433402061462402,-2.549635171890259,-2.114633798599243
133,-2.4543557167053223,-2.593923568725586,-2.3108270168304443
134,-2.3273203372955322,-2.59089732170105,-2.455754518508911
135,-2.165970802307129,-2.5433402061462402,-2.549635171890259
136,-1.9745845794677734,-2.4543557167053223,-2.593923568725586
137,-1.7581831216812134,-2.3273203372955322,-2.59089732170105
138,-1.5226585865020752,-2.165970802307129,-2.5433402061462402
139,-1.27473783493042,-1.9745845794677734,-2.4543557167053223
140,-1.0217604637145996,-1.7581831216812134,-2.3273203372955322
141,-0.7713326215744019,-1.5226585865020752,-2.165970802307129
142,-0.5309606790542603,-1.27473783493042,-1.9745845794677734
143,-0.30775681138038635,-1.0217604637145996,-1.7581831216812134
144,-0.10825613886117935,-0.7713326215744019,-1.5226585865020752
145,0.061657167971134186,-0.5309606790542603,-1.27473783493042
