row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,0,0.0,0.0159868113696575,0.0159868113696575
39,10,2,0,1,0.0,0.0207779258489608,0.0207779258489608
39,10,2,0,2,0.0,0.0215162020176649,0.0215162020176649
39,10,2,0,3,0.0,0.0272972788661718,0.0272972788661718
39,10,2,0,4,0.0,0.0273413173854351,0.0273413173854351
39,10,2,0,5,0.0,0.0275566577911376,0.0275566577911376
39,10,2,0,6,0.0,0.0286314953118562,0.0286314953118562
39,10,2,0,7,0.0,0.0298140719532966,0.0298140719532966
39,10,2,0,8,0.0,0.0304105803370475,0.0304105803370475
39,10,2,0,9,0.0,0.0348982810974121,0.0348982810974121
39,10,2,0,10,0.0,0.0355025231838226,0.0355025231838226
39,10,2,0,11,0.0,0.0355261303484439,0.0355261303484439
39,10,2,0,12,0.0,0.0356709286570549,0.0356709286570549
39,10,2,0,13,0.0,0.0358698852360248,0.0358698852360248
39,10,2,0,14,0.0,0.036412339657545,0.036412339657545
39,10,2,0,15,0.0,0.0381824076175689,0.0381824076175689
39,10,2,0,16,0.0,0.0389031320810318,0.0389031320810318
39,10,2,0,17,0.0,0.0399837903678417,0.0399837903678417
39,10,2,0,18,0.0,0.0411318838596344,0.0411318838596344
39,10,2,0,19,0.0,0.0425225310027599,0.0425225310027599
39,10,2,0,20,0.0,0.0426251329481601,0.0426251329481601
39,10,2,0,21,0.0,0.0429035872220993,0.0429035872220993
39,10,2,0,22,0.0,0.0461455807089805,0.0461455807089805
39,10,2,0,23,0.0,0.0463935323059558,0.0463935323059558
39,10,2,0,24,0.0,0.0466593243181705,0.0466593243181705
39,10,2,0,25,0.0,0.0472563803195953,0.0472563803195953
39,10,2,0,26,0.0,0.0477068573236465,0.0477068573236465
39,10,2,0,27,0.0,0.0488984249532222,0.0488984249532222
39,10,2,0,28,0.0,0.0494933724403381,0.0494933724403381
39,10,2,0,29,0.0,0.0495024360716342,0.0495024360716342
39,10,2,0,30,0.0,0.0495887137949466,0.0495887137949466
39,10,2,0,31,0.0,0.0498720146715641,0.0498720146715641
39,10,2,0,32,0.0,0.050046868622303,0.050046868622303
39,10,2,0,33,0.0,0.0504774898290634,0.0504774898290634
39,10,2,0,34,0.0,0.0511006265878677,0.0511006265878677
39,10,2,0,35,0.0,0.0512018017470836,0.0512018017470836
39,10,2,0,36,0.0,0.0516066923737525,0.0516066923737525
39,10,2,0,37,0.0,0.0520838648080825,0.0520838648080825
39,10,2,0,38,0.0,0.0524209290742874,0.0524209290742874
39,10,2,0,39,0.0,0.0526619032025337,0.0526619032025337
39,10,2,0,40,0.0,0.052766066044569,0.052766066044569
39,10,2,0,41,0.0,0.0535168647766113,0.0535168647766113
39,10,2,0,42,0.0,0.0539149530231952,0.0539149530231952
39,10,2,0,43,0.0,0.0539855360984802,0.0539855360984802
39,10,2,0,44,0.0,0.0551783144474029,0.0551783144474029
39,10,2,0,45,0.0,0.0562427267432212,0.0562427267432212
39,10,2,0,46,0.0,0.0564871430397033,0.0564871430397033
39,10,2,0,47,0.0,0.0566690638661384,0.0566690638661384
39,10,2,0,48,0.0,0.0569823198020458,0.0569823198020458
39,10,2,0,49,0.0,0.0570462308824062,0.0570462308824062
39,10,2,0,50,0.0,0.0570540390908718,0.0570540390908718
39,10,2,0,51,0.0,0.0575129240751266,0.0575129240751266
39,10,2,0,52,0.0,0.0588645040988922,0.0588645040988922
39,10,2,0,53,0.0,0.0597021654248237,0.0597021654248237
39,10,2,0,54,0.0,0.0597699247300624,0.0597699247300624
39,10,2,0,55,0.0,0.0599859878420829,0.0599859878420829
39,10,2,0,56,0.0,0.0605230890214443,0.0605230890214443
39,10,2,0,57,0.0,0.0606994219124317,0.0606994219124317
39,10,2,0,58,0.0,0.0613460466265678,0.0613460466265678
39,10,2,0,59,0.0,0.0621134713292121,0.0621134713292121
39,10,2,0,60,0.0,0.0628172233700752,0.0628172233700752
39,10,2,0,61,0.0,0.062983825802803,0.062983825802803
39,10,2,0,62,0.0,0.0631027147173881,0.0631027147173881
39,10,2,0,63,0.0,0.0632414445281028,0.0632414445281028
39,10,2,0,64,0.0,0.0639186725020408,0.0639186725020408
39,10,2,0,65,0.0,0.0666280910372734,0.0666280910372734
39,10,2,0,66,0.0,0.0670301765203476,0.0670301765203476
39,10,2,0,67,0.0,0.0678062513470649,0.0678062513470649
39,10,2,0,68,0.0,0.0682494044303894,0.0682494044303894
39,10,2,0,69,0.0,0.068324014544487,0.068324014544487
39,10,2,0,70,0.0,0.0684955492615699,0.0684955492615699
39,10,2,0,71,0.0,0.0688360556960105,0.0688360556960105
39,10,2,0,72,0.0,0.0690070018172264,0.0690070018172264
39,10,2,0,73,0.0,0.0701346918940544,0.0701346918940544
