origin_ms,x_lag_0_ms,x_lag_1_ms,x_lag_2_ms,x_lag_3_ms,x_lag_4_ms,x_lag_5_ms,x_lag_6_ms,x_lag_7_ms,x_lag_8_ms
-257,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519
-256,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257
-255,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258
-254,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595
-253,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662
-252,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589
-251,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928
-250,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385
-249,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637
-248,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385
-247,0.26795268,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794
-246,0.40299723,0.26795268,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099
-245,0.5429835,0.40299723,0.26795268,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781
-244,0.68083614,0.5429835,0.40299723,0.26795268,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324
-243,0.80955607,0.68083614,0.5429835,0.40299723,0.26795268,0.1445592,0.038669717,-0.04521779,-0.10440823
-242,0.92258924,0.80955607,0.68083614,0.5429835,0.40299723,0.26795268,0.1445592,0.038669717,-0.04521779
-241,1.0141108,0.92258924,0.80955607,0.68083614,0.5429835,0.40299723,0.26795268,0.1445592,0.038669717
-240,1.0792181,1.0141108,0.92258924,0.80955607,0.68083614,0.5429835,0.40299723,0.26795268,0.1445592
-239,1.1140358,1.0792181,1.0141108,0.92258924,0.80955607,0.68083614,0.5429835,0.40299723,0.26795268
-238,1.1157436,1.1140358,1.0792181,1.0141108,0.92258924,0.80955607,0.68083614,0.5429835,0.40299723
-237,1.0825511,1.1157436,1.1140358,1.0792181,1.0141108,0.92258924,0.80955607,0.68083614,0.5429835
-236,1.0136516,1.0825511,1.1157436,1.1140358,1.0792181,1.0141108,0.92258924,0.80955607,0.68083614
-235,0.9091883,1.0136516,1.0825511,1.1157436,1.1140358,1.0792181,1.0141108,0.92258924,0.80955607
-234,0.77025694,0.9091883,1.0136516,1.0825511,1.1157436,1.1140358,1.0792181,1.0141108,0.92258924
-233,0.59895045,0.77025694,0.9091883,1.0136516,1.0825511,1.1157436,1.1140358,1.0792181,1.0141108
-232,0.3984363,0.59895045,0.77025694,0.9091883,1.0136516,1.0825511,1.1157436,1.1140358,1.0792181
-231,0.17303494,0.3984363,0.59895045,0.77025694,0.9091883,1.0136516,1.0825511,1.1157436,1.1140358
-230,-0.071741655,0.17303494,0.3984363,0.59895045,0.77025694,0.9091883,1.0136516,1.0825511,1.1157436
-229,-0.32923406,-0.071741655,0.17303494,0.3984363,0.59895045,0.77025694,0.9091883,1.0136516,1.0825511
-228,-0.59179294,-0.32923406,-0.071741655,0.17303494,0.3984363,0.59895045,0.77025694,0.9091883,1.0136516
-227,-0.85105795,-0.59179294,-0.32923406,-0.071741655,0.17303494,0.3984363,0.59895045,0.77025694,0.9091883
-226,-1.0983422,-0.85105795,-0.59179294,-0.32923406,-0.071741655,0.17303494,0.3984363,0.59895045,0.77025694
-225,-1.3250797,-1.0983422,-0.85105795,-0.59179294,-0.32923406,-0.071741655,0.17303494,0.3984363,0.59895045
-224,-1.5232749,-1.3250797,-1.0983422,-0.85105795,-0.59179294,-0.32923406,-0.071741655,0.17303494,0.3984363
-223,-1.6858928,-1.5232749,-1.3250797,-1.0983422,-0.85105795,-0.59179294,-0.32923406,-0.071741655,0.17303494
-222,-1.8071392,-1.6858928,-1.5232749,-1.3250797,-1.0983422,-0.85105795,-0.59179294,-0.32923406,-0.071741655
-221,-1.8826193,-1.8071392,-1.6858928,-1.5232749,-1.3250797,-1.0983422,-0.85105795,-0.59179294,-0.32923406
-220,-1.909404,-1.8826193,-1.8071392,-1.6858928,-1.5232749,-1.3250797,-1.0983422,-0.85105795,-0.59179294
-219,-1.8860646,-1.909404,-1.8826193,-1.8071392,-1.6858928,-1.5232749,-1.3250797,-1.0983422,-0.85105795
-218,-1.8127424,-1.8860646,-1.909404,-1.8826193,-1.8071392,-1.6858928,-1.5232749,-1.3250797,-1.0983422
-217,-1.6912944,-1.8127424,-1.8860646,-1.909404,-1.8826193,-1.8071392,-1.6858928,-1.5232749,-1.3250797
-216,-1.5254966,-1.6912944,-1.8127424,-1.8860646,-1.909404,-1.8826193,-1.8071392,-1.6858928,-1.5232749
-215,-1.3212218,-1.5254966,-1.6912944,-1.8127424,-1.8860646,-1.909404,-1.8826193,-1.8071392,-1.6858928
-214,-1.0864863,-1.3212218,-1.5254966,-1.6912944,-1.8127424,-1.8860646,-1.909404,-1.8826193,-1.8071392
-213,-0.8312583,-1.0864863,-1.3212218,-1.5254966,-1.6912944,-1.8127424,-1.8860646,-1.909404,-1.8826193
-212,-0.5669809,-0.8312583,-1.0864863,-1.3212218,-1.5254966,-1.6912944,-1.8127424,-1.8860646,-1.909404
-211,-0.30582398,-0.5669809,-0.8312583,-1.0864863,-1.3212218,-1.5254966,-1.6912944,-1.8127424,-1.8860646
-210,-0.05975356,-0.30582398,-0.5669809,-0.8312583,-1.0864863,-1.3212218,-1.5254966,-1.6912944,-1.8127424
-209,0.16043995,-0.05975356,-0.30582398,-0.5669809,-0.8312583,-1.0864863,-1.3212218,-1.5254966,-1.6912944
-208,0.34599373,0.16043995,-0.05975356,-0.30582398,-0.5669809,-0.8312583,-1.0864863,-1.3212218,-1.5254966
-207,0.49076346,0.34599373,0.16043995,-0.05975356,-0.30582398,-0.5669809,-0.8312583,-1.0864863,-1.3212218
-206,0.5914665,0.49076346,0.34599373,0.16043995,-0.05975356,-0.30582398,-0.5669809,-0.8312583,-1.0864863
-205,0.6475599,0.5914665,0.49076346,0.34599373,0.16043995,-0.05975356,-0.30582398,-0.5669809,-0.8312583
-204,0.66080433,0.6475599,0.5914665,0.49076346,0.34599373,0.16043995,-0.05975356,-0.30582398,-0.5669809
-203,0.6346075,0.66080433,0.6475599,0.5914665,0.49076346,0.34599373,0.16043995,-0.05975356,-0.30582398
-202,0.5732662,0.6346075,0.66080433,0.6475599,0.5914665,0.49076346,0.34599373,0.16043995,-0.05975356
-201,0.48122424,0.5732662,0.6346075,0.66080433,0.6475599,0.5914665,0.49076346,0.34599373,0.16043995
-200,0.36245373,0.48122424,0.5732662,0.6346075,0.66080433,0.6475599,0.5914665,0.49076346,0.34599373
-199,0.22004223,0.36245373,0.48122424,0.5732662,0.6346075,0.66080433,0.6475599,0.5914665,0.49076346
-198,0.05603598,0.22004223,0.36245373,0.48122424,0.5732662,0.6346075,0.66080433,0.6475599,0.5914665
-197,-0.1284476,0.05603598,0.22004223,0.36245373,0.48122424,0.5732662,0.6346075,0.66080433,0.6475599
-196,-0.33286065,-0.1284476,0.05603598,0.22004223,0.36245373,0.48122424,0.5732662,0.6346075,0.66080433
-195,-0.5566762,-0.33286065,-0.1284476,0.05603598,0.22004223,0.36245373,0.48122424,0.5732662,0.6346075
-194,-0.7987374,-0.5566762,-0.33286065,-0.1284476,0.05603598,0.22004223,0.36245373,0.48122424,0.5732662
-193,-1.0566105,-0.7987374,-0.5566762,-0.33286065,-0.1284476,0.05603598,0.22004223,0.36245373,0.48122424
-192,-1.3260474,-1.0566105,-0.7987374,-0.5566762,-0.33286065,-0.1284476,0.05603598,0.22004223,0.36245373
-191,-1.6006491,-1.3260474,-1.0566105,-0.7987374,-0.5566762,-0.33286065,-0.1284476,0.05603598,0.22004223
-190,-1.871793,-1.6006491,-1.3260474,-1.0566105,-0.7987374,-0.5566762,-0.33286065,-0.1284476,0.05603598
-189,-2.128864,-1.871793,-1.6006491,-1.3260474,-1.0566105,-0.7987374,-0.5566762,-0.33286065,-0.1284476
-188,-2.3597946,-2.128864,-1.871793,-1.6006491,-1.3260474,-1.0566105,-0.7987374,-0.5566762,-0.33286065
-187,-2.5518892,-2.3597946,-2.128864,-1.871793,-1.6006491,-1.3260474,-1.0566105,-0.7987374,-0.5566762
-186,-2.6928613,-2.5518892,-2.3597946,-2.128864,-1.871793,-1.6006491,-1.3260474,-1.0566105,-0.7987374
