origin_ms,x_lag_0_ms,x_lag_1_ms,x_lag_2_ms,x_lag_3_ms,x_lag_4_ms,x_lag_5_ms,x_lag_6_ms,x_lag_7_ms,x_lag_8_ms
-253,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015,1.5914321
-252,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015
-251,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977
-250,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934
-249,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303
-248,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028
-247,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806
-246,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128
-245,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177
-244,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528
-243,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055
-242,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036
-241,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162
-240,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153
-239,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425
-238,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898
-237,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774
-236,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887
-235,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282
-234,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113
-233,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073
-232,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785
-231,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198
-230,-0.92152756,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723
-229,-1.1447512,-0.92152756,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105
-228,-1.3390797,-1.1447512,-0.92152756,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212
-227,-1.4912452,-1.3390797,-1.1447512,-0.92152756,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098
-226,-1.5910519,-1.4912452,-1.3390797,-1.1447512,-0.92152756,-0.68428504,-0.4479888,-0.2263108,-0.030527974
-225,-1.6325814,-1.5910519,-1.4912452,-1.3390797,-1.1447512,-0.92152756,-0.68428504,-0.4479888,-0.2263108
-224,-1.6149408,-1.6325814,-1.5910519,-1.4912452,-1.3390797,-1.1447512,-0.92152756,-0.68428504,-0.4479888
-223,-1.5424151,-1.6149408,-1.6325814,-1.5910519,-1.4912452,-1.3390797,-1.1447512,-0.92152756,-0.68428504
-222,-1.4239734,-1.5424151,-1.6149408,-1.6325814,-1.5910519,-1.4912452,-1.3390797,-1.1447512,-0.92152756
-221,-1.2721827,-1.4239734,-1.5424151,-1.6149408,-1.6325814,-1.5910519,-1.4912452,-1.3390797,-1.1447512
-220,-1.1016879,-1.2721827,-1.4239734,-1.5424151,-1.6149408,-1.6325814,-1.5910519,-1.4912452,-1.3390797
-219,-0.9274822,-1.1016879,-1.2721827,-1.4239734,-1.5424151,-1.6149408,-1.6325814,-1.5910519,-1.4912452
-218,-0.76322955,-0.9274822,-1.1016879,-1.2721827,-1.4239734,-1.5424151,-1.6149408,-1.6325814,-1.5910519
-217,-0.6198861,-0.76322955,-0.9274822,-1.1016879,-1.2721827,-1.4239734,-1.5424151,-1.6149408,-1.6325814
-216,-0.5047995,-0.6198861,-0.76322955,-0.9274822,-1.1016879,-1.2721827,-1.4239734,-1.5424151,-1.6149408
-215,-0.42136937,-0.5047995,-0.6198861,-0.76322955,-0.9274822,-1.1016879,-1.2721827,-1.4239734,-1.5424151
-214,-0.36924794,-0.42136937,-0.5047995,-0.6198861,-0.76322955,-0.9274822,-1.1016879,-1.2721827,-1.4239734
-213,-0.34498543,-0.36924794,-0.42136937,-0.5047995,-0.6198861,-0.76322955,-0.9274822,-1.1016879,-1.2721827
-212,-0.3429849,-0.34498543,-0.36924794,-0.42136937,-0.5047995,-0.6198861,-0.76322955,-0.9274822,-1.1016879
-211,-0.35662314,-0.3429849,-0.34498543,-0.36924794,-0.42136937,-0.5047995,-0.6198861,-0.76322955,-0.9274822
-210,-0.37939948,-0.35662314,-0.3429849,-0.34498543,-0.36924794,-0.42136937,-0.5047995,-0.6198861,-0.76322955
-209,-0.40598133,-0.37939948,-0.35662314,-0.3429849,-0.34498543,-0.36924794,-0.42136937,-0.5047995,-0.6198861
-208,-0.43302256,-0.40598133,-0.37939948,-0.35662314,-0.3429849,-0.34498543,-0.36924794,-0.42136937,-0.5047995
-207,-0.45964706,-0.43302256,-0.40598133,-0.37939948,-0.35662314,-0.3429849,-0.34498543,-0.36924794,-0.42136937
-206,-0.48752877,-0.45964706,-0.43302256,-0.40598133,-0.37939948,-0.35662314,-0.3429849,-0.34498543,-0.36924794
-205,-0.52055466,-0.48752877,-0.45964706,-0.43302256,-0.40598133,-0.37939948,-0.35662314,-0.3429849,-0.34498543
-204,-0.564129,-0.52055466,-0.48752877,-0.45964706,-0.43302256,-0.40598133,-0.37939948,-0.35662314,-0.3429849
-203,-0.62423724,-0.564129,-0.52055466,-0.48752877,-0.45964706,-0.43302256,-0.40598133,-0.37939948,-0.35662314
-202,-0.70642215,-0.62423724,-0.564129,-0.52055466,-0.48752877,-0.45964706,-0.43302256,-0.40598133,-0.37939948
-201,-0.81481236,-0.70642215,-0.62423724,-0.564129,-0.52055466,-0.48752877,-0.45964706,-0.43302256,-0.40598133
-200,-0.9513127,-0.81481236,-0.70642215,-0.62423724,-0.564129,-0.52055466,-0.48752877,-0.45964706,-0.43302256
-199,-1.1150286,-0.9513127,-0.81481236,-0.70642215,-0.62423724,-0.564129,-0.52055466,-0.48752877,-0.45964706
-198,-1.3019807,-1.1150286,-0.9513127,-0.81481236,-0.70642215,-0.62423724,-0.564129,-0.52055466,-0.48752877
-197,-1.505161,-1.3019807,-1.1150286,-0.9513127,-0.81481236,-0.70642215,-0.62423724,-0.564129,-0.52055466
-196,-1.7149554,-1.505161,-1.3019807,-1.1150286,-0.9513127,-0.81481236,-0.70642215,-0.62423724,-0.564129
-195,-1.9199165,-1.7149554,-1.505161,-1.3019807,-1.1150286,-0.9513127,-0.81481236,-0.70642215,-0.62423724
-194,-2.1078136,-1.9199165,-1.7149554,-1.505161,-1.3019807,-1.1150286,-0.9513127,-0.81481236,-0.70642215
-193,-2.2668393,-2.1078136,-1.9199165,-1.7149554,-1.505161,-1.3019807,-1.1150286,-0.9513127,-0.81481236
-192,-2.3868248,-2.2668393,-2.1078136,-1.9199165,-1.7149554,-1.505161,-1.3019807,-1.1150286,-0.9513127
-191,-2.4603193,-2.3868248,-2.2668393,-2.1078136,-1.9199165,-1.7149554,-1.505161,-1.3019807,-1.1150286
-190,-2.4833932,-2.4603193,-2.3868248,-2.2668393,-2.1078136,-1.9199165,-1.7149554,-1.505161,-1.3019807
-189,-2.4560676,-2.4833932,-2.4603193,-2.3868248,-2.2668393,-2.1078136,-1.9199165,-1.7149554,-1.505161
-188,-2.3823018,-2.4560676,-2.4833932,-2.4603193,-2.3868248,-2.2668393,-2.1078136,-1.9199165,-1.7149554
-187,-2.2695367,-2.3823018,-2.4560676,-2.4833932,-2.4603193,-2.3868248,-2.2668393,-2.1078136,-1.9199165
-186,-2.1278503,-2.2695367,-2.3823018,-2.4560676,-2.4833932,-2.4603193,-2.3868248,-2.2668393,-2.1078136
-185,-1.9688463,-2.1278503,-2.2695367,-2.3823018,-2.4560676,-2.4833932,-2.4603193,-2.3868248,-2.2668393
-184,-1.8044174,-1.9688463,-2.1278503,-2.2695367,-2.3823018,-2.4560676,-2.4833932,-2.4603193,-2.3868248
-183,-1.6455424,-1.8044174,-1.9688463,-2.1278503,-2.2695367,-2.3823018,-2.4560676,-2.4833932,-2.4603193
-182,-1.5012486,-1.6455424,-1.8044174,-1.9688463,-2.1278503,-2.2695367,-2.3823018,-2.4560676,-2.4833932
-181,-1.3778387,-1.5012486,-1.6455424,-1.8044174,-1.9688463,-2.1278503,-2.2695367,-2.3823018,-2.4560676
-180,-1.2784463,-1.3778387,-1.5012486,-1.6455424,-1.8044174,-1.9688463,-2.1278503,-2.2695367,-2.3823018
-179,-1.2029485,-1.2784463,-1.3778387,-1.5012486,-1.6455424,-1.8044174,-1.9688463,-2.1278503,-2.2695367
-178,-1.1482412,-1.2029485,-1.2784463,-1.3778387,-1.5012486,-1.6455424,-1.8044174,-1.9688463,-2.1278503
-177,-1.10885,-1.1482412,-1.2029485,-1.2784463,-1.3778387,-1.5012486,-1.6455424,-1.8044174,-1.9688463
-176,-1.0777984,-1.10885,-1.1482412,-1.2029485,-1.2784463,-1.3778387,-1.5012486,-1.6455424,-1.8044174
-175,-1.0476148,-1.0777984,-1.10885,-1.1482412,-1.2029485,-1.2784463,-1.3778387,-1.5012486,-1.6455424
-174,-1.0113249,-1.0476148,-1.0777984,-1.10885,-1.1482412,-1.2029485,-1.2784463,-1.3778387,-1.5012486
-173,-0.96328527,-1.0113249,-1.0476148,-1.0777984,-1.10885,-1.1482412,-1.2029485,-1.2784463,-1.3778387
-172,-0.8997514,-0.96328527,-1.0113249,-1.0476148,-1.0777984,-1.10885,-1.1482412,-1.2029485,-1.2784463
-171,-0.8191361,-0.8997514,-0.96328527,-1.0113249,-1.0476148,-1.0777984,-1.10885,-1.1482412,-1.2029485
-170,-0.7219678,-0.8191361,-0.8997514,-0.96328527,-1.0113249,-1.0476148,-1.0777984,-1.10885,-1.1482412
-169,-0.61060035,-0.7219678,-0.8191361,-0.8997514,-0.96328527,-1.0113249,-1.0476148,-1.0777984,-1.10885
-168,-0.48873928,-0.61060035,-0.7219678,-0.8191361,-0.8997514,-0.96328527,-1.0113249,-1.0476148,-1.0777984
-167,-0.36085513,-0.48873928,-0.61060035,-0.7219678,-0.8191361,-0.8997514,-0.96328527,-1.0113249,-1.0476148
-166,-0.23155321,-0.36085513,-0.48873928,-0.61060035,-0.7219678,-0.8191361,-0.8997514,-0.96328527,-1.0113249
-165,-0.1049763,-0.23155321,-0.36085513,-0.48873928,-0.61060035,-0.7219678,-0.8191361,-0.8997514,-0.96328527
-164,0.015677214,-0.1049763,-0.23155321,-0.36085513,-0.48873928,-0.61060035,-0.7219678,-0.8191361,-0.8997514
-163,0.12844399,0.015677214,-0.1049763,-0.23155321,-0.36085513,-0.48873928,-0.61060035,-0.7219678,-0.8191361
-162,0.23265031,0.12844399,0.015677214,-0.1049763,-0.23155321,-0.36085513,-0.48873928,-0.61060035,-0.7219678
-161,0.32873553,0.23265031,0.12844399,0.015677214,-0.1049763,-0.23155321,-0.36085513,-0.48873928,-0.61060035
-160,0.41789928,0.32873553,0.23265031,0.12844399,0.015677214,-0.1049763,-0.23155321,-0.36085513,-0.48873928
-159,0.50165445,0.41789928,0.32873553,0.23265031,0.12844399,0.015677214,-0.1049763,-0.23155321,-0.36085513
-158,0.5813681,0.50165445,0.41789928,0.32873553,0.23265031,0.12844399,0.015677214,-0.1049763,-0.23155321
-157,0.65785706,0.5813681,0.50165445,0.41789928,0.32873553,0.23265031,0.12844399,0.015677214,-0.1049763
