recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,1,1,0.000690695576445,7.693182929946536e-06,0.021225003328954,5,14.30429876781306
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,1,10,0.6621483159966406,0.0046002814901216,1.3729368547363952,5,14.30429876781306
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,2,1,0.0015320736453221,1.7282939067809135e-05,0.021225003328954,5,7.139079934572845
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,2,10,0.712281022755798,0.0048017787133708,1.3729368547363952,5,7.139079934572845
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,5,1,0.0057576651749163,7.009723460994837e-05,0.021225003328954,5,2.837012238044695
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,5,10,0.8240329857604121,0.0053764034893449,1.3729368547363952,5,2.837012238044695
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,10,1,0.0155135805965168,0.0002265975623082,0.021225003328954,5,1.449511238026013
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,10,10,0.9009865222929636,0.0063934063708144,1.3729368547363952,5,1.449511238026013
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,15,1,0.020821632491486,0.0003058455031257,0.021225003328954,5,1.1022630052520523
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,15,10,0.9061547218614068,0.0062651011333959,1.3729368547363952,5,1.1022630052520523
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,20,1,0.0210994087583499,0.0002718929732017,0.021225003328954,5,1.0513692039697575
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,20,10,0.9038632462587662,0.0057627301195324,1.3729368547363952,5,1.0513692039697575
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,25,1,0.0211226020700513,0.0002792113164168,0.021225003328954,5,1.0856733317082483
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,25,10,0.8987709021001254,0.0063748905108127,1.3729368547363952,5,1.0856733317082483
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,30,1,0.0210830152102271,0.0002898024207776,0.021225003328954,5,1.1190537371960745
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,30,10,0.8963857806508004,0.0086314602252977,1.3729368547363952,5,1.1190537371960745
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,40,1,0.0211216429845528,0.000276066116461,0.021225003328954,5,1.1904299864536678
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,40,10,0.9069876570998228,0.0063128527433681,1.3729368547363952,5,1.1904299864536678
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,50,1,0.0211418457035081,0.0002981203165768,0.021225003328954,5,1.0812880405114396
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,50,10,0.9074145970632932,0.0062799632144682,1.3729368547363952,5,1.0812880405114396
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,75,1,0.0210026863395461,0.0003061275209334,0.021225003328954,5,1.2705558286565943
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,75,10,0.9065494941015196,0.0066893678180729,1.3729368547363952,5,1.2705558286565943
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,100,1,0.0210863868382064,0.0002942498607145,0.021225003328954,5,1.1227534894631932
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,2,100,10,0.8842247188986958,0.007908150227442,1.3729368547363952,5,1.1227534894631932
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,1,1,2.4717436004040357e-05,2.1004345964585722e-07,0.021225003328954,5,168.15165997848703
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,1,10,0.3478664224983975,0.0021451232411938,1.3729368547363952,5,168.15165997848703
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,2,1,0.0001487868887841,1.2650008699464935e-06,0.021225003328954,5,41.3037549678899
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,2,10,0.4525096478823922,0.0026730642949341,1.3729368547363952,5,41.3037549678899
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,5,1,0.0023859868983491,2.1717081367043588e-05,0.021225003328954,5,6.152461435729259
monkeyM_session-o081003015-26_lfp-1,M,embedding,0,3,5,10,0.7236620347576234,0.0038381686148297,1.3729368547363952,5,6.152461435729259
