row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_0_3,mode_1_G_0_4,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_1_3,mode_1_G_1_4,mode_1_G_2_2,mode_1_G_2_3,mode_1_G_2_4,mode_1_G_3_3,mode_1_G_3_4,mode_1_G_4_4,mode_2_G_0_0,mode_2_G_0_1,mode_2_G_0_2,mode_2_G_0_3,mode_2_G_0_4,mode_2_G_1_1,mode_2_G_1_2,mode_2_G_1_3,mode_2_G_1_4,mode_2_G_2_2,mode_2_G_2_3,mode_2_G_2_4,mode_2_G_3_3,mode_2_G_3_4,mode_2_G_4_4,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,residual_rmse_lag_3,residual_rmse_lag_4,normalized_error,held_out_in_this_feature_fit
0,5,159,1,2,short,0.4366702190552785,-0.04849347972186693,-0.419319577492635,0.04607527927108168,0.37670616008543445,0.4499077356429899,0.004201567960691127,-0.40683200908231854,0.07688714678633632,0.4066959363793481,-0.005959177488668754,-0.37305284036964537,0.36789197375445637,-0.06754048958677666,0.3566841325819041,0.010340521774484102,-0.007858050978459832,-0.003644982734124212,0.012264678401691641,-0.023079327427400063,0.0156277580243237,-0.014610964239698272,0.007008766869378203,0.012505056505447714,0.03256992929835767,-0.03371502980805857,0.017195624438038373,0.04215995051566257,-0.0358858809314776,0.054135346854911136,0.8082506506665712,0.8183501018620956,0.8638191713722563,0.8906612988566692,0.9159828012262999,0.773052380547929,False
1,17,195,1,4,short,0.31012308926632753,-0.10432567555096696,-0.2593162760042783,0.25808073939263093,0.0661458435122672,0.31294537279099727,-0.08189331510183433,-0.26436798674384765,0.2618815056989931,0.31978106594683287,-0.10772548893397464,-0.22826124841336637,0.3282278116844378,-0.12651846442354847,0.3046661772695882,0.02944420060632409,-0.024784860759943295,0.0007767691753532468,0.021472746523608616,-0.03427769579795194,0.03183032271893091,-0.015552564130127329,-0.005003244108987387,0.03435174485988787,0.02025954233942374,-0.0171905336418627,-0.008373348227581004,0.031238764289953362,-0.01844457792619027,0.042661048582177605,0.8043606762285351,0.8031815703015334,0.8193506998267998,0.8149420782925446,0.8213287936774268,0.791930994049073,False
2,3,236,1,3,short,0.42910715836382646,-0.12127412941972814,-0.4149201657390231,0.3195989873034511,0.22501033328653341,0.5223473555569303,-0.1439188822591783,-0.4138002605002235,0.32324400703484796,0.5409698939304581,-0.13593049327855317,-0.42457968112330013,0.4524238615923382,-0.08879205996300576,0.42458675328752427,0.03796827682661432,-0.0209435958980045,-0.0033841507032926887,0.03474593538980814,-0.04827575724643188,0.03190843086163588,-0.025134185847405885,-0.0013611149889247165,0.028720286074673133,0.0361169680220334,-0.026714384809122478,0.001529256121761382,0.04737095066449355,-0.04234964525547619,0.06159626636069078,0.7226385060794313,0.695194883478399,0.694048851948449,0.7159061702140438,0.713586553510788,0.6601020211384747,False
3,13,82,1,3,short,0.345335792829135,-0.1785799321497833,-0.28282049074983123,0.3144379016437879,-0.010043393452363103,0.4068064215081129,-0.09041542321174753,-0.27121747632035204,0.31921832093354974,0.4097422164593168,-0.1757700987670371,-0.22811515757521922,0.32382071078092434,-0.117610150176326,0.3138828360228411,0.005202751773333622,-0.007647717742926118,0.003979964530980852,-0.0021868353837329406,-0.0010271997290086494,0.011249616990521792,-0.006161709812989739,0.0033934853073241695,0.001357760306004428,0.015238239928895742,-0.008680817490375083,0.005172150217905731,0.004946783779331746,-0.0029923856077634153,0.0031138980771732118,0.9567391974922222,0.9133134007171673,0.8595999615150023,0.8827233375503162,0.8834843148077355,0.8154638171994699,False
4,11,445,1,1,short,0.08327280836247233,-0.0014184147690885912,-0.07960622517378371,0.012552130700802133,0.04238547637840139,0.0927149665287691,0.003511437330295998,-0.067728172839002,0.040306111292669,0.07615120972547475,-0.013569459815309496,-0.03956511567440004,0.051068335199998455,-0.023495160207571895,0.03973442391096359,0.032054700745988776,-0.019643024083492885,-0.00034047078706614994,0.023939959551356384,-0.04469302668610353,0.030238334589992567,-0.02534962720986347,-0.0008277124109003619,0.029548067237437567,0.03589283467752956,-0.01969225304673304,-0.0025588303447241084,0.028407297123051522,-0.03173585966378549,0.06257072260338907,0.785954917918382,0.7744146263338115,0.7705036447341251,0.7683028875333296,0.8256622947915045,0.9206359818340166,True
5,0,601,1,0,short,0.11260414849898015,-0.03215048505112528,-0.11267837630721021,0.07531265443730123,0.09340400132181345,0.1749611761077326,-0.03805877992519692,-0.1605150404049283,0.0975935509692941,0.142504543762527,-0.01647235208469415,-0.14610699201377547,0.16693600286099197,-0.04172566990467484,0.1706186128012689,0.018142898608537607,-0.02336841983756319,0.012959625680794609,0.0030499417213470407,-0.017941295735273068,0.031328003774564524,-0.021872566691027287,0.00472246550329561,0.015613175738975119,0.031092342800268288,-0.03428504020638308,0.018778489987447657,0.061405157623292295,-0.055776622632748594,0.06345660349089309,0.8261419060387342,0.8105016022464441,0.7913958909208717,0.7489048792280494,0.7376445131015331,0.8627139716634706,False
6,12,566,1,1,short,0.3805174027796381,0.0366426367234384,-0.3544838750537653,0.010147653460967035,0.2920896710047607,0.5001414580261552,0.0406123695602387,-0.342149064743522,0.11241464532578013,0.34148222034316333,-0.06109929396790761,-0.25941945714314785,0.2373478828870986,-0.05044743715514621,0.23851711047056,0.033837879602874654,-0.020118021013991162,-0.0008979414662416132,0.026071505252594437,-0.014744428902016628,0.03864325326842717,-0.019148823316194843,0.008307187507276147,0.00012338902777304147,0.014543145898363221,-0.018254119574578294,0.00676678528672528,0.0413306128618459,-0.019072026896507756,0.009224226884898767,1.0285145969742056,1.0508860887677323,1.0624262374938074,1.1267193469794097,1.1686745488789356,0.8656841542632493,True
7,16,205,1,0,short,0.14135608819185286,-0.025140690236779027,-0.13142673593046778,0.09375163901429687,0.06404927991191746,0.1650317323291594,-0.0480765139914061,-0.12897221850366714,0.1213421496722833,0.15399148678104155,-0.0371922076707562,-0.11861820393364536,0.14072181222443653,-0.05035626151782995,0.13875051367900573,0.04437984714983249,-0.027213980690235052,-0.0010623405129132311,0.02666749147167132,-0.0341594938196164,0.03736515197169686,-0.02592403495586056,0.004305896397529564,0.013043356032579929,0.03418137689960654,-0.027189627906400768,0.01097554170344397,0.036664031581513885,-0.028422413551774512,0.02931371947631488,0.7135993714232141,0.7239931912735766,0.7280398100634615,0.7296708542870589,0.7284813879163815,0.8505904250588441,False
8,24,262,1,2,short,0.5950311223952298,-0.14351439790265216,-0.46058036041952316,0.3775497728421814,0.25254833816685796,0.5229297518661515,-0.13962160820456726,-0.4111366422435848,0.352001974652189,0.48522653784281067,-0.1279086684295654,-0.40747913126373514,0.44935711109678755,-0.11040932185301586,0.45634328106011446,0.008623859298902819,-0.0064703833055841905,0.0019607052560562093,0.002734267377472012,-0.007007249711728249,0.005224404977884155,-0.0026442765188356026,-0.00045598441750735095,0.0036768527203514334,0.004168175321826031,-0.004440726611733779,0.0034219578583825202,0.0077516712419491585,-0.009042168519237814,0.01245045950265166,0.7324353041723227,0.704017583968762,0.7022445004203615,0.6936463445473735,0.6756679785892076,0.659068016822776,False
9,25,188,1,1,short,0.4362788551443183,-0.20391363769473206,-0.26390037460208876,0.4029158092226319,-0.04015379041168354,0.39618229167440466,-0.162358436130986,-0.309052959198058,0.32859577932994893,0.43092813624297516,-0.12907413997440972,-0.2699172100220372,0.4205510414963683,-0.16140900190112523,0.32274394476878737,0.044164666591252434,-0.044777931398725095,0.020774681117253724,0.0011580161370668071,-0.02989600858356519,0.07919494815511294,-0.06991831500986012,0.04965073020774332,0.0006964672499596911,0.08039835773184117,-0.0729287999809688,0.028748816494892464,0.07646607671997731,-0.04532154279611962,0.046188506029667106,0.7573926393870519,0.8173128125307086,0.8179850041938457,0.8442478699792362,0.906465668695341,0.7475365696081895,True
