row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
27,2,684,1,0,short,5.139789026473133,22.3,4.06150212652601,3.8720204347982166,4.216755178284118,6.010510605722383,5.412395473434401
28,32,80,1,2,short,4.848305687587067,28.400000000000002,3.178063149882468,4.125472776906945,4.702996773168061,5.690085538981071,5.554777352022144
29,8,349,1,4,short,4.38509263148727,24.8,4.882913909363605,4.915114012782694,4.392561920692293,5.1946290187538,5.228701570426385
30,20,673,1,2,short,4.725690711257351,20.900000000000002,3.547892086030745,4.445328954533847,4.8406463546730185,5.72648390926495,5.234854372150093
31,27,366,1,3,short,4.8780305650313425,22.6,4.349694804666898,4.606296820189068,4.688662817055241,5.708947631930728,5.747636068551835
32,14,152,1,3,short,4.6891126379671775,21.700000000000003,4.601851256903276,4.965814484287697,4.892815638012507,5.438837072980169,5.3196725122515645
33,37,96,2,0,short,4.877142555558883,26.0,4.580733411789827,4.671288039993462,5.22562864831618,5.879191094878314,5.311009104403354
34,67,91,2,3,short,4.894185507682449,23.400000000000002,3.410184262118169,4.80715333865779,5.240795140583728,5.8295735464579455,5.531226498444835
35,34,479,2,0,short,5.3819301692675525,21.700000000000003,4.080915985576545,4.563651074882716,4.927504365976996,6.285118668929451,5.367686314165211
36,58,580,2,4,short,5.0914190028957265,23.3,4.155649058173905,4.555557364993987,4.246585873397065,5.7654277652661845,5.2646624674463585
37,52,412,2,1,short,5.013805774217954,25.0,4.5866364738001995,4.438909518506158,4.418572003265938,5.85712267472498,5.459018135665526
38,56,531,2,4,short,5.236846308135072,22.1,4.477493611695195,4.122386813684116,4.953004396763685,6.158931566025098,5.502407474140317
39,41,579,2,4,short,5.074682889137042,22.3,4.393553450782382,4.395855550457899,4.042127970361453,6.050873113158198,5.547606076843822
