recording,raw_trial_index,direction,fold,R1
monkeyT_session-y070215011-16_lfp-1,3,1,2,1.726980677341532
monkeyT_session-y070215011-16_lfp-1,19,1,0,1.5894927777123302
monkeyT_session-y070215011-16_lfp-1,8,1,1,1.30558686690944
monkeyT_session-y070215011-16_lfp-1,13,1,0,1.786419891436287
monkeyT_session-y070215011-16_lfp-1,9,1,1,1.422368460592144
monkeyT_session-y070215011-16_lfp-1,18,1,2,1.14659188733439
monkeyT_session-y070215011-16_lfp-1,2,1,3,2.0805684738741284
monkeyT_session-y070215011-16_lfp-1,0,1,1,0.7394719800993805
monkeyT_session-y070215011-16_lfp-1,12,1,3,0.9363340519761916
monkeyT_session-y070215011-16_lfp-1,1,1,4,1.4027284373110969
monkeyT_session-y070215011-16_lfp-1,5,1,3,1.1392378882086422
monkeyT_session-y070215011-16_lfp-1,11,1,0,0.3691643220626024
monkeyT_session-y070215011-16_lfp-1,7,1,2,1.4021718081147314
monkeyT_session-y070215011-16_lfp-1,15,1,4,1.069423145005684
monkeyT_session-y070215011-16_lfp-1,17,1,2,1.3988459868264735
monkeyT_session-y070215011-16_lfp-1,10,1,4,1.3370347503921576
monkeyT_session-y070215011-16_lfp-1,14,1,0,1.5676436430931902
monkeyT_session-y070215011-16_lfp-1,6,1,3,1.9833442870178544
monkeyT_session-y070215011-16_lfp-1,4,1,1,1.2904026370787958
monkeyT_session-y070215011-16_lfp-1,31,2,2,2.185811723041561
monkeyT_session-y070215011-16_lfp-1,26,2,4,1.5540718980407
monkeyT_session-y070215011-16_lfp-1,27,2,0,1.5270010018791316
monkeyT_session-y070215011-16_lfp-1,30,2,0,1.6273779485049196
monkeyT_session-y070215011-16_lfp-1,37,2,4,1.0701407708419262
monkeyT_session-y070215011-16_lfp-1,34,2,1,1.5560687603301433
monkeyT_session-y070215011-16_lfp-1,32,2,2,0.7644143244116461
monkeyT_session-y070215011-16_lfp-1,25,2,1,1.524791115729949
monkeyT_session-y070215011-16_lfp-1,33,2,2,0.9115925071659928
monkeyT_session-y070215011-16_lfp-1,35,2,4,1.1954626893550775
monkeyT_session-y070215011-16_lfp-1,22,2,4,1.3120860709235624
monkeyT_session-y070215011-16_lfp-1,24,2,0,1.5832603547733732
monkeyT_session-y070215011-16_lfp-1,28,2,3,1.024725061858883
monkeyT_session-y070215011-16_lfp-1,21,2,2,1.0957235002387111
monkeyT_session-y070215011-16_lfp-1,38,2,3,1.5196503786113815
monkeyT_session-y070215011-16_lfp-1,29,2,1,1.2523531551788782
monkeyT_session-y070215011-16_lfp-1,20,2,1,1.668455700324478
monkeyT_session-y070215011-16_lfp-1,39,2,0,1.4997948648364754
monkeyT_session-y070215011-16_lfp-1,23,2,3,1.0644126108637884
monkeyT_session-y070215011-16_lfp-1,58,3,4,1.9891743214694624
monkeyT_session-y070215011-16_lfp-1,53,3,1,1.7245574229218656
monkeyT_session-y070215011-16_lfp-1,55,3,0,1.9057663671781315
monkeyT_session-y070215011-16_lfp-1,44,3,3,1.1379018089859565
monkeyT_session-y070215011-16_lfp-1,48,3,3,1.629353143551166
monkeyT_session-y070215011-16_lfp-1,50,3,4,1.077101216437358
monkeyT_session-y070215011-16_lfp-1,57,3,4,1.6378645355924872
monkeyT_session-y070215011-16_lfp-1,54,3,4,1.145738435516501
monkeyT_session-y070215011-16_lfp-1,49,3,2,1.4814113942640932
monkeyT_session-y070215011-16_lfp-1,46,3,1,1.2750752314102458
monkeyT_session-y070215011-16_lfp-1,59,3,0,1.395394161057998
monkeyT_session-y070215011-16_lfp-1,56,3,2,0.93351575376098
monkeyT_session-y070215011-16_lfp-1,47,3,1,1.2408510906342574
monkeyT_session-y070215011-16_lfp-1,51,3,1,1.223638692027838
monkeyT_session-y070215011-16_lfp-1,43,3,0,2.021917597337871
monkeyT_session-y070215011-16_lfp-1,41,3,2,1.2999668386087264
monkeyT_session-y070215011-16_lfp-1,42,3,3,1.3083069919838182
monkeyT_session-y070215011-16_lfp-1,40,3,0,1.1863215566639962
monkeyT_session-y070215011-16_lfp-1,52,3,3,1.092115263816377
monkeyT_session-y070215011-16_lfp-1,79,4,2,1.2567649892817647
monkeyT_session-y070215011-16_lfp-1,78,4,3,0.9110786518849696
monkeyT_session-y070215011-16_lfp-1,67,4,0,0.9978570053120572
monkeyT_session-y070215011-16_lfp-1,60,4,3,1.420700747937073
monkeyT_session-y070215011-16_lfp-1,70,4,4,1.1554936875131694
monkeyT_session-y070215011-16_lfp-1,76,4,2,1.0994923321236287
monkeyT_session-y070215011-16_lfp-1,72,4,0,1.4420174217669115
monkeyT_session-y070215011-16_lfp-1,66,4,2,1.196935829836722
monkeyT_session-y070215011-16_lfp-1,62,4,1,1.0185336586893956
monkeyT_session-y070215011-16_lfp-1,69,4,4,1.6049995838827116
monkeyT_session-y070215011-16_lfp-1,74,4,4,1.1047479810859182
monkeyT_session-y070215011-16_lfp-1,73,4,3,1.6979845076439517
monkeyT_session-y070215011-16_lfp-1,65,4,0,1.4433062646389407
monkeyT_session-y070215011-16_lfp-1,61,4,1,1.2189402564931728
monkeyT_session-y070215011-16_lfp-1,68,4,3,1.6841952979319756
monkeyT_session-y070215011-16_lfp-1,80,4,4,0.6739844312613097
monkeyT_session-y070215011-16_lfp-1,63,4,1,1.1995585007460012
monkeyT_session-y070215011-16_lfp-1,77,4,2,1.2056713713719212
monkeyT_session-y070215011-16_lfp-1,64,4,0,1.1675641314146004
monkeyT_session-y070215011-16_lfp-1,84,5,4,1.640558037312979
monkeyT_session-y070215011-16_lfp-1,92,5,2,1.354435048863915
monkeyT_session-y070215011-16_lfp-1,98,5,3,1.8207614707572284
monkeyT_session-y070215011-16_lfp-1,81,5,2,1.4150431692792018
monkeyT_session-y070215011-16_lfp-1,96,5,4,0.995471156518976
monkeyT_session-y070215011-16_lfp-1,100,5,0,1.2356357155860156
monkeyT_session-y070215011-16_lfp-1,87,5,2,0.953190325576698
monkeyT_session-y070215011-16_lfp-1,86,5,4,1.2793931294977432
monkeyT_session-y070215011-16_lfp-1,83,5,1,1.1911489518138163
monkeyT_session-y070215011-16_lfp-1,101,5,1,1.4578155338422587
monkeyT_session-y070215011-16_lfp-1,89,5,1,1.2125270364986722
monkeyT_session-y070215011-16_lfp-1,93,5,3,1.385651914687916
monkeyT_session-y070215011-16_lfp-1,91,5,4,2.1606368271847805
monkeyT_session-y070215011-16_lfp-1,99,5,0,1.2634463809845424
