recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080724004-9_lfp-7,2008-07-24,-0.1261721940581814,M,torus_power_frequency,power_frequency
monkeyM_session-o080731003-10_lfp-6,2008-07-31,-0.0357620901379868,M,torus_power_frequency,power_frequency
monkeyM_session-o080731011-18_lfp-6,2008-07-31,0.013583796357541,M,torus_power_frequency,power_frequency
monkeyM_session-o080801001-7_lfp-5,2008-08-01,0.0021720111576957,M,torus_power_frequency,power_frequency
monkeyM_session-o080801001-7_lfp-6,2008-08-01,0.0603216561049558,M,torus_power_frequency,power_frequency
monkeyM_session-o080808001-5_lfp-5,2008-08-08,0.0359766073564355,M,torus_power_frequency,power_frequency
monkeyM_session-o080808001-5_lfp-6,2008-08-08,0.0510599299316663,M,torus_power_frequency,power_frequency
monkeyM_session-o080808006-12_lfp-5,2008-08-08,-0.0004827192359193,M,torus_power_frequency,power_frequency
monkeyM_session-o080808006-12_lfp-6,2008-08-08,0.0134953677811604,M,torus_power_frequency,power_frequency
monkeyM_session-o080828001-6_lfp-5,2008-08-28,0.080075256813694,M,torus_power_frequency,power_frequency
monkeyM_session-o080828001-6_lfp-6,2008-08-28,0.0111648931165984,M,torus_power_frequency,power_frequency
monkeyM_session-o080828007-12_lfp-5,2008-08-28,-0.009145154364764,M,torus_power_frequency,power_frequency
monkeyM_session-o080829001-5_lfp-5,2008-08-29,0.0716568476071227,M,torus_power_frequency,power_frequency
monkeyM_session-o080904001-7_lfp-5,2008-09-04,-0.0167418292855574,M,torus_power_frequency,power_frequency
monkeyM_session-o080904001-7_lfp-6,2008-09-04,0.0189364829631478,M,torus_power_frequency,power_frequency
monkeyM_session-o080904008-14_lfp-5,2008-09-04,-0.0731408829416419,M,torus_power_frequency,power_frequency
monkeyM_session-o080904008-14_lfp-6,2008-09-04,0.0185473009666558,M,torus_power_frequency,power_frequency
monkeyM_session-o080905001-6_lfp-5,2008-09-05,0.0654673372313737,M,torus_power_frequency,power_frequency
monkeyM_session-o080910001-5_lfp-5,2008-09-10,0.0446559431853549,M,torus_power_frequency,power_frequency
monkeyM_session-o080910001-5_lfp-7,2008-09-10,0.0261927770019549,M,torus_power_frequency,power_frequency
monkeyM_session-o080910006-11_lfp-5,2008-09-10,-0.0127089369475685,M,torus_power_frequency,power_frequency
monkeyM_session-o080910006-11_lfp-7,2008-09-10,-0.0458029180869749,M,torus_power_frequency,power_frequency
monkeyM_session-o080911001-5_lfp-5,2008-09-11,-0.0575920336988735,M,torus_power_frequency,power_frequency
monkeyM_session-o080911001-5_lfp-6,2008-09-11,0.0047701415348474,M,torus_power_frequency,power_frequency
monkeyM_session-o080911006-11_lfp-5,2008-09-11,-0.0793919588037234,M,torus_power_frequency,power_frequency
monkeyM_session-o080911006-11_lfp-6,2008-09-11,-0.0080234355490109,M,torus_power_frequency,power_frequency
monkeyM_session-o080917001-8_lfp-5,2008-09-17,-0.0115662035973286,M,torus_power_frequency,power_frequency
monkeyM_session-o080917001-8_lfp-6,2008-09-17,-0.0194532173872781,M,torus_power_frequency,power_frequency
monkeyM_session-o080918001-5_lfp-5,2008-09-18,0.0473367218731442,M,torus_power_frequency,power_frequency
monkeyM_session-o080918001-5_lfp-6,2008-09-18,-0.0889443132236543,M,torus_power_frequency,power_frequency
monkeyM_session-o080918006-11_lfp-5,2008-09-18,-0.0763942554614681,M,torus_power_frequency,power_frequency
monkeyM_session-o080919001-6_lfp-5,2008-09-19,0.0570122484160832,M,torus_power_frequency,power_frequency
monkeyM_session-o080919001-6_lfp-7,2008-09-19,0.0825520508746777,M,torus_power_frequency,power_frequency
monkeyM_session-o080919007-12_lfp-5,2008-09-19,-0.0109689551310507,M,torus_power_frequency,power_frequency
monkeyM_session-o080919007-12_lfp-7,2008-09-19,-0.038195092352555,M,torus_power_frequency,power_frequency
monkeyM_session-o080925002-6_lfp-6,2008-09-25,-0.0293601720630141,M,torus_power_frequency,power_frequency
