method,analysis,monkey,mean,sd,n_lfps,n_days,n_trials,n_animals,null_mean,null_low,null_high
peak_power,short,T,0.1707598696350685,0.0345294493949598,95,30,12468,1,0.1368061180840435,0.130787864081206,0.1429913342359337
peak_frequency,short,T,0.1773652142860129,0.040721627832845,95,30,12468,1,0.1419872501644078,0.1359667387499339,0.1492159071266214
power_frequency,short,T,0.2210601604319194,0.0496983328351298,95,30,12468,1,0.1472119127406811,0.1398250185327577,0.1545239718058191
all_bands,short,T,0.1991469957368427,0.0418466349724453,95,30,12468,1,0.157115238377641,0.1495930043833776,0.1633920406847147
torus,short,T,0.1881914550020805,0.0343973259383842,95,30,12468,1,0.1603407831128544,0.1523028531409957,0.1683336989498627
