method,analysis,monkey,mean,sd,n_lfps,n_days,n_trials,n_animals
power_frequency,short,M,0.1861054676814411,0.0552202416227519,115,48,13338,1
torus,short,M,0.1727457178341415,0.0412968569662023,115,48,13338,1
torus_pca,short,M,0.1696354143701716,0.0391446933124086,115,48,13338,1
