panel,monkey,enhanced,baseline,n_lfps,n_days,n_animals,mean_difference,ci_low,ci_high,day_mean_difference,statistic,p_raw,p_holm
E,T,torus_power_frequency,power_frequency,95,30,1,-0.0052293954170564,-0.0128790641750022,0.0035648869812364,0.0009304571895333,216.0,0.7456546742469072,1.0
E,T,torus_all_bands,all_bands,95,30,1,0.0051346577814465,-0.002121130810604,0.0124523491424145,0.0045210849210666,179.0,0.2800867818295955,1.0
