recording,raw_trial_index,direction,fold,R2
monkeyT_session-y070215011-16_lfp-1,91,5,4,1.1466951060957795
monkeyT_session-y070215011-16_lfp-1,99,5,0,0.692580148118393
monkeyT_session-y070215011-16_lfp-1,82,5,2,1.3179839298489846
monkeyT_session-y070215011-16_lfp-1,90,5,1,1.2339028235904574
monkeyT_session-y070215011-16_lfp-1,85,5,0,0.6861722831385662
monkeyT_session-y070215011-16_lfp-1,88,5,3,0.8742349190457408
monkeyT_session-y070215011-16_lfp-1,97,5,3,1.1565012052739452
monkeyT_session-y070215011-16_lfp-1,110,6,0,0.8607127399039286
monkeyT_session-y070215011-16_lfp-1,115,6,3,0.7033834166842866
monkeyT_session-y070215011-16_lfp-1,106,6,2,1.2133449112184371
monkeyT_session-y070215011-16_lfp-1,103,6,1,0.9990941138690218
monkeyT_session-y070215011-16_lfp-1,118,6,4,1.606089756644291
monkeyT_session-y070215011-16_lfp-1,116,6,3,1.0289528597608897
monkeyT_session-y070215011-16_lfp-1,112,6,3,1.050519618984039
monkeyT_session-y070215011-16_lfp-1,107,6,0,0.661569022197814
monkeyT_session-y070215011-16_lfp-1,119,6,1,1.1275157349625418
monkeyT_session-y070215011-16_lfp-1,113,6,1,1.1973038917064682
monkeyT_session-y070215011-16_lfp-1,105,6,0,0.921011139720382
monkeyT_session-y070215011-16_lfp-1,102,6,2,0.8957235051419892
monkeyT_session-y070215011-16_lfp-1,117,6,2,0.9939856900311016
monkeyT_session-y070215011-16_lfp-1,108,6,1,0.997573516246552
monkeyT_session-y070215011-16_lfp-1,109,6,2,0.7055190519939114
monkeyT_session-y070215011-16_lfp-1,111,6,4,1.2101735668913338
monkeyT_session-y070215011-16_lfp-1,104,6,3,1.0390118363813592
monkeyT_session-y070215011-16_lfp-1,114,6,4,1.0860318733105117
monkeyT_session-y070215011-16_lfp-1,120,6,0,0.8314185631482565
