R1,R2,r,mse,mean_error,frac_inside,direction_x,direction_y,direction_z,u_x,u_y,u_z,v_x,v_y,v_z,direction,fold,raw_trial_index,monkey,recording,reference_fold
0.5975964447103008,0.5281822099005892,0.7836465796114941,0.1902630208820115,0.2851612291247009,0.2466666666666666,-0.0486255919081059,0.9815753121366946,0.1847848976927954,0.9266991664234524,-0.0246864607424292,0.3749923113959687,0.3726448802300456,0.1894742337621741,-0.908424629773198,1,0,12,M,monkeyM_session-o080925002-6_lfp-7,0
0.98132451887426,0.6438340318475071,0.7307152397328543,0.1526535397635072,0.2779042327324211,0.3133333333333333,-0.2386720636542726,0.0383115349381998,0.9703442030133894,0.9587735007641912,0.1679998010118824,0.2291930214739219,-0.1542368965694933,0.9850422798797251,-0.0768289436733606,1,3,3,M,monkeyM_session-o080925002-6_lfp-7,0
0.6472358670331321,0.6030203485768367,0.7243414621555478,0.188419787196253,0.2698456214472811,0.3666666666666666,0.7729247980092496,0.3874194225010726,0.5024872612229051,-0.0650398466247137,0.836150286405716,-0.5446306242717837,-0.631155349318529,0.3882768208541097,0.6714789910444192,1,4,10,M,monkeyM_session-o080925002-6_lfp-7,0
1.2205550991743563,0.9090770963584568,0.8227624754440144,0.184070752771152,0.2855475324092062,0.3266666666666666,-0.2085725641172438,0.965468531654595,0.1561025300316383,0.9581804742679474,0.16974872546458,0.2303813120346394,0.1959277015360754,0.1976256172359012,-0.9604980224773602,1,1,1,M,monkeyM_session-o080925002-6_lfp-7,0
1.3456145866389555,1.2613190639738745,0.5380768284489461,0.1797383978356078,0.2992442083622944,0.2533333333333333,0.8963389121465762,0.2697883060239786,0.3518392026261493,-0.3121909156237019,0.9475268002220074,0.0687735055314099,-0.314822786300368,-0.1714853719527012,0.9335305996229138,1,0,16,M,monkeyM_session-o080925002-6_lfp-7,0
1.2628589366086571,0.9587308293335204,1.01224946968295,0.2101001906520669,0.3082827921793959,0.32,0.9045463902733174,0.4141937376518241,0.1011897995527378,-0.0968713910833813,-0.0314800478347976,0.9947989446003094,0.4152249528064058,-0.909644191032038,0.0116483599097597,1,4,19,M,monkeyM_session-o080925002-6_lfp-7,0
1.1618923766361673,0.7797817482740561,0.927876387789088,0.2473527574887492,0.2922636488837022,0.48,0.259027907389123,0.8126168085280318,0.5220713224180467,0.9507125743492962,-0.1191263646900978,-0.2862769816276815,-0.1704410284167106,0.5704934984146953,-0.8034220709557437,1,2,4,M,monkeyM_session-o080925002-6_lfp-7,0
0.8886203030788381,0.755777058768028,0.6085339442319475,0.1662141637681523,0.2696481576206868,0.3266666666666666,0.9002622677141059,0.3056815340789843,0.3099784654671583,-0.0053877314237677,-0.7041471245778542,0.7100336606801435,0.4353146237841785,-0.6408865942363426,-0.6322701571700031,1,3,6,M,monkeyM_session-o080925002-6_lfp-7,0
1.3257153570081142,0.6750833644782294,0.7052407064945869,0.1697491460413638,0.2563802120354585,0.41,-0.2888685086014642,-0.1293877640574621,0.948585152345627,0.905948572940302,0.2834089777238739,0.3145417850348966,-0.3095354065786276,0.9502305814157528,0.0353507314844332,1,3,11,M,monkeyM_session-o080925002-6_lfp-7,0
1.4555633150532097,0.7495782819019889,0.7799702460381771,0.2396375364085925,0.2816650737051162,0.44,-0.3355366074075068,0.4160062151009212,0.8451946604699221,0.936327354533339,0.0487306509765106,0.3477303679692132,0.1034711082479527,0.9080551484644596,-0.4058689161602904,1,0,7,M,monkeyM_session-o080925002-6_lfp-7,0
0.9918766098769408,0.882951622389429,0.9350406295755526,0.1974194766983262,0.2878933778619563,0.39,0.5150194022740043,0.8471730204121601,0.1305867097642977,0.3394234170719031,-0.3414478259452198,0.8764731177283852,0.7871129266023779,-0.4070764739493311,-0.4634026166654859,1,2,13,M,monkeyM_session-o080925002-6_lfp-7,0
1.191660620693803,0.9320817045147628,0.6796003638826559,0.1583869138861375,0.262996424087598,0.3433333333333333,0.8155523802195064,-0.0009956529843834,0.5786824032173714,-0.1177374584230199,0.9787968350666706,0.1676145773718881,-0.5665793907321245,-0.2048310629240685,0.7981428629380902,1,1,17,M,monkeyM_session-o080925002-6_lfp-7,0
1.61636128866884,1.0683394462568887,0.7872575706662723,0.346439193823025,0.3709687817137458,0.33,-0.3635788097510619,0.2893625490412007,0.8854827860056794,0.9307307174924048,0.0726521226044093,0.35841596029913,0.0393799519562274,0.954458476987581,-0.2957333851469472,1,4,2,M,monkeyM_session-o080925002-6_lfp-7,0
1.191623500343877,1.0301652339814045,0.8755312156382354,0.2513663229457002,0.3070128024572497,0.3866666666666666,0.2104706010471228,0.1023870534240385,0.972223748622716,0.9739872387728336,0.0634600063092516,-0.2175354828686597,-0.0839701423276993,0.9927183482188556,-0.0863672177802035,1,2,14,M,monkeyM_session-o080925002-6_lfp-7,0
1.524540687217408,1.1276235627102331,0.8519146486696942,0.2736027125826258,0.3352338318336118,0.3733333333333333,0.6897097856268725,0.708328460172341,0.150237159585816,0.2396480461536884,-0.4190950418153375,0.8757443461995744,0.6832782929270131,-0.5680054035268334,-0.4588034829630938,1,1,9,M,monkeyM_session-o080925002-6_lfp-7,0
0.5956727481222029,0.5327813754457226,0.7212995463314201,0.224733213128244,0.2755885019835574,0.34,0.2209563376543838,0.9718979536235604,0.0811952251841041,0.959433689179933,-0.2315591386226265,0.1608333341908049,0.1751150847783989,0.0423642899466366,-0.9836360983719392,1,0,15,M,monkeyM_session-o080925002-6_lfp-7,0
1.058580539283043,0.962142130157398,0.8252465694486301,0.2645248925848496,0.2874775478405627,0.47,0.8832402237078202,0.3559873139749822,0.3052208045226227,-0.1886602005134831,0.865667085507894,-0.4637109291471151,-0.4292948124153981,0.3519851266135345,0.8317526282952654,2,4,32,M,monkeyM_session-o080925002-6_lfp-7,0
1.5892223262607608,1.39858634382253,0.6337047093500499,0.2852467069526178,0.3939785144118486,0.2366666666666666,0.8513479322324441,0.2102838118493194,0.4806115029393926,-0.3207648283256573,0.933595170897846,0.1597184453512912,-0.4151103747110561,-0.2901392344208928,0.8622659690935883,2,4,26,M,monkeyM_session-o080925002-6_lfp-7,0
1.2765420185987226,0.6095441500443242,0.673089782292427,0.194468161481343,0.2820391531256597,0.38,-0.3514734234984136,0.3523072680020758,0.8673788223649562,0.9318939859801982,0.2203939340627478,0.2880974014500709,-0.0896662225603542,0.9095636881171426,-0.405775634791566,2,2,34,M,monkeyM_session-o080925002-6_lfp-7,0
1.288105899424694,0.8901584337277694,0.8155070283169248,0.1819806071278151,0.2720638562572535,0.41,-0.0120138296558361,-0.6611404952262182,0.7501659239588475,0.9435484850302388,0.2408576186709239,0.2273848366213383,-0.3310165015435658,0.7105496837661688,0.6209244902608172,2,0,35,M,monkeyM_session-o080925002-6_lfp-7,0
1.01369909235488,0.6911165175298929,0.7917431027108955,0.1846602764088764,0.2876293578453781,0.32,0.2204897456594858,0.975257671524104,-0.0160233015448775,0.9135230134364676,-0.200719383504769,0.3538183616029853,0.341847884271602,-0.0926509752719759,-0.9351768927856275,2,1,38,M,monkeyM_session-o080925002-6_lfp-7,0
0.5232913256764563,0.5107172632781252,0.7130661643775139,0.1891304011318312,0.2733360441083405,0.35,-0.1398551654462864,0.6569866437729334,0.740816497252841,0.3090899834751269,0.7397503577603289,-0.5976895434159871,-0.9406933160245892,0.1453889889140237,-0.3065258995406755,2,2,24,M,monkeyM_session-o080925002-6_lfp-7,0
0.9844470594245333,0.8000155212858181,0.6992728992130401,0.1540929507730837,0.2653795093557881,0.3533333333333333,0.9588841101013398,0.2763523712253588,0.0645804174133556,0.0071915218870008,-0.2511455994823117,0.9679226053118188,0.2837067947866433,-0.927661174556094,-0.2428069187916557,2,1,23,M,monkeyM_session-o080925002-6_lfp-7,0
0.9328359729835088,0.7870510013106087,0.7768617601385284,0.1401158453496342,0.2581877183062704,0.3466666666666667,0.92113433984864,0.1574011682891337,0.3560005620400419,-0.0291192594159048,0.9398955172935768,-0.3402182906642572,-0.3881540888393154,0.3030202778572014,0.8703534423006928,2,0,29,M,monkeyM_session-o080925002-6_lfp-7,0
1.140166319284473,1.0400194394235702,0.6101921180088599,0.1897581171311027,0.2837760052350084,0.25,0.916349387674952,0.2741512075053208,0.2917960163043955,-0.2544328783002392,0.9614500351471568,-0.1042964062438711,-0.3091402758418841,0.0213294476933984,0.9507772318022232,2,1,30,M,monkeyM_session-o080925002-6_lfp-7,0
1.3695163407876574,1.0555848721737444,0.8698238554264089,0.2389422733811984,0.3016388123485856,0.4066666666666667,0.8396314737791886,0.0612528821915287,0.5396916459077521,-0.2169111548978541,0.94876242887613,0.2297812099235823,-0.4979643954343191,-0.3099966741374768,0.8098972298405743,2,0,25,M,monkeyM_session-o080925002-6_lfp-7,0
0.758973861548301,0.7000473403302729,0.7811597499026084,0.1853952916483759,0.2935673744600184,0.3366666666666666,0.711183913890994,0.4985523675572591,0.4956440027133779,-0.585000373530319,0.8106789463389126,0.02396265703585,-0.3898615184806967,-0.3069937829433719,0.8681951472117564,2,3,37,M,monkeyM_session-o080925002-6_lfp-7,0
1.1001915753084597,0.8649989404903193,0.964339238250571,0.2553055172990024,0.2889013807379482,0.4433333333333333,0.7302844714400218,0.5677382099576943,-0.3799446219221968,-0.641442886727116,0.761208884639668,-0.0954570951413086,0.2350225815549479,0.3134236093526871,0.9200706642750774,2,3,31,M,monkeyM_session-o080925002-6_lfp-7,0
1.03874004684508,0.8149881642310207,0.8421870515849941,0.2242440113049605,0.2901624028215425,0.3633333333333333,-0.2530475048122224,0.1808115845870536,0.9504073501333136,0.9639598924909084,0.1305376860929359,0.2318215653868695,-0.0821479517530704,0.9748164357398889,-0.2073273513894256,2,4,33,M,monkeyM_session-o080925002-6_lfp-7,0
1.515122109249321,1.3298796579380998,0.7249582742351414,0.2495620070782293,0.3502962244337624,0.24,0.902439578543058,0.4115898937611874,0.1272657315724954,-0.093167911260524,-0.1019644822974788,0.9904155616008656,0.4206216202127265,-0.9056472843792231,-0.053669813733227,2,2,39,M,monkeyM_session-o080925002-6_lfp-7,0
1.3050998698603606,0.8121303174103206,0.872450655463545,0.2175433733841096,0.2921273638635205,0.3766666666666666,-0.0988165348182271,0.7470731587936228,-0.6573560586597164,0.9179921379357886,0.3234115196709367,0.2295548379629914,0.3840907798094065,-0.5807638800358143,-0.7177656919295795,2,1,22,M,monkeyM_session-o080925002-6_lfp-7,0
1.184096889523738,0.9975935372608802,0.6272233989527651,0.1788522348420591,0.2947073410032302,0.3133333333333333,0.9512438103506332,0.1519589568673219,0.2684095540352537,-0.1515987151889732,-0.5275097035318145,0.8359134777193329,0.2686131843798084,-0.8358480652053771,-0.4787535577619936,2,3,36,M,monkeyM_session-o080925002-6_lfp-7,0
1.4425583816574454,1.1839317414895791,1.042155083055995,0.3661575505210463,0.386984965927477,0.3666666666666666,0.1294050123156391,0.2567831173722857,0.9577665547617332,0.9304062499560148,0.3025941358436433,-0.2068356811476795,-0.3429264539669914,0.9178775624153854,-0.1997554194108767,3,1,47,M,monkeyM_session-o080925002-6_lfp-7,0
0.7928441668820576,0.7625522496158315,1.004373990605341,0.2149466753501452,0.3194073920109558,0.3266666666666666,0.3692209198612068,0.9075997843629132,-0.1998463003441339,0.5308768147931521,-0.0294774911704772,0.846936175298571,0.7627881225162868,-0.4188003210823602,-0.4927073890346993,3,0,43,M,monkeyM_session-o080925002-6_lfp-7,0
0.8607133171188656,0.6716272826062389,0.7654969186358223,0.1351764290101405,0.2609984774291291,0.2733333333333333,0.5119449522562762,0.125564136730158,0.8497917470925034,-0.4976816842605341,0.8496712258449675,0.1742749239641448,-0.7001609150837522,-0.5121449555919892,0.4974758661993186,3,4,51,M,monkeyM_session-o080925002-6_lfp-7,0
1.8086780587300832,1.272345839392935,0.8168169139177117,0.256930132383613,0.343567765808134,0.3766666666666666,-0.0456897332585089,-0.5950871610366245,0.8023613394500864,0.9803329148297852,0.1276565036621239,0.1505031334361498,-0.1919891256714913,0.7934576786711013,0.5775509395557795,3,0,41,M,monkeyM_session-o080925002-6_lfp-7,0
1.3648387900759194,0.9488723122638684,0.9057485004761512,0.2372292209171438,0.3024879729739813,0.39,-0.2921142028877755,0.0961245041133551,0.9515405257687144,0.9536431746248342,0.1045384455446182,0.2821992361693825,-0.0723463057986206,0.9898645327074188,-0.1222056419532912,3,3,42,M,monkeyM_session-o080925002-6_lfp-7,0
1.4293414633857182,0.911429232626314,0.896724969053075,0.229541973437845,0.286891092505629,0.4166666666666667,-0.2614188370745027,0.7322644633829054,0.6288473163568086,0.9638104768240552,0.162769453100273,0.2111290361405206,0.0522451565870162,0.6612827389278988,-0.7483151627551152,3,2,50,M,monkeyM_session-o080925002-6_lfp-7,0
1.4586403318279944,1.2172258386622008,0.8619571834032144,0.2501945844339973,0.3223795687787825,0.3366666666666666,0.047964280543458,-0.3097735741451722,0.9495997896763004,0.9313993944527896,0.3573000212444752,0.0695116021371565,-0.3608248824636755,0.8811225950910709,0.3056605578334433,3,3,45,M,monkeyM_session-o080925002-6_lfp-7,0
0.9947104425990454,0.9107770622739316,0.8718441539128561,0.2108300988820998,0.2921247638040222,0.39,0.4012747538398817,-0.2402265794568203,0.8838946557442342,-0.1985634098223687,0.9192329031353312,0.339975649235508,-0.8941762377800344,-0.3119327817268764,0.3211647481802394,3,2,48,M,monkeyM_session-o080925002-6_lfp-7,0
