method,analysis,monkey,mean,sd,n_lfps,n_days,n_trials,n_animals,null_mean,null_low,null_high
peak_power,short,M,0.1782028870530445,0.0427482210986924,115,48,13338,1,0.1464351048651857,0.1396452740720104,0.1534092583387037
peak_frequency,short,M,0.1536128995496889,0.0380082207933659,115,48,13338,1,0.1448007634148137,0.1386998500248082,0.1513515281174672
power_frequency,short,M,0.1861054676814411,0.0552202416227519,115,48,13338,1,0.1540921383491728,0.1478587953484893,0.1621661037747908
all_bands,short,M,0.1848321807219937,0.0456057011649543,115,48,13338,1,0.157217271423228,0.1490469792190558,0.1644862400072838
torus,short,M,0.1727457178341415,0.0412968569662023,115,48,13338,1,0.1611955478998362,0.1546824089883445,0.1681404413424311
