recording,raw_trial_index,direction,fold,r
monkeyT_session-y070215011-16_lfp-1,91,5,4,0.8818644888575606
monkeyT_session-y070215011-16_lfp-1,99,5,0,0.7076704128062176
monkeyT_session-y070215011-16_lfp-1,82,5,2,0.9381124279278484
monkeyT_session-y070215011-16_lfp-1,90,5,1,0.4158904263618573
monkeyT_session-y070215011-16_lfp-1,85,5,0,0.8300872782760117
monkeyT_session-y070215011-16_lfp-1,88,5,3,0.9943915408800312
monkeyT_session-y070215011-16_lfp-1,97,5,3,0.7763760031296211
monkeyT_session-y070215011-16_lfp-1,110,6,0,0.7977216634594124
monkeyT_session-y070215011-16_lfp-1,115,6,3,0.6743076033400714
monkeyT_session-y070215011-16_lfp-1,106,6,2,0.8798932142526291
monkeyT_session-y070215011-16_lfp-1,103,6,1,0.7137740308253712
monkeyT_session-y070215011-16_lfp-1,118,6,4,0.7193200430525857
monkeyT_session-y070215011-16_lfp-1,116,6,3,1.018963632966907
monkeyT_session-y070215011-16_lfp-1,112,6,3,0.9427264850130828
monkeyT_session-y070215011-16_lfp-1,107,6,0,0.6818273428084255
monkeyT_session-y070215011-16_lfp-1,119,6,1,0.8894131497691019
monkeyT_session-y070215011-16_lfp-1,113,6,1,0.7536843616271756
monkeyT_session-y070215011-16_lfp-1,105,6,0,0.9662240806742878
monkeyT_session-y070215011-16_lfp-1,102,6,2,0.929280930387054
monkeyT_session-y070215011-16_lfp-1,117,6,2,0.816800990601591
monkeyT_session-y070215011-16_lfp-1,108,6,1,1.055906028933932
monkeyT_session-y070215011-16_lfp-1,109,6,2,0.7393677574822565
monkeyT_session-y070215011-16_lfp-1,111,6,4,0.5305817320973016
monkeyT_session-y070215011-16_lfp-1,104,6,3,0.8105402690489188
monkeyT_session-y070215011-16_lfp-1,114,6,4,0.8234022892301349
monkeyT_session-y070215011-16_lfp-1,120,6,0,0.9960897908966712
