monkey,recording,curve,x,y
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,34.0,0.04134605233788603
M,monkeyM_session-o080925002-6_lfp-7,ami,35.0,0.04055120194189048
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,35.0,0.04135729361164584
M,monkeyM_session-o080925002-6_lfp-7,ami,36.0,0.04219501701763771
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,36.0,0.04132716243298308
M,monkeyM_session-o080925002-6_lfp-7,ami,37.0,0.040728987687212816
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,37.0,0.0410150705643814
M,monkeyM_session-o080925002-6_lfp-7,ami,38.0,0.040261059655169434
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,38.0,0.04083416152525553
M,monkeyM_session-o080925002-6_lfp-7,ami,39.0,0.04162638490732028
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,39.0,0.04101795714938565
M,monkeyM_session-o080925002-6_lfp-7,ami,40.0,0.04053120833948343
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,40.0,0.04125687857060429
M,monkeyM_session-o080925002-6_lfp-7,ami,41.0,0.042244514600622604
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,41.0,0.04157977377901911
M,monkeyM_session-o080925002-6_lfp-7,ami,42.0,0.041549345006207127
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,42.0,0.04168932053616127
M,monkeyM_session-o080925002-6_lfp-7,ami,43.0,0.04152638444638916
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,43.0,0.041768403289787044
M,monkeyM_session-o080925002-6_lfp-7,ami,44.0,0.04204942867577392
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,44.0,0.04223356401558804
M,monkeyM_session-o080925002-6_lfp-7,ami,45.0,0.042584902115715854
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,45.0,0.04332437595360836
M,monkeyM_session-o080925002-6_lfp-7,ami,46.0,0.045524066742292854
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,46.0,0.044808627486573535
M,monkeyM_session-o080925002-6_lfp-7,ami,47.0,0.04644290583555721
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,47.0,0.04568183327942698
M,monkeyM_session-o080925002-6_lfp-7,ami,48.0,0.04500531454080534
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,48.0,0.04597480823376621
M,monkeyM_session-o080925002-6_lfp-7,ami,49.0,0.047141898226737755
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,49.0,0.046460046103063785
M,monkeyM_session-o080925002-6_lfp-7,ami,50.0,0.0463354358847604
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,50.0,0.04705253018561076
M,monkeyM_session-o080925002-6_lfp-7,ami,51.0,0.0485384687815537
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,51.0,0.04766222018671255
M,monkeyM_session-o080925002-6_lfp-7,ami,52.0,0.04714764171657524
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,52.0,0.048329025048447896
M,monkeyM_session-o080925002-6_lfp-7,ami,53.0,0.04992424616034157
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,53.0,0.04955296434063827
M,monkeyM_session-o080925002-6_lfp-7,ami,54.0,0.050612582510169306
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,54.0,0.05122018420225002
M,monkeyM_session-o080925002-6_lfp-7,ami,55.0,0.053711780092871864
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,55.0,0.05289445465069468
M,monkeyM_session-o080925002-6_lfp-7,ami,56.0,0.05447454535025902
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,56.0,0.05377089753651913
M,monkeyM_session-o080925002-6_lfp-7,ami,57.0,0.05333948332743209
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,57.0,0.053867837774560084
M,monkeyM_session-o080925002-6_lfp-7,ami,58.0,0.05424252554432725
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,58.0,0.05377609075651474
M,monkeyM_session-o080925002-6_lfp-7,ami,59.0,0.05408482286459764
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,59.0,0.05294252220239981
M,monkeyM_session-o080925002-6_lfp-7,ami,60.0,0.050626338812891386
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,60.0,0.05108924688269677
M,monkeyM_session-o080925002-6_lfp-7,ami,61.0,0.048972510211004044
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,61.0,0.04908737987759937
M,monkeyM_session-o080925002-6_lfp-7,ami,62.0,0.04784744679925043
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,62.0,0.04695962048981489
M,monkeyM_session-o080925002-6_lfp-7,ami,63.0,0.04378329437218932
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,63.0,0.04448139799826134
M,monkeyM_session-o080925002-6_lfp-7,ami,64.0,0.041769120914171724
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,64.0,0.0426432647334729
M,monkeyM_session-o080925002-6_lfp-7,ami,65.0,0.04194638985624576
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,65.0,0.04190163196757275
M,monkeyM_session-o080925002-6_lfp-7,ami,66.0,0.04144447203214613
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,66.0,0.0417432436613728
M,monkeyM_session-o080925002-6_lfp-7,ami,67.0,0.04177653792552503
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,67.0,0.04204273766524731
M,monkeyM_session-o080925002-6_lfp-7,ami,68.0,0.04242041233723279
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,68.0,0.04297106049029935
M,monkeyM_session-o080925002-6_lfp-7,ami,69.0,0.044831279354860754
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,69.0,0.044325164845961953
M,monkeyM_session-o080925002-6_lfp-7,ami,70.0,0.04532246682657411
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,70.0,0.04568569754292035
M,monkeyM_session-o080925002-6_lfp-7,ami,71.0,0.04701293496685312
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,71.0,0.04730266462955303
M,monkeyM_session-o080925002-6_lfp-7,ami,72.0,0.049353514520769415
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,72.0,0.0493244295926189
M,monkeyM_session-o080925002-6_lfp-7,ami,73.0,0.051451894946302826
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,73.0,0.05142115459777594
M,monkeyM_session-o080925002-6_lfp-7,ami,74.0,0.05393564248253449
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,74.0,0.053059643818021335
M,monkeyM_session-o080925002-6_lfp-7,ami,75.0,0.05389170205657487
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,75.0,0.05392226282502838
M,monkeyM_session-o080925002-6_lfp-7,ami,76.0,0.05401659397143826
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,76.0,0.0547350664814814
M,monkeyM_session-o080925002-6_lfp-7,ami,77.0,0.05617995374504773
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,77.0,0.05618412804669559
M,monkeyM_session-o080925002-6_lfp-7,ami,78.0,0.05797021852676579
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,78.0,0.057874532767970874
M,monkeyM_session-o080925002-6_lfp-7,ami,79.0,0.06023254678330488
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,79.0,0.05889197354654903
M,monkeyM_session-o080925002-6_lfp-7,ami,80.0,0.05830351757040426
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,80.0,0.058909798862625776
M,monkeyM_session-o080925002-6_lfp-7,ami,81.0,0.058883016433354536
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,81.0,0.05871935346891041
M,monkeyM_session-o080925002-6_lfp-7,ami,82.0,0.05889521010659019
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,82.0,0.0583640775006513
M,monkeyM_session-o080925002-6_lfp-7,ami,83.0,0.05728893489925861
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,83.0,0.05766283168105432
M,monkeyM_session-o080925002-6_lfp-7,ami,84.0,0.056956471146484715
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,84.0,0.057022092856007345
M,monkeyM_session-o080925002-6_lfp-7,ami,85.0,0.05707188595512865
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,85.0,0.05620286608505748
M,monkeyM_session-o080925002-6_lfp-7,ami,86.0,0.05433063173811419
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,86.0,0.05487660174008065
M,monkeyM_session-o080925002-6_lfp-7,ami,87.0,0.05387862008116629
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,87.0,0.053495864534246276
M,monkeyM_session-o080925002-6_lfp-7,ami,88.0,0.051482135334932184
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,88.0,0.05243766954767317
M,monkeyM_session-o080925002-6_lfp-7,ami,89.0,0.052227460447051774
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,89.0,0.051990017797378094
M,monkeyM_session-o080925002-6_lfp-7,ami,90.0,0.05178611650691611
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,90.0,0.051756344185105226
M,monkeyM_session-o080925002-6_lfp-7,ami,91.0,0.05139813216431573
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,91.0,0.05144453426274044
M,monkeyM_session-o080925002-6_lfp-7,ami,92.0,0.05123388343290884
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,92.0,0.051101880727750515
M,monkeyM_session-o080925002-6_lfp-7,ami,93.0,0.05043321061701474
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,93.0,0.050772269553670694
M,monkeyM_session-o080925002-6_lfp-7,ami,94.0,0.051231856479397195
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,94.0,0.05028345132362159
M,monkeyM_session-o080925002-6_lfp-7,ami,95.0,0.04854346055258703
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,95.0,0.04951374309024599
M,monkeyM_session-o080925002-6_lfp-7,ami,96.0,0.0495486504607467
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,96.0,0.04882255966053896
M,monkeyM_session-o080925002-6_lfp-7,ami,97.0,0.048088823897569244
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,97.0,0.04782194524566242
M,monkeyM_session-o080925002-6_lfp-7,ami,98.0,0.04560188814417658
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,98.0,0.04695413334767925
M,monkeyM_session-o080925002-6_lfp-7,ami,99.0,0.046958322867530045
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,99.0,0.04729004097840506
M,monkeyM_session-o080925002-6_lfp-7,ami,100.0,0.04894299602957966
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,100.0,0.04815659071248128
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,2.0,-0.16258268965589517
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,4.0,-0.10299804715302327
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,6.0,-0.04521064777022461
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,8.0,-0.024796360993292133
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,10.0,-0.019248395629652516
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,12.0,0.019859954077104818
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,14.0,0.13359667926172852
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,16.0,0.2987068568105122
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,18.0,0.41571732499416736
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,20.0,0.41549525829655126
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,22.0,0.3214155870026849
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,24.0,0.2304908204162665
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,26.0,0.21376812742971252
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,28.0,0.25415081217919533
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,30.0,0.31693582847613033
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,32.0,0.3661362439379418
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,34.0,0.339915379717296
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,36.0,0.20054822346706053
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,38.0,-0.009708554174360182
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,40.0,-0.19186159338889175
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,42.0,-0.28488495443014095
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,44.0,-0.3177557313460634
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,46.0,-0.337471722299845
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,48.0,-0.34022370462881135
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,50.0,-0.31846235786047733
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,52.0,-0.30136039273107096
M,monkeyM_session-o080925002-6_lfp-7,psd_residual_smoothed,54.0,-0.303034257305115
T,monkeyT_session-y070215011-16_lfp-1,ami,1.0,1.8699155012414532
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,1.0,1.614339713468158
T,monkeyT_session-y070215011-16_lfp-1,ami,2.0,1.2265756555476095
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,2.0,1.2903475058862348
T,monkeyT_session-y070215011-16_lfp-1,ami,3.0,0.8562234854122597
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,3.0,0.9200443904852762
T,monkeyT_session-y070215011-16_lfp-1,ami,4.0,0.609151301365449
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,4.0,0.6477082771640792
T,monkeyT_session-y070215011-16_lfp-1,ami,5.0,0.43457274639477217
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,5.0,0.4594957546886347
T,monkeyT_session-y070215011-16_lfp-1,ami,6.0,0.30775001944302094
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,6.0,0.3256086585106581
T,monkeyT_session-y070215011-16_lfp-1,ami,7.0,0.21618990143562195
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,7.0,0.22898850249596675
T,monkeyT_session-y070215011-16_lfp-1,ami,8.0,0.1491282278069378
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,8.0,0.1595130281405633
T,monkeyT_session-y070215011-16_lfp-1,ami,9.0,0.10362662668883738
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,9.0,0.1103423154184342
T,monkeyT_session-y070215011-16_lfp-1,ami,10.0,0.07006203446473905
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,10.0,0.07629239267034671
T,monkeyT_session-y070215011-16_lfp-1,ami,11.0,0.0500919183308787
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,11.0,0.053803997895330816
T,monkeyT_session-y070215011-16_lfp-1,ami,12.0,0.03616015586262267
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,12.0,0.04022588234186955
T,monkeyT_session-y070215011-16_lfp-1,ami,13.0,0.03129107563471897
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,13.0,0.03385858942726964
T,monkeyT_session-y070215011-16_lfp-1,ami,14.0,0.03128173858989058
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,14.0,0.03285203798281961
T,monkeyT_session-y070215011-16_lfp-1,ami,15.0,0.03417425906109539
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,15.0,0.035258620444557714
T,monkeyT_session-y070215011-16_lfp-1,ami,16.0,0.03980152488180114
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,16.0,0.03936540538235714
T,monkeyT_session-y070215011-16_lfp-1,ami,17.0,0.04342822192462763
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,17.0,0.04379425820586383
T,monkeyT_session-y070215011-16_lfp-1,ami,18.0,0.048938240122520155
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,18.0,0.04776866697760926
T,monkeyT_session-y070215011-16_lfp-1,ami,19.0,0.051376018847806806
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,19.0,0.05015963630762041
T,monkeyT_session-y070215011-16_lfp-1,ami,20.0,0.05145980483967376
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,20.0,0.050322580376020526
T,monkeyT_session-y070215011-16_lfp-1,ami,21.0,0.048723732864221894
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,21.0,0.048787389021440156
T,monkeyT_session-y070215011-16_lfp-1,ami,22.0,0.04689150860555813
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,22.0,0.04648451112956077
T,monkeyT_session-y070215011-16_lfp-1,ami,23.0,0.04390626469966207
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,23.0,0.043670435008756676
T,monkeyT_session-y070215011-16_lfp-1,ami,24.0,0.04041281806707162
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,24.0,0.04053973312572039
T,monkeyT_session-y070215011-16_lfp-1,ami,25.0,0.037084430719920895
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,25.0,0.03771246227686984
T,monkeyT_session-y070215011-16_lfp-1,ami,26.0,0.03538192417352219
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,26.0,0.03576482777535282
T,monkeyT_session-y070215011-16_lfp-1,ami,27.0,0.03390555514165608
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,27.0,0.03510753460893023
T,monkeyT_session-y070215011-16_lfp-1,ami,28.0,0.03544602476223259
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,28.0,0.0360977924403308
T,monkeyT_session-y070215011-16_lfp-1,ami,29.0,0.038334362890195664
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,29.0,0.038338731549563285
T,monkeyT_session-y070215011-16_lfp-1,ami,30.0,0.040585904227628394
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,30.0,0.04142997362159166
T,monkeyT_session-y070215011-16_lfp-1,ami,31.0,0.0448087741945489
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,31.0,0.04586414829394352
T,monkeyT_session-y070215011-16_lfp-1,ami,32.0,0.05154589224291958
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,32.0,0.051819525134854036
T,monkeyT_session-y070215011-16_lfp-1,ami,33.0,0.058593300574290366
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,33.0,0.05861833331445451
