row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_2_2,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,normalized_error,held_out_in_this_feature_fit
0,8,546,1,2,short,0.23513206345959292,-0.15153314690853822,-0.027361506915374978,0.24289455941480192,-0.1741594996116679,0.25645533101279516,1.0719411750522212,1.0753798237575145,1.0786452264813586,0.9043541533879377,False
1,28,448,1,1,short,0.49104215965955333,-0.24407950023299757,-0.27084494557756117,0.5259218256361355,-0.28188984807863704,0.578177232792412,1.1961528441275697,1.1915371731436737,1.1741622928636533,0.8414562673501645,False
2,3,752,1,2,short,0.33369490040273353,-0.21119849321433934,-0.07475740973028923,0.33189301332164567,-0.20090821039889256,0.32758158294498313,0.828192263835042,0.8305775196893004,0.8291083671129432,0.8061545516809161,False
3,5,99,1,0,short,0.39394814494987196,-0.27825616722575763,-0.015167259864267674,0.40698070302968975,-0.2851598346840624,0.4165713549516783,1.0296742202148492,1.0286516248905357,1.0297117945545657,0.8391073242803745,False
4,18,265,1,4,short,0.8019162010294584,-0.5524322634524803,-0.11271744655936411,0.8293288492653921,-0.5223697819807727,0.8181003738648618,0.9602376185322786,0.9542842448570061,0.9535773799089252,0.6912501969477883,True
5,22,87,1,2,short,0.7254320394006256,-0.4287640977053381,-0.2871637651850805,0.78827489980252,-0.42484989882857727,0.7746415962867886,0.8991520904137751,0.8728096177525644,0.8659000311500238,0.6697434527648795,False
6,10,22,1,0,short,0.7561651441929711,-0.38638242600351164,-0.43778784578321717,0.8372231682574126,-0.4078172174608957,0.8768096703278198,0.6625672614095687,0.6490653017390481,0.6467987552158149,0.5088370956049126,False
7,27,264,1,3,short,0.4110310907281501,-0.20568514147526992,-0.22383155757563397,0.4359935254721483,-0.20985853591865664,0.43293380352661426,1.0566589533810982,1.05346384529351,1.0538507455278954,0.8391399035339971,False
8,31,244,1,4,short,0.5508954938596411,-0.32610793031581803,-0.04543836954298597,0.5103536545250525,-0.35666697408366094,0.46739983654209494,1.0749607854857124,1.0551729760605302,1.0003557834404924,0.8108398227138032,True
9,16,545,1,4,short,0.16383727224106687,-0.10511484870938029,-0.04006868643357108,0.1837625184445688,-0.09696915356072479,0.1391764496229717,1.0172087427619132,1.0047430391853076,0.9719742036143212,0.9247568152051143,True
10,9,158,1,4,short,0.493021369910325,-0.20953535941034684,-0.22951850775223595,0.45739755415939537,-0.24670384224623113,0.4285800450979341,1.009870978013962,1.0073726607934055,0.9878907923445484,0.8137136405058396,True
11,23,386,1,3,short,0.3646371664291501,-0.1985738166076026,-0.18546870902930834,0.37827090445895156,-0.1841762418506134,0.39540032839485484,0.8450229983540208,0.8422693386246273,0.8266527052701875,0.7873798348661348,False
12,7,609,1,2,short,0.24263449216465285,-0.147830992291448,-0.02875175693672609,0.23500436499521826,-0.16023739084356448,0.22141466862747083,0.6898058567798737,0.6946278598457242,0.6851094678389019,0.8037311555791903,False
13,25,216,1,1,short,1.2447583335657533,-0.5805584468576593,-0.6883377116254953,1.2662307156554422,-0.5818130744840235,1.1995116147982723,0.6063101604148274,0.5972384996873031,0.6140226706681238,0.3726351624543959,False
14,13,485,1,1,short,0.5447226531199882,-0.32357935999015985,-0.1898662782156354,0.5595579821525175,-0.3005673920206074,0.5313039307116381,0.9880182244609811,0.9890729917645481,0.9926316553958351,0.7825048203324576,False
