row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_2_2,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,normalized_error,held_out_in_this_feature_fit
0,8,546,1,2,short,0.02026746806455654,-0.014306392258029323,-0.0005525265186103003,0.023709871209283893,-0.02146208023817353,0.035097298726406045,1.1205272982955243,1.1249676550785437,1.1292499315061617,0.9896971943388343,False
1,28,448,1,1,short,0.7658382662855922,-0.30765327379281815,-0.5063102726612214,0.6914499263219397,-0.26551589275646725,0.7219362530081511,1.1398207551462716,1.1551762704408142,1.1420774657550745,0.7835111290091789,False
2,3,752,1,2,short,0.1906557541634881,-0.11001685361598862,-0.1228214255703021,0.23630300611547278,-0.11111912626636009,0.27077593707524694,0.8704570417249108,0.8586794653355183,0.8458005058025495,0.8636792312913995,False
3,5,99,1,0,short,0.23892940071589283,-0.11471276981486882,-0.12825016420444144,0.23061718947492044,-0.11808725651473304,0.25271855173321706,1.0678158935548168,1.0707038032235807,1.0679861663487875,0.9047258197859025,True
4,18,265,1,4,short,0.26545559735963675,-0.1196961449409692,-0.19102373823062485,0.28264680810805126,-0.09836022419542143,0.28631180358995967,1.0909276591655177,1.0881635734503234,1.0841240382992448,0.894822700518814,False
5,22,87,1,2,short,0.7254515659598547,-0.42866123841133685,-0.2873049247116793,0.7882710832461718,-0.42482276811731134,0.7746208428244711,0.8991431379723469,0.872805427544017,0.8659135617363083,0.6697434582004891,False
6,10,22,1,0,short,0.7567153102263812,-0.38472708833987457,-0.4402303435626032,0.8362764423717598,-0.40792659476574455,0.8790549083790973,0.6621849267060825,0.649438182866614,0.6461118943522249,0.5084748128972277,True
7,27,264,1,3,short,0.5907752920771216,-0.2273660112986591,-0.38695521707312325,0.5464211503062323,-0.21825606962329036,0.5472347942719118,1.0156360299673424,1.025239134080617,1.0263223046843735,0.7886075894998417,False
8,31,244,1,4,short,0.4240985472074994,-0.11231767812362187,-0.2592713814196639,0.40333471421304545,-0.16211694259297962,0.30106891348911297,1.1032552886976885,1.0791393286490287,1.0425497275317335,0.8601853093048036,False
9,16,545,1,4,short,0.6877673537823312,-0.2837820792699695,-0.33924136645284686,0.6376729924630788,-0.3086856046821696,0.554008370165113,0.8809988665480847,0.88258700366492,0.8589732328014787,0.7094198272796571,False
10,9,158,1,4,short,0.493017647687854,-0.20953596918534567,-0.22951772877464294,0.4573968251923073,-0.24670455602289673,0.42858442575678024,1.009871823250535,1.0073731139857236,0.9878894652603954,0.8137136400196283,False
11,23,386,1,3,short,0.36464039598616965,-0.19857347624403904,-0.18547208658231099,0.37827685435907793,-0.18417380564664104,0.39539130274714984,0.8450215609609443,0.8422678300696944,0.8266557096461284,0.7873798336271656,False
12,7,609,1,2,short,0.022662396733525596,-0.015740137691562177,-0.019657537708757732,0.03148890955146464,-0.009393195163874877,0.04288864291346915,0.7651733467394041,0.7636790656867789,0.7477538315449707,0.9726816965328109,False
13,25,216,1,1,short,1.2643857463615336,-0.5861683506739148,-0.705431672339105,1.2730149906755872,-0.5782166167414289,1.2120252155449254,0.5990983164424103,0.5940760111558729,0.6083144566573936,0.36605827720712497,False
14,13,485,1,1,short,0.5446600785912636,-0.3235540361341001,-0.19003671725500354,0.5595972566079651,-0.3004408178200407,0.531322865631613,0.9880370780196832,0.989061475330011,0.9926243611130368,0.782504818628838,False
15,12,659,1,0,short,0.1598875644174634,-0.07704733027761518,-0.015204985055575805,0.11541818473252066,-0.07899006461781642,0.09661287368405735,0.9363097417925146,0.9655148626441508,0.9590569628450957,0.9361831134890571,True
16,1,224,1,4,short,0.22835523104521027,-0.09720016974440865,-0.12834143152743024,0.22139423513086776,-0.0991999854759946,0.20357908040796335,1.024477236977433,1.0253598651206473,1.0222425296938131,0.9059200791188622,False
17,24,513,1,1,short,0.9234102564554076,-0.4589596816516326,-0.45429913789657816,0.9094584976911071,-0.4445349012565596,0.8830081821611124,0.665368823318609,0.6699678806368861,0.6740329733311198,0.49783348606299505,False
18,21,548,1,3,short,0.21502634150568062,-0.09305887940235166,-0.16026743919441502,0.2035603030512421,-0.06900062360726081,0.23669395430896123,0.9851445286334727,0.9948707032370676,0.9793592953398398,0.8991548564773432,False
19,17,74,1,0,short,0.124330047459564,-0.06635472018373197,-0.0837177076711869,0.14894025964702873,-0.06901367541900726,0.17023207208142638,0.8452013851050544,0.8590410897972816,0.8356672130912701,0.9064721459451858,True
20,33,349,1,2,short,0.13947001687374896,-0.0523794729070074,-0.050533548865331054,0.16804751419687514,-0.06009268797789888,0.060447455189219096,1.4022594323318036,1.3799677088137967,1.2760454182445848,0.9676054273207929,False
21,19,336,1,3,short,0.4967559946746091,-0.26472074671951384,-0.3391072758572435,0.6189978499342579,-0.24010381236820336,0.6020138780397704,0.8885745594687973,0.9442175854573718,0.942967219110436,0.7495331824849283,False
22,30,649,1,1,short,0.6493149079518837,-0.3144846323949233,-0.41006779814915073,0.7060262085962877,-0.3049073768531896,0.7168465618002917,0.6557469983865934,0.6583365307666444,0.6575130488668127,0.555645880051508,False
23,4,661,1,3,short,0.7433910518605276,-0.42529899639317875,-0.2790061782178854,0.7462799896454472,-0.37130931616242946,0.6651680824012373,0.8500132873047603,0.8471192457555136,0.8342157443305601,0.6646984675755472,False
24,0,81,1,3,short,0.38746390609391695,-0.202910492374679,-0.14512858454199307,0.41825991492131825,-0.19344021171010672,0.28705071541317395,1.4205648974912957,1.4076186850814383,1.3455146601217123,0.9140086167517686,False
