true_stage,pre_TC,post_TC,pre_SC,post_SC,pre_GO,post_GO
pre_TC,0.24242424242424243,0.15656565656565657,0.13131313131313133,0.1111111111111111,0.15151515151515152,0.20707070707070707
post_TC,0.1414141414141414,0.17676767676767677,0.22727272727272727,0.12121212121212122,0.21717171717171718,0.11616161616161616
pre_SC,0.1414141414141414,0.13131313131313133,0.29797979797979796,0.1414141414141414,0.19696969696969696,0.09090909090909091
post_SC,0.1717171717171717,0.06060606060606061,0.14646464646464646,0.23232323232323232,0.10101010101010101,0.2878787878787879
pre_GO,0.16161616161616163,0.13636363636363635,0.25757575757575757,0.13636363636363635,0.18686868686868688,0.12121212121212122
post_GO,0.11616161616161616,0.005050505050505051,0.015151515151515152,0.12626262626262627,0.015151515151515152,0.7222222222222222
