macro_f1,accuracy
0.29958793517613275,0.3148148148148148
0.2840023661858662,0.2996632996632997
0.3120404199621685,0.3282828282828283
0.2793675152130507,0.29713804713804715
0.29131923359508716,0.3055555555555556
0.27751226989555344,0.29124579124579125
0.30923058974718787,0.32154882154882153
0.3121771085419493,0.3291245791245791
0.27994202444991484,0.2988215488215488
0.2931581352980421,0.31313131313131315
0.3000798061488735,0.31986531986531985
0.28148376289738547,0.29797979797979796
0.2998250204132558,0.3114478114478115
0.27327203065938493,0.29208754208754206
0.30030739754094055,0.31902356902356904
0.2961478854503501,0.3106060606060606
0.31400924907789896,0.33080808080808083
0.278987605981137,0.2962962962962963
0.3019626382947611,0.3164983164983165
0.2918332896347125,0.3063973063973064
0.2888354467173888,0.3055555555555556
0.31049367965476765,0.32407407407407407
0.2892072939141581,0.30976430976430974
0.2796930322114904,0.2996632996632997
0.2825217465511054,0.2988215488215488
0.3024003600149661,0.3207070707070707
0.27783044068143853,0.29545454545454547
0.31639916791950246,0.32996632996632996
0.2751471632592381,0.2895622895622896
0.2935374572498301,0.30892255892255893
0.29840643334792394,0.31734006734006737
0.26636063737946863,0.2845117845117845
0.3055545144232937,0.3207070707070707
0.29976276519411754,0.31902356902356904
0.30395008277740726,0.32154882154882153
0.2928245834157124,0.3055555555555556
0.2750867341339807,0.2904040404040404
0.29184881134588886,0.3047138047138047
0.2860558650812969,0.3021885521885522
0.27136258272133273,0.2878787878787879
0.29232528889334236,0.30976430976430974
0.3225586835194643,0.33585858585858586
0.29501540663627984,0.3122895622895623
0.27965374131897575,0.29124579124579125
0.2738811615859508,0.2904040404040404
0.28010599878939346,0.29797979797979796
0.3011367914055976,0.31902356902356904
0.28498122472398524,0.30303030303030304
0.3257826911866378,0.3392255892255892
0.29854022498932836,0.31397306397306396
0.26786035054927176,0.2845117845117845
0.29024650347840897,0.3063973063973064
0.3009267024527694,0.31565656565656564
0.28763760697522023,0.3047138047138047
0.3187016098261112,0.3324915824915825
0.2935961280879882,0.3055555555555556
0.31846331878659684,0.335016835016835
0.2923624173849864,0.3055555555555556
0.2973428577436635,0.31397306397306396
0.29300080351567553,0.3106060606060606
0.28408685123714644,0.29797979797979796
0.3030620915099505,0.31734006734006737
0.2963633078174535,0.3114478114478115
0.29348451337055464,0.3122895622895623
0.2940571349902192,0.3106060606060606
0.277669509718488,0.29545454545454547
0.28642681628029454,0.30387205387205385
0.28868584454790014,0.30892255892255893
0.2726471399017932,0.29292929292929293
0.29642138249248023,0.3114478114478115
0.2624433126422514,0.2803030303030303
0.28575523528572117,0.30134680134680136
0.2818233671517692,0.2988215488215488
0.26718193403843654,0.28619528619528617
0.30090926813097646,0.3148148148148148
0.30493332765892434,0.31734006734006737
0.2946188817585405,0.3114478114478115
0.2970200915786337,0.31397306397306396
0.2814093240855371,0.2988215488215488
0.300129769474026,0.31565656565656564
0.2749814830619774,0.2937710437710438
0.2641326412580745,0.28114478114478114
0.2582814249078759,0.2735690235690236
0.2868932136611621,0.3005050505050505
0.30295756558251646,0.3164983164983165
0.30301288869904325,0.31986531986531985
0.2824868590925958,0.29797979797979796
0.2986085864442306,0.31565656565656564
0.30881917286574584,0.32575757575757575
0.31419817396228944,0.33080808080808083
0.2720071151885813,0.28535353535353536
0.29484603490120154,0.30976430976430974
0.3090039424495834,0.32407407407407407
0.29777011605586967,0.31397306397306396
0.28896831518566674,0.30723905723905726
0.30074717091107905,0.31986531986531985
0.32561436990689224,0.34175084175084175
0.30147588125923835,0.3148148148148148
0.28334256901797544,0.3047138047138047
0.3034515322574474,0.32154882154882153
0.27775045779432833,0.29545454545454547
