stage_name,feature,n,mean,sd,median,q25,q75
pre_TC,R1,197,4.108190381217498,1.0072016517328477,3.917300265001895,3.436168832906603,4.642604523244209
pre_TC,R2,197,1.3045019680577399,0.2606014860214064,1.2680283988280596,1.1141055455802116,1.4611909101939158
pre_TC,band_half_width,197,1.1032184555627134,0.2839124015590527,1.0685462413128635,0.9150379948451286,1.253731195864613
pre_TC,mse,197,0.009578351772725726,0.0027012539284448148,0.009043932227931513,0.007762960778230289,0.011068353758975392
pre_TC,mean_error,197,0.011201949970079514,0.0023217059679454016,0.011046859565459078,0.009674881345051446,0.012448374619479525
pre_TC,frac_inside,197,0.8711972098484063,0.029104435975046312,0.8707482993197279,0.8503401360544217,0.891156462585034
pre_TC,normal_x,197,-0.42943752372684135,0.007671796376302659,-0.4290756949019293,-0.4346926883492895,-0.4240833454830202
pre_TC,normal_y,197,0.794300603975658,0.007320407992188056,0.795382674601576,0.7895400113902171,0.7998664305164691
pre_TC,normal_z,197,-0.42951585327604686,0.008637138296875334,-0.4293198654772038,-0.4341411585944544,-0.42452040735231567
pre_TC,u_x,197,0.5623270068659414,0.0056636556096515064,0.5627801816915116,0.5588747884464459,0.5664905373572663
pre_TC,u_y,197,0.6073701913336943,0.009521767236124856,0.6061072163671473,0.6000472683162269,0.6136962093565764
pre_TC,u_z,197,0.5610104159265253,0.005929733656601859,0.5611529537156564,0.5573999699048847,0.5652437318085727
pre_TC,v_x,197,0.7065941310635384,0.002458317417006583,0.7068416829971271,0.7056333346953774,0.707896399001672
pre_TC,v_y,197,-0.0006056077345629164,0.006658778909150603,4.192626469279315e-05,-0.003175518850638437,0.002287182705969032
pre_TC,v_z,197,-0.7075792520803587,0.002423243147466857,-0.7073717756352604,-0.7085533668458502,-0.7063144544872741
post_TC,R1,195,4.120055655759811,1.0203452501316657,3.8841023482473807,3.417368061929778,4.659373671928462
post_TC,R2,195,1.3185725173528722,0.2558085870535466,1.2805509018412615,1.1271588838256625,1.4624830990989073
post_TC,band_half_width,195,1.105178281568541,0.29170604823372936,1.065927407915329,0.898185027405509,1.246612394200766
post_TC,mse,195,0.008594083324650469,0.002247467011824412,0.008400185889376239,0.007121335682044502,0.009701059463597308
post_TC,mean_error,195,0.011348552639011553,0.0024823931832623114,0.010979559340181574,0.009707778253991621,0.012965108446488342
post_TC,frac_inside,195,0.8719344147915576,0.031592308692602995,0.8741496598639455,0.8537414965986394,0.8945578231292517
post_TC,normal_x,195,-0.42939850087979176,0.0074810545001327815,-0.4294366372949942,-0.4343764035561803,-0.4236030232216123
post_TC,normal_y,195,0.7942314595682886,0.007198734942850091,0.7946480177585304,0.7888445399398053,0.7996958800864185
post_TC,normal_z,195,-0.4296984294506819,0.008104159833579677,-0.4294696025567524,-0.43541210875253644,-0.4249429547515494
post_TC,u_x,195,0.5622762433088744,0.005803543865885978,0.5621661306809429,0.5582690108935426,0.5669826542402652
post_TC,u_y,195,0.607468606935376,0.00941586228667256,0.6070703640700585,0.6002363352859852,0.6145908617368881
post_TC,u_z,195,0.5609580184342643,0.005645404339627352,0.5607646510904124,0.5572800433273499,0.565048177632723
post_TC,v_x,195,0.7066604331590411,0.0020542474775622007,0.7068528738758368,0.7056725806008387,0.7076670273999002
post_TC,v_y,195,-0.0007299381864293006,0.006179270721444697,-0.0006171659659928719,-0.0035220728125580636,0.0015694733801210475
post_TC,v_z,195,-0.7075197403873421,0.002037592874892699,-0.7073352725927806,-0.7084702828065053,-0.706532544720691
pre_SC,R1,196,4.153655341172577,0.9761902056901831,3.9723654667841437,3.449120365797511,4.689201378330729
pre_SC,R2,196,1.2924839989924641,0.27029454300864303,1.2578881371583994,1.1131535041247798,1.4635003327009477
pre_SC,band_half_width,196,1.1042713169450848,0.30015987993442156,1.0527833694856226,0.885165048533519,1.2982851193477944
