index,macro_f1,accuracy
0,0.1527076305923305,0.15656565656565657
1,0.17721024219965884,0.18013468013468015
2,0.1774111215228914,0.18434343434343434
3,0.1759685329424867,0.18097643097643099
4,0.17287473377259546,0.1750841750841751
5,0.15954463262142746,0.17424242424242425
6,0.15413733330596222,0.16161616161616163
7,0.1690751715245633,0.17255892255892255
8,0.17162639025069426,0.17255892255892255
9,0.17442582788474068,0.17845117845117844
10,0.18293773565734037,0.18434343434343434
11,0.16251261119666935,0.1734006734006734
12,0.16466786028968305,0.1675084175084175
13,0.16594664454409858,0.17255892255892255
14,0.1612588673443949,0.16414141414141414
15,0.17520760986340342,0.17845117845117844
16,0.15851866660348277,0.16414141414141414
17,0.15006841052508316,0.16161616161616163
18,0.15327489623984358,0.15488215488215487
19,0.16370656705289247,0.1675084175084175
20,0.16447353170784923,0.16835016835016836
21,0.1657325718759441,0.17424242424242425
22,0.14198100219130744,0.14393939393939395
23,0.17434281880373217,0.17676767676767677
24,0.15942726207793811,0.16666666666666666
25,0.14498325723303776,0.14898989898989898
26,0.19888004939058057,0.20202020202020202
27,0.15121586332696338,0.1574074074074074
28,0.17523797202911676,0.1835016835016835
29,0.16086714018099332,0.16245791245791247
30,0.1612788564533832,0.16582491582491582
31,0.16660916791939112,0.17255892255892255
32,0.16230474798112607,0.1675084175084175
33,0.17768677157375845,0.18265993265993266
34,0.1484605785625527,0.14898989898989898
35,0.14863397265527403,0.15235690235690236
36,0.15922399018337782,0.16835016835016836
37,0.15973679395274817,0.16582491582491582
38,0.16215100819986314,0.16498316498316498
39,0.14189067090803248,0.14562289562289563
40,0.1673785345406648,0.17087542087542087
41,0.1459352301936941,0.15404040404040403
42,0.18398820816706496,0.18434343434343434
43,0.14892461982916072,0.15404040404040403
44,0.16313991521851204,0.1675084175084175
45,0.15733380513563083,0.16582491582491582
46,0.15277639767357357,0.15572390572390574
47,0.1763537782288912,0.18181818181818182
48,0.1559233684204887,0.15656565656565657
49,0.16539771954988355,0.17087542087542087
50,0.1603902144616494,0.1675084175084175
51,0.13560478699839482,0.1388888888888889
52,0.14663126996299788,0.14814814814814814
53,0.16726851887200678,0.17255892255892255
54,0.1610396350231158,0.16245791245791247
55,0.14389946382830085,0.14562289562289563
56,0.16977442642709306,0.1734006734006734
57,0.17694935482513433,0.17929292929292928
58,0.16493235713272844,0.17255892255892255
59,0.15611543926934127,0.15993265993265993
60,0.15437382721987533,0.1574074074074074
61,0.15873330374625008,0.1632996632996633
