row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,window_index,trial_index,stage,stage_name,start_sample,end_sample_exclusive,event_sample,preprocessing_error,cloud_sha256,R1,R2,band_half_width,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,usable,unusable_reason
0,5,159,1,1,short,0,0,0,pre_TC,2580,2880,2880,,73c888d3585e68d3fb6a00fd431ebb1c11497db9d4b5f9d4f23d23e3968bea72,3.725561714346464,1.2389375626715362,1.053238841568311,0.008252366387323117,0.010571174825920205,0.8605442176870748,-0.43466186748813057,0.7888852726794517,-0.4344296116762737,0.555680807549323,0.6145372718316161,0.5599667683453069,0.7087227250999244,0.001992003820653898,-0.7054843236016768,True,
0,5,159,1,1,short,1,0,1,post_TC,2880,3180,2880,,5f59bb69932cb07b1e60e031f625bd8a47f39cdb312ba0478f4196c2eeb51e41,4.749349617302802,1.596994754223839,1.3061871426267613,0.009446539371788906,0.009665520824001893,0.8979591836734694,-0.428847456624072,0.7956484815815176,-0.4278239739707093,0.5629039359862721,0.6057585242121816,0.5623128748263219,0.7065614041243886,0.0003226473388376061,-0.7076516643804825,True,
0,5,159,1,1,short,2,0,2,pre_SC,3459,3759,3759,,58fe62b2b9286f445f5cfdf2bc37eb126f2b313b1ee48fe88aef8439640ba26d,4.852407199090087,1.8481628907514318,1.4712356738531964,0.01179118546457418,0.010759396685481084,0.9013605442176871,-0.42470601945361913,0.7908334142064687,-0.44068958237562444,0.5605702053584708,0.6119483935813261,0.5579249129207229,0.7109049457587309,-0.010083380771075262,-0.7032158157550225,True,
0,5,159,1,1,short,3,0,3,post_SC,3759,4059,3759,,acd1046ca8946919f76f695f88cb067423436e02270524019a5d1be407deb197,3.3720687885847864,0.9538482183099138,0.8284079297641623,0.006988594684313935,0.010951388607953451,0.8367346938775511,-0.42432328642563716,0.8044990899424578,-0.4156091467697794,0.568084949594943,0.5939272443593492,0.5696752745656256,0.7051448352222809,0.0056251835052060495,-0.7090409851834202,True,
0,5,159,1,1,short,4,0,4,pre_GO,4200,4500,4500,,88db19433abbcdebdf54ed248ddc430fbd6c4c0f5f5a33dfa7e65040af898bac,8.317359531221404,1.987785117001903,2.19038410167118,0.012136834236393237,0.010553306457107095,0.9421768707482994,-0.44628127388014793,0.8052423840425199,-0.3904071304746257,0.5698729986336994,0.5920919874268611,0.569799827880937,0.6899839056182022,0.03180851091184067,-0.7231254584243479,True,
0,5,159,1,1,short,5,0,5,post_GO,4500,4800,4500,,8021c4ca93d6426206bf7dc3c7adfae3e8ff07924bb753fd8c0f671622e4dff2,3.38838000705555,0.8873852344440963,0.7181891885236922,0.008741545061105185,0.013835789532397535,0.8503401360544217,-0.4181448110401121,0.8082475655302745,-0.414597141590018,0.5716112107291903,0.5888395938855066,0.5714267725977327,0.7059855103108973,0.0019507657820082847,-0.7082235902198722,True,
1,6,16,1,4,short,6,1,0,pre_TC,2584,2884,2884,,20d52649707e5816baa06d9bbf2c32d79b1e749f2134ec5b650ad40f0a36b37e,3.4555051666294236,1.2999777853370902,1.0427235778748036,0.005531166963389321,0.013901294640969779,0.8469387755102041,-0.4313224836423172,0.7921268047638736,-0.43185187307594164,0.5611691120034946,0.6103553684461125,0.5590666793346027,0.7064348114566782,-0.0012039034788082492,-0.7077770890461074,True,
1,6,16,1,4,short,7,1,1,post_TC,2884,3184,2884,,1769d0280e9c3e8e3ce23e1fe181eec651241d9f06bdfba4a2b47866d00cfbe0,5.9928898122538055,1.3944855591319727,1.5360479166271148,0.01070370072788853,0.011843462497086893,0.9013605442176871,-0.4211157954684947,0.8057329284235031,-0.4164804135382875,0.5683803407190859,0.5922669469776707,0.5711073907784812,0.7068276134185709,0.0037830638158988794,-0.7073757228921361,True,
1,6,16,1,4,short,8,1,2,pre_SC,3462,3762,3762,,a18962b1934a7093e65ccce2fcccf0b80d6d118b820a6b76378ba199fe005943,5.538153541232392,1.896013479366718,1.6318662423828043,0.00912484229353291,0.009826190786301307,0.8945578231292517,-0.43701473934778085,0.7862899073703528,-0.4367680152670445,0.5554038567590915,0.6178573937509543,0.5565777545719959,0.7074918186734866,0.0006500421527236289,-0.7067212349684153,True,
1,6,16,1,4,short,9,1,3,post_SC,3762,4062,3762,,4439dc90746d85c9c391f98b41e3850bcd66a19cbcbcfe5f814d390d03c1094d,4.534740132010832,1.348357552101442,1.2144034238124992,0.013458324461613646,0.009023544433233627,0.8809523809523809,-0.43358221890786275,0.7926487145038774,-0.42861926559860186,0.5608798027054611,0.609673712114434,0.5600998229545242,0.705280303400015,0.0024454349218202276,-0.708924335514042,True,
1,6,16,1,4,short,10,1,4,pre_GO,4200,4500,4500,,95886bac4f692c3266244525d30bc0d81e39f0c37ff506ea59a009e2af936bd8,3.12687425791039,1.207915539658695,0.8543128898608072,0.009156943158978572,0.01417440419165333,0.8673469387755102,-0.43459424096294863,0.7841069637113893,-0.443062202383756,0.5540529613166673,0.6206105216841795,0.5548584472017365,0.7100374368848941,-0.004341639574685585,-0.7041505438382714,True,
1,6,16,1,4,short,11,1,5,post_GO,4500,4800,4500,,1e812ca87ae591b2daf157f5f2dcf3b7c19be9310a0878bb8170f20be6329d99,3.5389023295988706,1.0136131776541835,0.8816586987976504,0.009970312295946823,0.012779283798297179,0.8639455782312925,-0.4284018475532568,0.8005151662118417,-0.41910300127508476,0.5620003609788369,0.5992491769059504,0.5701368416768012,0.707550317131307,0.008711638328608717,-0.7066092669113662,True,
2,12,566,1,4,short,12,2,0,pre_TC,2584,2884,2884,,968abf5cdefbca9076a6821105078d6aab3aab6360496d8eda9bc37a6de04a88,8.237103378121454,2.0128410739016482,2.288832125969786,0.010559140102936404,0.006059972699160662,0.9387755102040817,-0.4134495057684648,0.8082666758674869,-0.41924275409592354,0.5754568787985591,0.5887798749736148,0.5676157498426864,0.705626591635571,-0.006575675492096783,-0.7085533668458502,True,
2,12,566,1,4,short,13,2,1,post_TC,2884,3184,2884,,f242cf90fac1a4acbce7937786db8803a018e87616f03f883eb0c6e2e1d26205,5.353775701535105,1.3258629603348155,1.2913799810693316,0.008619960826482368,0.008780074569460656,0.8877551020408163,-0.4180809971520658,0.8071310693629442,-0.4168305611268979,0.5706177781608347,0.5903717367656798,0.5708384742421163,0.7068264504580504,0.0008057898641433414,-0.7073865418818541,True,
