recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,12,11,15.473087469069055,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,13,12,-12.07728934354366,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,14,13,5.033572768038213,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,15,14,-1.1450032913220578,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,ar,1,16,15,0.1124994224052086,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,0,-1,7.198650328610334e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,1,0,8.09337770858719,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,2,1,-29.47556656646958,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,3,2,63.41239203885105,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,4,3,-88.82748241860892,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,5,4,84.03509491523613,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,6,5,-53.702480998867216,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,7,6,22.35759148142105,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,8,7,-5.503164448904768,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,1,9,8,0.6102371135973026,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,0,-1,7.200061638674288e-05,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,1,0,9526.903645789247,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,2,1,-63573.03605613887,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,3,2,189517.14620251756,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,4,3,-329295.9557655782,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,5,4,364463.5324864622,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,6,5,-262957.64255787333,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,7,6,120717.89698621134,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,8,7,-32226.860356926514,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,1,embedding,10,9,8,3828.996229930636,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,0,-1,-1.5732232114262779e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,1,0,8.103337015228956,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,2,1,-28.85368364905548,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,3,2,57.61621463010144,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,4,3,-65.94197236920296,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,5,4,32.57478115463843,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,6,5,16.970892293424065,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,7,6,-33.15976604261461,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,8,7,7.684939457269429,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,9,8,18.555612938313185,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,10,9,-15.139670592372708,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,11,10,-4.860727056422965,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,12,11,15.680964614689412,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,13,12,-12.340107178398672,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,14,13,5.178692154454535,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,15,14,-1.1873339818933613,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,ar,1,16,15,0.1178255272342479,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,0,-1,2.956879100943221e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,1,0,8.08621983815819,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,2,1,-29.41838453087212,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,3,2,63.21099462749651,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,4,3,-88.41855712383384,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,5,4,83.51105992990101,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,6,5,-53.26810699279745,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,7,6,22.12998718596493,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,8,7,-5.434189576881712,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,1,9,8,0.6009754828790174,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,0,-1,7.570886470341723e-06,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,1,0,9545.453234632458,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,2,1,-63679.8225426245,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,3,2,189770.8978079227,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,4,3,-329599.3804500921,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,5,4,364617.2486806473,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,6,5,-262913.2453565527,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,7,6,120613.64905137235,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,8,7,-32172.67427517896,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,2,embedding,10,9,8,3818.855197331539,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,0,-1,2.5218690954953438e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,1,0,8.11213641491719,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,2,1,-28.93661117938489,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,3,2,57.97337533171351,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,4,3,-66.87589532923853,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,5,4,34.227178133294665,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,6,5,14.918626562699387,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,7,6,-31.456885108921806,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,8,7,7.074188415883518,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,9,8,17.86418037831933,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,10,9,-13.631465744379677,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,11,10,-6.392001103679514,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,12,11,16.709593469196584,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,13,12,-12.822494258438113,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,14,13,5.334113532423002,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,15,14,-1.2190112992861328,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,ar,1,16,15,0.1209707074126326,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,0,-1,7.135265342982089e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,1,0,8.096912986958905,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,2,1,-29.50374832861249,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,3,2,63.511353127387984,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,4,3,-89.0272778894495,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,5,4,84.28860679446271,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,6,5,-53.90938607121835,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,7,6,22.463606175198592,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,8,7,-5.534324579368225,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,1,9,8,0.6142566474476057,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,0,-1,7.789715870705835e-05,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,1,0,9546.058228747472,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,2,1,-63739.53293225455,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,3,2,190149.29592057405,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,4,3,-330665.23464191525,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,5,4,366314.8225959112,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,6,5,-264557.97997586464,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,7,6,121581.85902929289,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,8,7,-32493.186086104943,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,3,embedding,10,9,8,3864.8791587161063,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,0,-1,1.965086392219373e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,1,0,8.110124703027674,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,2,1,-28.910506746597505,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,3,2,57.823400673088926,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,4,3,-66.36816805117823,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,5,4,33.10670161079249,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,6,5,16.57087897549441,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,7,6,-32.986543832118464,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,8,7,7.628487054822684,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,9,8,18.58182890002799,lag_weight
