recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyM_session-o080506002-22_lfp-2,0,ar,1.2779272664500878e-07,1.7716749068834247e-08
monkeyM_session-o080506002-22_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,1,ar,3.1795671366738505e-08,5.498000125668118e-09
monkeyM_session-o080506002-22_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,2,ar,1.9187150887873427e-07,3.032993313506119e-08
monkeyM_session-o080506002-22_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,3,ar,4.488244940216738e-08,5.830664894247318e-09
monkeyM_session-o080506002-22_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,4,ar,9.666123829826789e-08,1.5364763661194117e-08
monkeyM_session-o080506002-22_lfp-2,4,embedding,0.0,0.0
