session_id,recording_hour,feature_set,feature_label,n_features,accuracy,f1,f1_wake,f1_nrem,f1_rem,random_seed
session_m0120_0180,Hour 3,torus_features_15d,Torus features (15D),15,0.6428571428571429,0.6391040106822209,0.5679012345679012,0.7640449438202247,0.5853658536585366,42
session_m0120_0180,Hour 3,no_r_geometry_11d,No-r geometry (11D),11,0.626984126984127,0.6230905110215456,0.5194805194805194,0.7816091954022989,0.5681818181818182,42
session_m0180_0240,Hour 4,torus_features_15d,Torus features (15D),15,0.7272727272727273,0.7281687124057518,0.7156862745098039,0.8393782383419689,0.6294416243654822,42
session_m0180_0240,Hour 4,no_r_geometry_11d,No-r geometry (11D),11,0.6902356902356902,0.6887926887926886,0.6666666666666666,0.8282828282828283,0.5714285714285714,42
session_m0240_0300,Hour 5,torus_features_15d,Torus features (15D),15,0.6717948717948717,0.6676173507825411,0.5859375,0.8814814814814815,0.5354330708661418,42
session_m0240_0300,Hour 5,no_r_geometry_11d,No-r geometry (11D),11,0.6615384615384615,0.6558258165277918,0.5882352941176471,0.8613138686131386,0.5179282868525896,42
session_m0300_0360,Hour 6,torus_features_15d,Torus features (15D),15,0.72,0.7224242424242425,0.7272727272727273,0.8,0.64,42
session_m0300_0360,Hour 6,no_r_geometry_11d,No-r geometry (11D),11,0.5333333333333333,0.5334680134680134,0.6181818181818182,0.6222222222222222,0.36,42
session_m0360_0420,Hour 7,torus_features_15d,Torus features (15D),15,0.7150997150997151,0.7119479486527541,0.6844444444444444,0.8340080971659919,0.6173913043478261,42
session_m0360_0420,Hour 7,no_r_geometry_11d,No-r geometry (11D),11,0.7407407407407407,0.7383014770802013,0.7161572052401747,0.8524590163934426,0.6462882096069869,42
session_m0420_0480,Hour 8,torus_features_15d,Torus features (15D),15,0.7170868347338936,0.7176627022344994,0.7160493827160493,0.7982832618025751,0.6386554621848739,42
session_m0420_0480,Hour 8,no_r_geometry_11d,No-r geometry (11D),11,0.7366946778711485,0.7346694573995908,0.7591836734693878,0.8016528925619835,0.6431718061674009,42
session_m0480_0540,Hour 9,torus_features_15d,Torus features (15D),15,0.7416666666666667,0.7442179433241689,0.7133757961783439,0.864516129032258,0.6547619047619048,42
session_m0480_0540,Hour 9,no_r_geometry_11d,No-r geometry (11D),11,0.725,0.7253847806554944,0.6832298136645962,0.8679245283018868,0.625,42
session_m0540_0600,Hour 10,torus_features_15d,Torus features (15D),15,0.6888888888888889,0.690890711703274,0.6214689265536724,0.8522727272727273,0.5989304812834224,42
session_m0540_0600,Hour 10,no_r_geometry_11d,No-r geometry (11D),11,0.7074074074074074,0.7074820553446437,0.6480446927374302,0.8666666666666667,0.6077348066298343,42
session_m0600_0660,Hour 11,torus_features_15d,Torus features (15D),15,0.673469387755102,0.6727738453434927,0.6068965517241379,0.8148148148148148,0.5966101694915255,42
session_m0600_0660,Hour 11,no_r_geometry_11d,No-r geometry (11D),11,0.6439909297052154,0.6372784025257977,0.6026490066225165,0.792332268370607,0.5168539325842697,42
session_m0660_0720,Hour 12,torus_features_15d,Torus features (15D),15,0.5980392156862745,0.597207367795603,0.5151515151515151,0.6764705882352942,0.6,42
session_m0660_0720,Hour 12,no_r_geometry_11d,No-r geometry (11D),11,0.5882352941176471,0.5830789228387935,0.5352112676056338,0.7222222222222222,0.4918032786885246,42
session_m0720_0780,Hour 13,torus_features_15d,Torus features (15D),15,0.6400966183574879,0.6362351715242434,0.5373134328358209,0.7862068965517242,0.5851851851851851,42
session_m0720_0780,Hour 13,no_r_geometry_11d,No-r geometry (11D),11,0.6135265700483091,0.6081828930423114,0.51985559566787,0.7755102040816326,0.5291828793774319,42
session_m0840_0900,Hour 15,torus_features_15d,Torus features (15D),15,0.74,0.7416673336001067,0.72,0.8775510204081632,0.6274509803921569,42
session_m0840_0900,Hour 15,no_r_geometry_11d,No-r geometry (11D),11,0.76,0.7596466313297997,0.7524752475247525,0.88,0.6464646464646465,42
session_m0900_0960,Hour 16,torus_features_15d,Torus features (15D),15,0.748587570621469,0.7482185109303753,0.7264957264957265,0.8571428571428571,0.6610169491525424,42
session_m0900_0960,Hour 16,no_r_geometry_11d,No-r geometry (11D),11,0.7231638418079096,0.720065419493253,0.7372881355932204,0.8211382113821138,0.6017699115044248,42
session_m0960_1020,Hour 17,torus_features_15d,Torus features (15D),15,0.6774193548387096,0.6778128640197606,0.6551724137931034,0.7936507936507936,0.5846153846153846,42
session_m0960_1020,Hour 17,no_r_geometry_11d,No-r geometry (11D),11,0.7204301075268817,0.7153368196131354,0.71875,0.8307692307692308,0.5964912280701754,42
