feature_set,mean_f1,std_f1,mean_accuracy,std_accuracy,n_sessions
delta,0.4697718801046574,0.049742158924460475,0.4893274568705503,0.04552209892220497,21
theta,0.4175154602124064,0.0603331793354505,0.4423082730087873,0.05395677731806854,21
alpha,0.33612544769602504,0.037431569977845795,0.3649562767359066,0.04277198872254867,21
sigma,0.34127797212035554,0.05224261670809963,0.36648834016521287,0.0544593527640033,21
beta,0.5495893589040506,0.0479461524786957,0.5591465599175086,0.044614851617580435,21
low_gamma,0.6369893763038506,0.05483010849762064,0.6412163385051979,0.05191747320406047,21
average_psd,0.48520075921329564,0.061980575859606854,0.4986376461163304,0.05826898658796181,21
all_band_power,0.695717725985247,0.05056831972695589,0.6964446223223145,0.04922198069522334,21
all_torus_15,0.6697563098214888,0.05955160311760654,0.671045160560205,0.0575235555818876,21
