session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m0180_0240,delta,ok,0.5252525252525253,0.5079843670793975,0.3522012578616352,0.6403508771929824,0.5314009661835749,817,884,99
session_m0180_0240,theta,ok,0.3872053872053872,0.371598122815114,0.5267857142857143,0.2208588957055214,0.3671497584541063,817,884,99
session_m0180_0240,alpha,ok,0.3569023569023569,0.3351126611428275,0.4067796610169492,0.4128440366972477,0.1857142857142857,817,884,99
session_m0180_0240,sigma,ok,0.2895622895622896,0.287486988560806,0.2295081967213114,0.3062200956937799,0.3267326732673267,817,884,99
session_m0180_0240,beta,ok,0.5892255892255892,0.5784843629507844,0.6422018348623854,0.6862745098039216,0.4069767441860465,817,884,99
session_m0180_0240,low_gamma,ok,0.6531986531986532,0.6508676350328532,0.6883720930232559,0.774869109947644,0.4893617021276595,817,884,99
session_m0180_0240,all_torus_15,ok,0.7272727272727273,0.7281687124057518,0.7156862745098039,0.8393782383419689,0.6294416243654822,817,884,99
session_m0240_0300,delta,ok,0.5358974358974359,0.5167653061392184,0.3490566037735849,0.6843853820598007,0.5168539325842697,724,946,130
session_m0240_0300,theta,ok,0.4358974358974359,0.4130431451860023,0.5416666666666666,0.2244897959183673,0.4729729729729729,724,946,130
session_m0240_0300,alpha,ok,0.3538461538461538,0.3453771135893047,0.4459016393442623,0.3056768558951965,0.2845528455284553,724,946,130
session_m0240_0300,sigma,ok,0.3,0.3000410852802591,0.2766798418972332,0.302158273381295,0.321285140562249,724,946,130
session_m0240_0300,beta,ok,0.5743589743589743,0.564536921304806,0.6214285714285714,0.7014925373134329,0.3706896551724138,724,946,130
session_m0240_0300,low_gamma,ok,0.6717948717948717,0.6685290893371504,0.6394052044609665,0.8560606060606061,0.5101214574898786,724,946,130
session_m0240_0300,all_torus_15,ok,0.6717948717948717,0.6676173507825411,0.5859375,0.8814814814814815,0.5354330708661418,724,946,130
session_m0300_0360,delta,ok,0.4266666666666667,0.4005291005291004,0.4444444444444444,0.6071428571428571,0.15,1005,770,25
session_m0300_0360,theta,ok,0.3733333333333333,0.3529130451706899,0.5517241379310345,0.3018867924528302,0.2051282051282051,1005,770,25
session_m0300_0360,alpha,ok,0.2666666666666666,0.2547282478883026,0.4285714285714285,0.196078431372549,0.1395348837209302,1005,770,25
session_m0300_0360,sigma,ok,0.4933333333333333,0.4745420304742338,0.5084745762711864,0.3333333333333333,0.5818181818181818,1005,770,25
session_m0300_0360,beta,ok,0.5733333333333334,0.5677734794756072,0.6909090909090909,0.5957446808510638,0.4166666666666667,1005,770,25
