feature_set,mean_accuracy,std_accuracy,n_sessions
delta,0.4893274568705503,0.045522098922204976,21
theta,0.4423082730087873,0.053956777318068555,21
alpha,0.3649562767359066,0.04277198872254867,21
sigma,0.36648834016521287,0.054459352764003294,21
beta,0.5591465599175086,0.044614851617580435,21
low_gamma,0.6412163385051979,0.05191747320406047,21
all_torus_15,0.671045160560205,0.0575235555818876,21
