tau,window_sec,h1_top1,h2_top1,h1_top2,h2_top2,h1_top3,h2_top3
20,2.0,0.34284368008375166,0.003789142519235611,0.2995807699859142,0.0005105726420879364,0.25930796265602113,0.0
30,2.0,0.3559629052877426,0.003792399913072586,0.29722321778535843,0.0,0.26318464055657387,0.0
40,2.0,0.3450922168791294,0.004801035672426224,0.2962482899427414,0.0018647216260433198,0.2710067734122276,0.00044458061456680297
50,2.0,0.3611662365496159,0.0037789389491081236,0.3047904886305332,0.00032544583082199096,0.2665884099900723,0.0
60,2.0,0.348193322122097,0.005945906043052673,0.3065378114581108,0.0002885550260543823,0.2685774192214012,0.0
80,2.0,0.3492098942399025,0.0074760720133781435,0.3000168353319168,0.00033882856369018557,0.26814370453357694,0.0
