feature_set,mean_f1,std_f1,n_sessions
delta,0.4697718801046574,0.049742158924460475,21
theta,0.4175154602124064,0.060333179335450515,21
alpha,0.33612544769602504,0.037431569977845795,21
sigma,0.3412779721203555,0.05224261670809964,21
beta,0.5495893589040506,0.047946152478695714,21
low_gamma,0.6369893763038506,0.05483010849762064,21
all_torus_15,0.6697563098214888,0.05955160311760654,21
