feature_set,feature_label,n_features,mean_f1,std_f1,mean_accuracy,std_accuracy,n_sessions
torus_features_15d,Torus features (15D),15,0.6697563098214888,0.05955160311760654,0.671045160560205,0.0575235555818876,21
no_r_geometry_11d,No-r geometry (11D),11,0.651266928976027,0.07193333275227995,0.6547319339832746,0.07128099760701773,21
