session_id,recording_hour,feature_set,accuracy,f1,f1_wake,f1_nrem,f1_rem
session_m0120_0180,Hour 3,delta,0.5634920634920635,0.5479055258467023,0.38235294117647056,0.625,0.6363636363636364
session_m0120_0180,Hour 3,theta,0.5,0.4748960028938325,0.5473684210526316,0.3,0.5773195876288659
session_m0120_0180,Hour 3,alpha,0.36507936507936506,0.3422986254669423,0.4752475247524752,0.2,0.3516483516483517
session_m0120_0180,Hour 3,sigma,0.3492063492063492,0.32762152476735446,0.1643835616438356,0.27848101265822783,0.54
session_m0120_0180,Hour 3,beta,0.5396825396825397,0.5341365461847389,0.6153846153846154,0.6024096385542169,0.38461538461538464
session_m0120_0180,Hour 3,low_gamma,0.5555555555555556,0.5529468109082714,0.4367816091954023,0.8470588235294118,0.375
session_m0120_0180,Hour 3,average_psd,0.36507936507936506,0.34801507487711586,0.33707865168539325,0.4948453608247423,0.21212121212121213
session_m0120_0180,Hour 3,all_band_power,0.753968253968254,0.7534194165471066,0.6823529411764706,0.8705882352941177,0.7073170731707317
session_m0120_0180,Hour 3,all_torus_15,0.6428571428571429,0.6391040106822209,0.5679012345679012,0.7640449438202247,0.5853658536585366
session_m0180_0240,Hour 4,delta,0.5252525252525253,0.5079843670793975,0.3522012578616352,0.6403508771929824,0.5314009661835749
session_m0180_0240,Hour 4,theta,0.3872053872053872,0.371598122815114,0.5267857142857143,0.22085889570552147,0.3671497584541063
session_m0180_0240,Hour 4,alpha,0.3569023569023569,0.3351126611428275,0.4067796610169492,0.41284403669724773,0.18571428571428572
session_m0180_0240,Hour 4,sigma,0.2895622895622896,0.287486988560806,0.22950819672131148,0.3062200956937799,0.32673267326732675
session_m0180_0240,Hour 4,beta,0.5892255892255892,0.5784843629507844,0.6422018348623854,0.6862745098039216,0.4069767441860465
session_m0180_0240,Hour 4,low_gamma,0.6531986531986532,0.6508676350328532,0.6883720930232559,0.774869109947644,0.48936170212765956
session_m0180_0240,Hour 4,average_psd,0.5084175084175084,0.49773150860927723,0.5566037735849056,0.6280193236714976,0.30857142857142855
session_m0180_0240,Hour 4,all_band_power,0.6801346801346801,0.6789367700362465,0.6923076923076923,0.8,0.5445026178010471
session_m0180_0240,Hour 4,all_torus_15,0.7272727272727273,0.7281687124057518,0.7156862745098039,0.8393782383419689,0.6294416243654822
